hp_response_id,similarity_reference_B
HP0801,18
HP0802,18
HP0803,12
HP0804,5
HP0805,25
HP0806,1
HP0807,17
HP0808,10
HP0809,1
HP0810,8
HP0811,10
HP0812,33
HP0813,27
HP0814,9
HP0815,10
HP0816,15
HP0817,28
HP0818,27
HP0819,15
HP0820,20
HP0821,6
HP0822,28
HP0823,19
HP0824,6
HP0825,12
HP0826,1
HP0827,14
HP0828,17
HP0829,7
HP0830,9
HP0831,10
HP0832,30
HP0833,2
HP0834,39
HP0835,15
HP0836,28
HP0837,2
HP0838,5
HP0839,34
HP0840,18
HP0841,17
HP0842,8
HP0843,9
HP0844,18
HP0845,0
HP0846,14
HP0847,12
HP0848,22
HP0849,4
HP0850,5
HP0851,14
HP0852,3
HP0853,5
HP0854,23
HP0855,15
HP0856,1
HP0857,3
HP0858,18
HP0859,26
HP0860,7
HP0861,19
HP0862,15
HP0863,2
HP0864,26
HP0865,39
HP0866,20
HP0867,15
HP0868,12
HP0869,18
HP0870,8
HP0871,18
HP0872,9
HP0873,21
HP0874,24
HP0875,29
HP0876,5
HP0877,10
HP0878,27
HP0879,17
HP0880,52
HP0881,2
HP0882,6
HP0883,15
HP0884,2
HP0885,30
HP0886,24
HP0887,11
HP0888,0
HP0889,8
HP0890,28
HP0891,20
HP0892,5
HP0893,6
HP0894,3
HP0895,42
HP0896,2
HP0897,15
HP0898,36
HP0899,3
HP0900,3
HP0901,28
HP0902,12
HP0903,31
HP0904,8
HP0905,13
HP0906,4
HP0907,5
HP0908,9
HP0909,8
HP0910,27
HP0911,4
HP0912,15
HP0913,18
HP0914,14
HP0915,17
HP0916,12
HP0917,18
HP0918,9
HP0919,23
HP0920,7
HP0921,0
HP0922,1
HP0923,5
HP0924,22
HP0925,11
HP0926,4
HP0927,1
HP0928,13
HP0929,17
HP0930,4
HP0931,11
HP0932,23
HP0933,4
HP0934,3
HP0935,12
HP0936,9
HP0937,2
HP0938,2
HP0939,12
HP0940,13
HP0941,12
HP0942,9
HP0943,3
HP0944,32
HP0945,15
HP0946,9
HP0947,20
HP0948,25
HP0949,22
HP0950,11
HP0951,13
HP0952,18
HP0953,18
HP0954,2
HP0955,6
HP0956,20
HP0957,2
HP0958,7
HP0959,19
HP0960,18
HP0961,22
HP0962,2
HP0963,0
HP0964,15
HP0965,12
HP0966,5
HP0967,10
HP0968,0
HP0969,12
HP0970,13
HP0971,4
HP0972,11
HP0973,3
HP0974,3
HP0975,8
HP0976,34
HP0977,31
HP0978,15
HP0979,7
HP0980,27
HP0981,31
HP0982,1
HP0983,5
HP0984,27
HP0985,14
HP0986,4
HP0987,10
HP0988,13
HP0989,39
HP0990,18
HP0991,28
HP0992,14
HP0993,13
HP0994,35
HP0995,18
HP0996,13
HP0997,15
HP0998,4
HP0999,7
HP1000,3
HP1001,14
HP1002,6
HP1003,9
HP1004,28
HP1005,18
HP1006,1
HP1007,18
HP1008,17
HP1009,3
HP1010,24
HP1011,20
HP1012,1
HP1013,12
HP1014,5
HP1015,30
HP1016,19
HP1017,1
HP1018,4
HP1019,13
HP1020,18
HP1021,8
HP1022,13
HP1023,9
HP1024,5
HP1025,0
HP1026,1
HP1027,5
HP1028,5
HP1029,38
HP1030,10
HP1031,3
HP1032,5
HP1033,23
HP1034,19
HP1035,2
HP1036,7
HP1037,6
HP1038,15
HP1039,12
HP1040,2
HP1041,15
HP1042,24
HP1043,15
HP1044,8
HP1045,7
HP1046,10
HP1047,14
HP1048,24
HP1049,25
HP1050,2
HP1051,17
HP1052,10
HP1053,8
HP1054,41
HP1055,15
HP1056,7
HP1057,15
HP1058,6
HP1059,8
HP1060,18
HP1061,10
HP1062,11
HP1063,16
HP1064,19
HP1065,9
HP1066,12
HP1067,16
HP1068,12
HP1069,8
HP1070,5
HP1071,18
HP1072,14
HP1073,16
HP1074,14
HP1075,3
HP1076,10
HP1077,1
HP1078,8
HP1079,10
HP1080,14
HP1081,5
HP1082,7
HP1083,12
HP1084,6
HP1085,24
HP1086,8
HP1087,1
HP1088,32
HP1089,25
HP1090,27
HP1091,4
HP1092,8
HP1093,5
HP1094,26
HP1095,13
HP1096,16
HP1097,2
HP1098,17
HP1099,9
HP1100,4
HP1101,13
HP1102,8
HP1103,25
HP1104,14
HP1105,16
HP1106,36
HP1107,11
HP1108,2
HP1109,8
HP1110,25
HP1111,12
HP1112,18
HP1113,13
HP1114,2
HP1115,11
HP1116,20
HP1117,2
HP1118,11
HP1119,26
HP1120,2
HP1121,3
HP1122,10
HP1123,27
HP1124,26
HP1125,4
HP1126,20
HP1127,5
HP1128,2
HP1129,3
HP1130,2
HP1131,2
HP1132,1
HP1133,4
HP1134,22
HP1135,16
HP1136,22
HP1137,11
HP1138,8
HP1139,12
HP1140,25
HP1141,12
HP1142,10
HP1143,6
HP1144,8
HP1145,1
HP1146,34
HP1147,15
HP1148,25
HP1149,27
HP1150,7
HP1151,31
HP1152,7
HP1153,3
HP1154,35
HP1155,29
HP1156,10
HP1157,18
HP1158,30
HP1159,25
HP1160,4
HP1161,12
HP1162,13
HP1163,50
HP1164,3
HP1165,16
HP1166,11
HP1167,6
HP1168,24
HP1169,0
HP1170,10
HP1171,12
HP1172,34
HP1173,13
HP1174,23
HP1175,32
HP1176,4
HP1177,14
HP1178,10
HP1179,20
HP1180,4
HP1181,2
HP1182,7
HP1183,7
HP1184,25
HP1185,5
HP1186,19
HP1187,1
HP1188,2
HP1189,4
HP1190,3
HP1191,25
HP1192,1
HP1193,24
HP1194,14
HP1195,27
HP1196,18
HP1197,8
HP1198,18
HP1199,27
HP1200,13
