hp_response_id,similarity_reference_A
HP1601,5
HP1602,14
HP1603,6
HP1604,4
HP1605,6
HP1606,14
HP1607,15
HP1608,4
HP1609,6
HP1610,16
HP1611,16
HP1612,9
HP1613,7
HP1614,5
HP1615,14
HP1616,9
HP1617,3
HP1618,5
HP1619,16
HP1620,14
HP1621,1
HP1622,15
HP1623,13
HP1624,5
HP1625,12
HP1626,8
HP1627,6
HP1628,8
HP1629,11
HP1630,8
HP1631,10
HP1632,7
HP1633,78
HP1634,50
HP1635,5
HP1636,59
HP1637,1
HP1638,5
HP1639,8
HP1640,15
HP1641,67
HP1642,8
HP1643,6
HP1644,5
HP1645,18
HP1646,2
HP1647,6
HP1648,11
HP1649,40
HP1650,6
HP1651,1
HP1652,13
HP1653,8
HP1654,5
HP1655,6
HP1656,14
HP1657,5
HP1658,12
HP1659,5
HP1660,2
HP1661,39
HP1662,8
HP1663,8
HP1664,6
HP1665,18
HP1666,7
HP1667,9
HP1668,49
HP1669,9
HP1670,5
HP1671,6
HP1672,57
HP1673,6
HP1674,2
HP1675,8
HP1676,8
HP1677,5
HP1678,4
HP1679,1
HP1680,10
HP1681,5
HP1682,16
HP1683,8
HP1684,7
HP1685,6
HP1686,7
HP1687,15
HP1688,5
HP1689,8
HP1690,1
HP1691,6
HP1692,7
HP1693,7
HP1694,5
HP1695,5
HP1696,7
HP1697,14
HP1698,4
HP1699,8
HP1700,7
HP1701,6
HP1702,8
HP1703,62
HP1704,5
HP1705,5
HP1706,4
HP1707,6
HP1708,14
HP1709,5
HP1710,22
HP1711,6
HP1712,6
HP1713,8
HP1714,5
HP1715,3
HP1716,23
HP1717,5
HP1718,7
HP1719,10
HP1720,1
HP1721,17
HP1722,9
HP1723,7
HP1724,17
HP1725,5
HP1726,14
HP1727,8
HP1728,6
HP1729,5
HP1730,7
HP1731,8
HP1732,7
HP1733,6
HP1734,7
HP1735,8
HP1736,5
HP1737,8
HP1738,13
HP1739,12
HP1740,5
HP1741,9
HP1742,43
HP1743,4
HP1744,1
HP1745,5
HP1746,61
HP1747,7
HP1748,5
HP1749,7
HP1750,6
HP1751,27
HP1752,5
HP1753,11
HP1754,5
HP1755,7
HP1756,7
HP1757,5
HP1758,6
HP1759,5
HP1760,4
HP1761,6
HP1762,5
HP1763,9
HP1764,14
HP1765,8
HP1766,1
HP1767,13
HP1768,5
HP1769,4
HP1770,3
HP1771,5
HP1772,10
HP1773,6
HP1774,8
HP1775,5
HP1776,5
HP1777,8
HP1778,6
HP1779,8
HP1780,4
HP1781,2
HP1782,2
HP1783,2
HP1784,12
HP1785,5
HP1786,4
HP1787,61
HP1788,15
HP1789,5
HP1790,6
HP1791,7
HP1792,9
HP1793,9
HP1794,50
HP1795,8
HP1796,4
HP1797,5
HP1798,19
HP1799,38
HP1800,3
HP1801,7
HP1802,14
HP1803,5
HP1804,5
HP1805,50
HP1806,8
HP1807,8
HP1808,4
HP1809,13
HP1810,17
HP1811,4
HP1812,8
HP1813,7
HP1814,1
HP1815,8
HP1816,4
HP1817,7
HP1818,6
HP1819,11
HP1820,10
HP1821,0
HP1822,5
HP1823,0
HP1824,6
HP1825,3
HP1826,12
HP1827,8
HP1828,3
HP1829,7
HP1830,11
HP1831,8
HP1832,55
HP1833,13
HP1834,8
HP1835,7
HP1836,9
HP1837,9
HP1838,13
HP1839,35
HP1840,6
HP1841,12
HP1842,7
HP1843,44
HP1844,8
HP1845,6
HP1846,11
HP1847,9
HP1848,6
HP1849,3
HP1850,7
HP1851,1
HP1852,11
HP1853,16
HP1854,2
HP1855,8
HP1856,22
HP1857,7
HP1858,2
HP1859,8
HP1860,3
HP1861,3
HP1862,9
HP1863,8
HP1864,30
HP1865,3
HP1866,8
HP1867,4
HP1868,2
HP1869,4
HP1870,7
HP1871,0
HP1872,15
HP1873,8
HP1874,11
HP1875,5
HP1876,3
HP1877,10
HP1878,34
HP1879,9
HP1880,6
HP1881,6
HP1882,8
HP1883,10
HP1884,4
HP1885,6
HP1886,2
HP1887,5
HP1888,5
HP1889,7
HP1890,35
HP1891,5
HP1892,6
HP1893,4
HP1894,4
HP1895,4
HP1896,6
HP1897,4
HP1898,5
HP1899,6
HP1900,7
HP1901,5
HP1902,10
HP1903,5
HP1904,10
HP1905,5
HP1906,5
HP1907,5
HP1908,13
HP1909,11
HP1910,7
HP1911,13
HP1912,8
HP1913,47
HP1914,16
HP1915,12
HP1916,5
HP1917,0
HP1918,7
HP1919,8
HP1920,7
HP1921,5
HP1922,13
HP1923,7
HP1924,5
HP1925,2
HP1926,6
HP1927,3
HP1928,9
HP1929,9
HP1930,6
HP1931,7
