hp_response_id,similarity_reference_A
HP0801,50
HP0802,54
HP0803,57
HP0804,5
HP0805,24
HP0806,5
HP0807,54
HP0808,44
HP0809,7
HP0810,42
HP0811,49
HP0812,32
HP0813,38
HP0814,39
HP0815,36
HP0816,69
HP0817,15
HP0818,18
HP0819,67
HP0820,18
HP0821,39
HP0822,13
HP0823,58
HP0824,9
HP0825,54
HP0826,6
HP0827,50
HP0828,70
HP0829,30
HP0830,45
HP0831,46
HP0832,17
HP0833,15
HP0834,70
HP0835,48
HP0836,14
HP0837,10
HP0838,37
HP0839,19
HP0840,54
HP0841,18
HP0842,52
HP0843,47
HP0844,62
HP0845,2
HP0846,60
HP0847,43
HP0848,30
HP0849,38
HP0850,42
HP0851,63
HP0852,12
HP0853,33
HP0854,17
HP0855,64
HP0856,8
HP0857,22
HP0858,50
HP0859,25
HP0860,31
HP0861,40
HP0862,65
HP0863,17
HP0864,24
HP0865,22
HP0866,46
HP0867,53
HP0868,51
HP0869,62
HP0870,45
HP0871,50
HP0872,56
HP0873,50
HP0874,18
HP0875,60
HP0876,5
HP0877,53
HP0878,23
HP0879,69
HP0880,36
HP0881,16
HP0882,40
HP0883,65
HP0884,16
HP0885,21
HP0886,21
HP0887,56
HP0888,4
HP0889,45
HP0890,14
HP0891,53
HP0892,40
HP0893,49
HP0894,35
HP0895,18
HP0896,28
HP0897,67
HP0898,24
HP0899,30
HP0900,31
HP0901,13
HP0902,43
HP0903,31
HP0904,51
HP0905,58
HP0906,23
HP0907,45
HP0908,42
HP0909,34
HP0910,26
HP0911,28
HP0912,12
HP0913,48
HP0914,57
HP0915,47
HP0916,56
HP0917,32
HP0918,49
HP0919,56
HP0920,44
HP0921,17
HP0922,15
HP0923,31
HP0924,18
HP0925,54
HP0926,6
HP0927,5
HP0928,43
HP0929,62
HP0930,29
HP0931,43
HP0932,15
HP0933,19
HP0934,42
HP0935,57
HP0936,47
HP0937,10
HP0938,30
HP0939,57
HP0940,55
HP0941,61
HP0942,47
HP0943,38
HP0944,20
HP0945,52
HP0946,45
HP0947,62
HP0948,10
HP0949,7
HP0950,60
HP0951,61
HP0952,62
HP0953,30
HP0954,37
HP0955,45
HP0956,23
HP0957,33
HP0958,56
HP0959,66
HP0960,53
HP0961,29
HP0962,36
HP0963,2
HP0964,68
HP0965,57
HP0966,37
HP0967,3
HP0968,4
HP0969,59
HP0970,62
HP0971,5
HP0972,59
HP0973,29
HP0974,40
HP0975,44
HP0976,52
HP0977,17
HP0978,64
HP0979,47
HP0980,15
HP0981,24
HP0982,2
HP0983,40
HP0984,23
HP0985,70
HP0986,34
HP0987,49
HP0988,53
HP0989,19
HP0990,49
HP0991,44
HP0992,59
HP0993,57
HP0994,31
HP0995,50
HP0996,63
HP0997,51
HP0998,39
HP0999,53
HP1000,44
HP1001,61
HP1002,38
HP1003,45
HP1004,14
HP1005,5
HP1006,17
HP1007,50
HP1008,20
HP1009,33
HP1010,8
HP1011,60
HP1012,11
HP1013,56
HP1014,19
HP1015,14
HP1016,53
HP1017,5
HP1018,31
HP1019,61
HP1020,52
HP1021,46
HP1022,34
HP1023,47
HP1024,42
HP1025,0
HP1026,20
HP1027,48
HP1028,50
HP1029,27
HP1030,21
HP1031,47
HP1032,41
HP1033,32
HP1034,52
HP1035,5
HP1036,17
HP1037,45
HP1038,54
HP1039,57
HP1040,29
HP1041,61
HP1042,14
HP1043,30
HP1044,47
HP1045,45
HP1046,4
HP1047,64
HP1048,33
HP1049,11
HP1050,29
HP1051,56
HP1052,49
HP1053,48
HP1054,25
HP1055,26
HP1056,54
HP1057,34
HP1058,46
HP1059,47
HP1060,20
HP1061,40
HP1062,55
HP1063,59
HP1064,61
HP1065,62
HP1066,6
HP1067,71
HP1068,62
HP1069,43
HP1070,58
HP1071,78
HP1072,61
HP1073,67
HP1074,63
HP1075,31
HP1076,45
HP1077,2
HP1078,48
HP1079,59
HP1080,64
HP1081,35
HP1082,43
HP1083,57
HP1084,42
HP1085,32
HP1086,49
HP1087,13
HP1088,59
HP1089,33
HP1090,23
HP1091,33
HP1092,39
HP1093,49
HP1094,25
HP1095,66
HP1096,71
HP1097,36
HP1098,18
HP1099,49
HP1100,12
HP1101,48
HP1102,54
HP1103,22
HP1104,62
HP1105,67
HP1106,17
HP1107,45
HP1108,32
HP1109,48
HP1110,24
HP1111,61
HP1112,51
HP1113,22
HP1114,36
HP1115,53
HP1116,20
HP1117,9
HP1118,42
