context_id,target_game,frame,class,points,share
T01,UG,Market,C-C,115.0,0.11499999999999999
T01,UG,Market,C-D,115.0,0.11499999999999999
T01,UG,Market,M-C,121.66666666666667,0.12166666666666666
T01,UG,Market,M-D,121.66666666666667,0.12166666666666666
T01,UG,Market,S-C,263.3333333333333,0.26333333333333336
T01,UG,Market,S-D,263.3333333333333,0.26333333333333336
T02,TG,Bonus,C-C,225.0,0.22499999999999998
T02,TG,Bonus,C-D,218.33333333333334,0.21833333333333335
T02,TG,Bonus,M-C,171.66666666666666,0.17166666666666666
T02,TG,Bonus,M-D,165.0,0.165
T02,TG,Bonus,S-C,111.66666666666667,0.11166666666666668
T02,TG,Bonus,S-D,108.33333333333333,0.10833333333333334
T03,UG,Aid,C-C,146.66666666666666,0.14666666666666667
T03,UG,Aid,C-D,143.33333333333334,0.14333333333333334
T03,UG,Aid,M-C,186.66666666666666,0.18666666666666668
T03,UG,Aid,M-D,186.66666666666666,0.18666666666666668
T03,UG,Aid,S-C,168.33333333333334,0.16833333333333333
T03,UG,Aid,S-D,168.33333333333334,0.16833333333333333
T04,UG,Control,C-C,162.33333333333334,0.16233333333333333
T04,UG,Control,C-D,162.0,0.162
T04,UG,Control,M-C,162.33333333333334,0.16233333333333333
T04,UG,Control,M-D,162.0,0.162
T04,UG,Control,S-C,175.66666666666666,0.17566666666666667
T04,UG,Control,S-D,175.66666666666666,0.17566666666666667
T05,DG,Control,C,320.0,0.32
T05,DG,Control,M,343.3333333333333,0.3433333333333333
T05,DG,Control,S,336.6666666666667,0.33666666666666667
T06,UG,Bonus,C-C,203.33333333333334,0.20333333333333334
T06,UG,Bonus,C-D,203.33333333333334,0.20333333333333334
T06,UG,Bonus,M-C,203.33333333333334,0.20333333333333334
T06,UG,Bonus,M-D,203.33333333333334,0.20333333333333334
T06,UG,Bonus,S-C,93.33333333333333,0.09333333333333334
T06,UG,Bonus,S-D,93.33333333333333,0.09333333333333334
T07,DG,Aid,C,241.66666666666666,0.2416666666666667
T07,DG,Aid,M,420.0,0.42
T07,DG,Aid,S,338.3333333333333,0.3383333333333334
T08,TG,Control,C-C,155.33333333333334,0.15533333333333335
T08,TG,Control,C-D,155.66666666666666,0.15566666666666668
T08,TG,Control,M-C,139.0,0.139
T08,TG,Control,M-D,138.66666666666666,0.1386666666666667
T08,TG,Control,S-C,205.66666666666666,0.20566666666666666
T08,TG,Control,S-D,205.66666666666666,0.20566666666666666
T09,TG,Market,C-C,153.33333333333334,0.15333333333333332
T09,TG,Market,C-D,153.33333333333334,0.15333333333333332
T09,TG,Market,M-C,171.66666666666666,0.17166666666666666
T09,TG,Market,M-D,171.66666666666666,0.17166666666666666
T09,TG,Market,S-C,175.0,0.17500000000000002
T09,TG,Market,S-D,175.0,0.17500000000000002
T10,TG,Aid,C-C,142.66666666666666,0.14266666666666666
T10,TG,Aid,C-D,142.66666666666666,0.14266666666666666
T10,TG,Aid,M-C,191.66666666666666,0.19166666666666665
T10,TG,Aid,M-D,191.66666666666666,0.19166666666666665
T10,TG,Aid,S-C,165.66666666666666,0.16566666666666666
T10,TG,Aid,S-D,165.66666666666666,0.16566666666666666
T11,DG,Market,C,306.6666666666667,0.30666666666666664
T11,DG,Market,M,301.6666666666667,0.3016666666666667
T11,DG,Market,S,391.6666666666667,0.39166666666666666
T12,DG,Bonus,C,508.3333333333333,0.5083333333333334
T12,DG,Bonus,M,311.6666666666667,0.3116666666666667
T12,DG,Bonus,S,180.0,0.18000000000000002
