hp_response_id,similarity_reference_B
HP1601,25
HP1602,73
HP1603,58
HP1604,4
HP1605,38
HP1606,72
HP1607,72
HP1608,32
HP1609,58
HP1610,50
HP1611,73
HP1612,3
HP1613,57
HP1614,50
HP1615,74
HP1616,58
HP1617,8
HP1618,45
HP1619,46
HP1620,73
HP1621,1
HP1622,60
HP1623,48
HP1624,49
HP1625,33
HP1626,64
HP1627,58
HP1628,65
HP1629,82
HP1630,55
HP1631,27
HP1632,53
HP1633,14
HP1634,17
HP1635,43
HP1636,15
HP1637,0
HP1638,43
HP1639,8
HP1640,75
HP1641,14
HP1642,46
HP1643,86
HP1644,2
HP1645,70
HP1646,20
HP1647,55
HP1648,58
HP1649,4
HP1650,57
HP1651,1
HP1652,69
HP1653,62
HP1654,35
HP1655,54
HP1656,71
HP1657,28
HP1658,55
HP1659,50
HP1660,2
HP1661,20
HP1662,59
HP1663,78
HP1664,52
HP1665,69
HP1666,48
HP1667,64
HP1668,12
HP1669,46
HP1670,16
HP1671,54
HP1672,13
HP1673,58
HP1674,2
HP1675,59
HP1676,80
HP1677,52
HP1678,18
HP1679,10
HP1680,7
HP1681,43
HP1682,61
HP1683,44
HP1684,45
HP1685,30
HP1686,55
HP1687,74
HP1688,48
HP1689,48
HP1690,5
HP1691,40
HP1692,8
HP1693,38
HP1694,49
HP1695,45
HP1696,59
HP1697,71
HP1698,24
HP1699,58
HP1700,57
HP1701,58
HP1702,62
HP1703,14
HP1704,54
HP1705,50
HP1706,23
HP1707,46
HP1708,69
HP1709,8
HP1710,12
HP1711,54
HP1712,22
HP1713,52
HP1714,15
HP1715,8
HP1716,70
HP1717,54
HP1718,50
HP1719,68
HP1720,13
HP1721,58
HP1722,88
HP1723,75
HP1724,78
HP1725,50
HP1726,72
HP1727,43
HP1728,29
HP1729,50
HP1730,57
HP1731,61
HP1732,58
HP1733,40
HP1734,74
HP1735,65
HP1736,44
HP1737,58
HP1738,71
HP1739,69
HP1740,48
HP1741,10
HP1742,84
HP1743,5
HP1744,3
HP1745,53
HP1746,14
HP1747,57
HP1748,50
HP1749,82
HP1750,56
HP1751,72
HP1752,48
HP1753,64
HP1754,45
HP1755,48
HP1756,59
HP1757,48
HP1758,52
HP1759,54
HP1760,8
HP1761,57
HP1762,48
HP1763,60
HP1764,5
HP1765,55
HP1766,0
