hp_response_id,similarity_reference_B
HP4001,20
HP4002,68
HP4003,58
HP4004,10
HP4005,6
HP4006,64
HP4007,6
HP4008,3
HP4009,48
HP4010,61
HP4011,64
HP4012,27
HP4013,64
HP4014,48
HP4015,48
HP4016,81
HP4017,3
HP4018,25
HP4019,46
HP4020,66
HP4021,1
HP4022,54
HP4023,87
HP4024,35
HP4025,76
HP4026,31
HP4027,49
HP4028,59
HP4029,85
HP4030,67
HP4031,13
HP4032,63
HP4033,10
HP4034,3
HP4035,30
HP4036,56
HP4037,3
HP4038,9
HP4039,9
HP4040,58
HP4041,7
HP4042,5
HP4043,53
HP4044,5
HP4045,64
HP4046,48
HP4047,36
HP4048,64
HP4049,4
HP4050,47
HP4051,3
HP4052,53
HP4053,49
HP4054,8
HP4055,59
HP4056,66
HP4057,50
HP4058,58
HP4059,28
HP4060,4
HP4061,6
HP4062,62
HP4063,90
HP4064,87
HP4065,59
HP4066,57
HP4067,59
HP4068,8
HP4069,55
HP4070,8
HP4071,24
HP4072,3
HP4073,50
HP4074,3
HP4075,20
HP4076,73
HP4077,51
HP4078,12
HP4079,24
HP4080,10
HP4081,62
HP4082,54
HP4083,5
HP4084,50
HP4085,44
HP4086,42
HP4087,67
HP4088,48
HP4089,38
HP4090,2
HP4091,30
HP4092,7
HP4093,77
HP4094,54
HP4095,51
HP4096,65
HP4097,65
HP4098,47
HP4099,57
HP4100,17
HP4101,46
HP4102,63
HP4103,12
HP4104,47
HP4105,45
HP4106,13
HP4107,59
HP4108,58
HP4109,0
HP4110,82
HP4111,43
HP4112,71
HP4113,65
HP4114,57
HP4115,23
HP4116,52
HP4117,59
HP4118,65
HP4119,64
HP4120,56
HP4121,52
HP4122,85
HP4123,69
HP4124,91
HP4125,63
HP4126,90
HP4127,37
HP4128,20
HP4129,49
HP4130,56
HP4131,48
HP4132,2
HP4133,55
HP4134,96
HP4135,94
HP4136,47
HP4137,35
HP4138,68
HP4139,65
HP4140,45
HP4141,0
HP4142,93
HP4143,17
HP4144,4
HP4145,49
HP4146,11
HP4147,14
HP4148,20
HP4149,81
HP4150,49
HP4151,55
HP4152,60
HP4153,64
HP4154,63
HP4155,68
HP4156,63
HP4157,56
HP4158,72
HP4159,47
HP4160,2
HP4161,40
HP4162,48
HP4163,63
HP4164,42
HP4165,60
HP4166,0
HP4167,47
HP4168,52
HP4169,55
HP4170,54
HP4171,18
HP4172,19
HP4173,52
HP4174,40
HP4175,15
HP4176,30
HP4177,62
HP4178,50
HP4179,18
HP4180,11
HP4181,48
HP4182,23
HP4183,5
HP4184,65
HP4185,9
HP4186,8
HP4187,61
HP4188,99
HP4189,36
HP4190,48
HP4191,46
HP4192,85
HP4193,95
HP4194,29
HP4195,6
HP4196,14
HP4197,50
HP4198,64
HP4199,5
HP4200,20
HP4201,63
HP4202,94
HP4203,44
HP4204,6
HP4205,52
HP4206,51
HP4207,48
HP4208,57
HP4209,21
HP4210,37
HP4211,14
HP4212,44
HP4213,49
HP4214,0
HP4215,79
HP4216,14
HP4217,93
HP4218,60
HP4219,65
HP4220,18
HP4221,11
HP4222,8
HP4223,8
HP4224,55
HP4225,47
HP4226,65
HP4227,66
HP4228,12
HP4229,60
HP4230,59
HP4231,59
HP4232,9
HP4233,61
HP4234,50
HP4235,62
HP4236,60
HP4237,57
HP4238,64
HP4239,8
HP4240,48
HP4241,59
HP4242,96
HP4243,14
HP4244,83
HP4245,36
HP4246,60
HP4247,53
