rater,replicate,task,context_id,vignette_id,points
relative-agent-3,1,structural_all22,T10,V13,4
relative-agent-3,1,structural_all22,T10,V19,100
relative-agent-3,1,structural_all22,T10,V17,4
relative-agent-3,1,structural_all22,T10,V11,6
relative-agent-3,1,structural_all22,T10,V01,5
relative-agent-3,1,structural_all22,T10,V14,76
relative-agent-3,1,structural_all22,T10,V05,100
relative-agent-3,1,structural_all22,T10,V04,92
relative-agent-3,1,structural_all22,T10,V10,35
relative-agent-3,1,structural_all22,T10,V02,6
relative-agent-3,1,structural_all22,T10,V08,25
relative-agent-3,1,structural_all22,T10,V18,76
relative-agent-3,1,structural_all22,T10,V16,104
relative-agent-3,1,structural_all22,T10,V21,124
relative-agent-3,1,structural_all22,T10,V07,128
relative-agent-3,1,structural_all22,T10,V06,12
relative-agent-3,1,structural_all22,T10,V09,4
relative-agent-3,1,structural_all22,T10,V22,18
relative-agent-3,1,structural_all22,T10,V03,30
relative-agent-3,1,structural_all22,T10,V12,40
relative-agent-3,1,structural_all22,T10,V20,5
relative-agent-3,1,structural_all22,T10,V15,6
relative-agent-3,1,within_game,T07,V15,125
relative-agent-3,1,within_game,T07,V01,125
relative-agent-3,1,within_game,T07,V09,125
relative-agent-3,1,within_game,T07,V20,125
relative-agent-3,1,within_game,T07,V17,125
relative-agent-3,1,within_game,T07,V13,125
relative-agent-3,1,within_game,T07,V02,125
relative-agent-3,1,within_game,T07,V11,125
relative-agent-3,1,within_game,T02,V16,135
relative-agent-3,1,within_game,T02,V14,115
relative-agent-3,1,within_game,T02,V04,115
relative-agent-3,1,within_game,T02,V19,115
relative-agent-3,1,within_game,T02,V05,135
relative-agent-3,1,within_game,T02,V18,115
relative-agent-3,1,within_game,T02,V07,135
relative-agent-3,1,within_game,T02,V21,135
relative-agent-3,1,structural_all22,T06,V03,40
relative-agent-3,1,structural_all22,T06,V12,30
relative-agent-3,1,structural_all22,T06,V17,80
relative-agent-3,1,structural_all22,T06,V05,8
relative-agent-3,1,structural_all22,T06,V19,10
relative-agent-3,1,structural_all22,T06,V02,90
relative-agent-3,1,structural_all22,T06,V06,15
relative-agent-3,1,structural_all22,T06,V07,10
relative-agent-3,1,structural_all22,T06,V10,20
relative-agent-3,1,structural_all22,T06,V01,100
relative-agent-3,1,structural_all22,T06,V18,6
relative-agent-3,1,structural_all22,T06,V15,110
relative-agent-3,1,structural_all22,T06,V11,120
relative-agent-3,1,structural_all22,T06,V22,45
relative-agent-3,1,structural_all22,T06,V08,20
relative-agent-3,1,structural_all22,T06,V09,75
relative-agent-3,1,structural_all22,T06,V14,7
relative-agent-3,1,structural_all22,T06,V13,75
relative-agent-3,1,structural_all22,T06,V16,7
relative-agent-3,1,structural_all22,T06,V04,10
relative-agent-3,1,structural_all22,T06,V21,12
relative-agent-3,1,structural_all22,T06,V20,110
relative-agent-3,1,within_game,T11,V09,140
relative-agent-3,1,within_game,T11,V01,110
relative-agent-3,1,within_game,T11,V17,160
relative-agent-3,1,within_game,T11,V20,125
relative-agent-3,1,within_game,T11,V15,125
relative-agent-3,1,within_game,T11,V11,90
relative-agent-3,1,within_game,T11,V13,160
relative-agent-3,1,within_game,T11,V02,90
relative-agent-3,1,structural_all22,T07,V03,11
relative-agent-3,1,structural_all22,T07,V20,105
relative-agent-3,1,structural_all22,T07,V16,12
relative-agent-3,1,structural_all22,T07,V15,105
relative-agent-3,1,structural_all22,T07,V19,12
relative-agent-3,1,structural_all22,T07,V02,105
relative-agent-3,1,structural_all22,T07,V11,105
relative-agent-3,1,structural_all22,T07,V06,10
relative-agent-3,1,structural_all22,T07,V14,12
relative-agent-3,1,structural_all22,T07,V08,11
relative-agent-3,1,structural_all22,T07,V01,105
relative-agent-3,1,structural_all22,T07,V04,12
relative-agent-3,1,structural_all22,T07,V10,11
relative-agent-3,1,structural_all22,T07,V13,105
relative-agent-3,1,structural_all22,T07,V22,10
relative-agent-3,1,structural_all22,T07,V05,12
relative-agent-3,1,structural_all22,T07,V07,12
relative-agent-3,1,structural_all22,T07,V18,12
relative-agent-3,1,structural_all22,T07,V17,105
relative-agent-3,1,structural_all22,T07,V09,105
relative-agent-3,1,structural_all22,T07,V12,11
relative-agent-3,1,structural_all22,T07,V21,12
relative-agent-3,1,structural_all22,T03,V20,10
relative-agent-3,1,structural_all22,T03,V10,142
relative-agent-3,1,structural_all22,T03,V08,142
relative-agent-3,1,structural_all22,T03,V06,140
relative-agent-3,1,structural_all22,T03,V16,9
relative-agent-3,1,structural_all22,T03,V01,10
relative-agent-3,1,structural_all22,T03,V09,10
relative-agent-3,1,structural_all22,T03,V07,9
relative-agent-3,1,structural_all22,T03,V22,142
relative-agent-3,1,structural_all22,T03,V18,8
relative-agent-3,1,structural_all22,T03,V11,10
relative-agent-3,1,structural_all22,T03,V02,10
relative-agent-3,1,structural_all22,T03,V19,9
relative-agent-3,1,structural_all22,T03,V13,10
relative-agent-3,1,structural_all22,T03,V15,10
relative-agent-3,1,structural_all22,T03,V03,142
relative-agent-3,1,structural_all22,T03,V05,9
relative-agent-3,1,structural_all22,T03,V21,9
relative-agent-3,1,structural_all22,T03,V04,9
relative-agent-3,1,structural_all22,T03,V17,10
relative-agent-3,1,structural_all22,T03,V12,142
relative-agent-3,1,structural_all22,T03,V14,8
relative-agent-3,1,within_game,T10,V14,95
relative-agent-3,1,within_game,T10,V18,95
relative-agent-3,1,within_game,T10,V19,125
relative-agent-3,1,within_game,T10,V04,115
relative-agent-3,1,within_game,T10,V16,130
relative-agent-3,1,within_game,T10,V21,155
relative-agent-3,1,within_game,T10,V07,160
relative-agent-3,1,within_game,T10,V05,125
relative-agent-3,1,structural_all22,T01,V16,86
relative-agent-3,1,structural_all22,T01,V20,14
relative-agent-3,1,structural_all22,T01,V21,113
relative-agent-3,1,structural_all22,T01,V22,40
relative-agent-3,1,structural_all22,T01,V08,20
relative-agent-3,1,structural_all22,T01,V19,90
relative-agent-3,1,structural_all22,T01,V02,8
relative-agent-3,1,structural_all22,T01,V01,14
relative-agent-3,1,structural_all22,T01,V03,35
relative-agent-3,1,structural_all22,T01,V07,109
relative-agent-3,1,structural_all22,T01,V12,30
relative-agent-3,1,structural_all22,T01,V17,8
relative-agent-3,1,structural_all22,T01,V15,14
relative-agent-3,1,structural_all22,T01,V14,79
relative-agent-3,1,structural_all22,T01,V05,90
relative-agent-3,1,structural_all22,T01,V18,82
relative-agent-3,1,structural_all22,T01,V11,16
relative-agent-3,1,structural_all22,T01,V06,15
relative-agent-3,1,structural_all22,T01,V04,101
relative-agent-3,1,structural_all22,T01,V10,20
relative-agent-3,1,structural_all22,T01,V09,8
relative-agent-3,1,structural_all22,T01,V13,8
relative-agent-3,1,within_game,T08,V09,90
relative-agent-3,1,within_game,T08,V13,150
relative-agent-3,1,within_game,T08,V20,85
relative-agent-3,1,within_game,T08,V11,175
relative-agent-3,1,within_game,T08,V02,150
relative-agent-3,1,within_game,T08,V15,170
relative-agent-3,1,within_game,T08,V01,105
relative-agent-3,1,within_game,T08,V17,75
relative-agent-3,1,within_game,T01,V14,105
relative-agent-3,1,within_game,T01,V18,110
relative-agent-3,1,within_game,T01,V19,120
relative-agent-3,1,within_game,T01,V16,115
relative-agent-3,1,within_game,T01,V04,135
relative-agent-3,1,within_game,T01,V21,150
relative-agent-3,1,within_game,T01,V05,120
relative-agent-3,1,within_game,T01,V07,145
