hp_response_id,similarity_reference_A
HP2801,6
HP2802,7
HP2803,6
HP2804,4
HP2805,7
HP2806,1
HP2807,6
HP2808,6
HP2809,6
HP2810,13
HP2811,1
HP2812,5
HP2813,6
HP2814,6
HP2815,34
HP2816,7
HP2817,5
HP2818,13
HP2819,62
HP2820,7
HP2821,17
HP2822,6
HP2823,6
HP2824,44
HP2825,53
HP2826,7
HP2827,40
HP2828,5
HP2829,4
HP2830,8
HP2831,5
HP2832,2
HP2833,14
HP2834,7
HP2835,35
HP2836,67
HP2837,26
HP2838,3
HP2839,3
HP2840,5
HP2841,6
HP2842,24
HP2843,6
HP2844,4
HP2845,7
HP2846,9
HP2847,1
HP2848,6
HP2849,7
HP2850,6
HP2851,4
HP2852,6
HP2853,9
HP2854,7
HP2855,7
HP2856,6
HP2857,6
HP2858,2
HP2859,18
HP2860,7
HP2861,43
HP2862,6
HP2863,8
HP2864,1
HP2865,2
HP2866,7
HP2867,6
HP2868,63
HP2869,44
HP2870,7
HP2871,50
HP2872,6
HP2873,73
HP2874,10
HP2875,8
HP2876,6
HP2877,7
HP2878,6
HP2879,4
HP2880,24
HP2881,6
HP2882,57
HP2883,6
HP2884,7
HP2885,11
HP2886,4
HP2887,5
HP2888,4
HP2889,37
HP2890,7
HP2891,6
HP2892,7
HP2893,4
HP2894,4
HP2895,6
HP2896,67
HP2897,7
HP2898,51
HP2899,8
HP2900,7
HP2901,7
HP2902,6
HP2903,5
HP2904,8
HP2905,8
HP2906,7
HP2907,28
HP2908,51
HP2909,15
HP2910,6
HP2911,8
HP2912,6
HP2913,8
HP2914,4
HP2915,7
HP2916,6
HP2917,4
HP2918,4
HP2919,3
HP2920,41
HP2921,22
HP2922,6
HP2923,6
HP2924,1
HP2925,51
HP2926,7
HP2927,35
HP2928,3
HP2929,6
HP2930,7
HP2931,8
HP2932,5
HP2933,7
HP2934,7
HP2935,4
HP2936,4
HP2937,14
HP2938,4
HP2939,6
HP2940,68
HP2941,12
HP2942,6
HP2943,5
HP2944,68
HP2945,6
HP2946,5
HP2947,6
HP2948,8
HP2949,8
HP2950,6
HP2951,4
HP2952,7
HP2953,70
HP2954,7
HP2955,6
HP2956,6
HP2957,11
HP2958,6
HP2959,4
HP2960,6
HP2961,6
HP2962,15
HP2963,63
HP2964,52
HP2965,8
HP2966,2
HP2967,6
HP2968,42
HP2969,7
HP2970,56
HP2971,9
HP2972,12
HP2973,24
HP2974,6
HP2975,41
HP2976,6
HP2977,36
HP2978,6
HP2979,34
HP2980,7
HP2981,4
HP2982,7
HP2983,2
HP2984,5
HP2985,6
HP2986,6
HP2987,10
HP2988,6
HP2989,3
HP2990,5
HP2991,6
HP2992,7
HP2993,3
HP2994,33
HP2995,14
HP2996,1
HP2997,6
HP2998,7
HP2999,6
HP3000,6
HP3001,6
HP3002,7
HP3003,8
HP3004,50
HP3005,61
HP3006,4
HP3007,20
HP3008,6
HP3009,12
HP3010,1
HP3011,1
HP3012,42
HP3013,7
HP3014,2
HP3015,4
HP3016,42
HP3017,2
HP3018,4
HP3019,7
HP3020,6
HP3021,5
HP3022,25
HP3023,4
HP3024,7
HP3025,6
HP3026,6
HP3027,27
HP3028,1
HP3029,7
HP3030,47
HP3031,4
HP3032,7
HP3033,1
HP3034,65
HP3035,4
HP3036,6
HP3037,7
HP3038,7
HP3039,3
HP3040,16
HP3041,10
HP3042,8
HP3043,6
HP3044,25
HP3045,8
HP3046,6
HP3047,7
HP3048,0
HP3049,2
HP3050,6
HP3051,4
HP3052,7
HP3053,7
HP3054,6
HP3055,3
HP3056,2
HP3057,3
HP3058,6
HP3059,13
HP3060,6
HP3061,5
HP3062,57
HP3063,9
HP3064,6
HP3065,20
HP3066,4
HP3067,7
HP3068,7
HP3069,6
HP3070,7
HP3071,4
HP3072,38
HP3073,6
HP3074,5
HP3075,9
HP3076,6
HP3077,6
HP3078,7
HP3079,6
HP3080,42
HP3081,67
HP3082,22
HP3083,30
HP3084,47
HP3085,8
HP3086,7
HP3087,72
HP3088,7
HP3089,7
HP3090,5
HP3091,3
HP3092,16
HP3093,6
HP3094,44
HP3095,5
HP3096,6
HP3097,5
HP3098,6
HP3099,6
HP3100,6
HP3101,19
HP3102,7
HP3103,7
HP3104,7
HP3105,27
HP3106,7
HP3107,6
HP3108,7
HP3109,6
HP3110,7
HP3111,8
HP3112,34
HP3113,5
HP3114,6
HP3115,7
HP3116,24
HP3117,6
HP3118,14
HP3119,15
HP3120,6
HP3121,7
HP3122,2
HP3123,6
HP3124,6
HP3125,6
HP3126,6
HP3127,7
HP3128,5
HP3129,6
HP3130,6
HP3131,7
HP3132,4
HP3133,6
HP3134,1
HP3135,52
HP3136,6
HP3137,30
HP3138,31
HP3139,6
HP3140,6
HP3141,6
HP3142,28
HP3143,25
HP3144,6
HP3145,7
HP3146,4
HP3147,13
HP3148,6
HP3149,6
HP3150,7
HP3151,6
HP3152,1
HP3153,6
HP3154,35
HP3155,6
HP3156,14
HP3157,6
HP3158,6
HP3159,4
HP3160,4
HP3161,6
HP3162,5
HP3163,41
HP3164,68
HP3165,6
HP3166,7
HP3167,6
HP3168,36
HP3169,7
HP3170,6
HP3171,6
HP3172,24
HP3173,1
HP3174,6
HP3175,38
HP3176,6
HP3177,6
HP3178,8
HP3179,6
HP3180,4
HP3181,12
HP3182,7
HP3183,4
HP3184,6
HP3185,8
HP3186,7
HP3187,6
HP3188,7
HP3189,33
HP3190,5
HP3191,40
HP3192,2
HP3193,6
HP3194,6
HP3195,34
HP3196,4
HP3197,4
HP3198,57
HP3199,28
HP3200,6
