hp_response_id,memory
HP4406,"What makes you happy in life with others? The question has to be answered what you do with company and cannot be alone tasks or activities.
I ama photographer so go out and interact for events and various other places so get on with various public places and enjoy life."
HP4408,Nothing! I dont think this question makes sense at all
HP4412,the price remains the same
HP4413,buying something online
HP4414,a stable stock market
HP4419,"Nothing changes, life goes on as normal"
HP4421,A fair deal for secondhand goods when you like the person you are selling to. 
HP4423,Feels like it will be relatively expensive
HP4424,This feels like winning a game.  I get all the money.
HP4425,Someone being used for their time and skills without getting paid for it.
HP4426,I offer money for a product and the seller accepts - no change to the price at all.
HP4427,Paying for a wedding breakfast for all attendees
HP4430,"selling a new item at what i saw as a fair price i was not willing to haggle, and would rather wait for someone who would pay full price"
HP4431,Trying to buy a car and the seller will not budge on the price
HP4432,Changing the price by $0 is like a summer's day.
HP4433,This is similar to not negotiating when there is an opportunity to do so.  For example agreeing to split a food bill evenly instead of renegotiating who had what. 
HP4435,"I have made no change to the price, thus the price still remains at $12"
HP4436,I find this similar to someone giving me a gift. 
HP4437,Getting paid nothing for your work
HP4440,Breaking even on a bet.
HP4442,Similar to going to a shop where the prices are fixed. 
HP4447,Everything is consistent 
HP4448,Every day life - prices don't usually change. 
HP4450,"fuel duty in UK, ie when the government freezes it"
HP4451,That would be a disappointment if you had $0 but you never had it in the first place so not lost it. You just get on with it.
HP4453,The producer and broker have a solid working relationship and are both happy with the status quo and see no need to 'rock the boat'.
HP4454,"Nothing changes with the price here, so I find it similar to shopping around for an item and finding that every shop has price-matched their items."
HP4456,Items that are not on sale
HP4457,"This is the standard, no price deviation."
HP4459,Vinted or eBay where the seller receives 100% of the sale price but the broker(eBay/ Vinted) reclaim their profit from the buyer in a buyer's tax- perhaps the broker could negotiate this with the data buyer.
HP4460,Just walking into any random store and buying anything for full retail price. 
HP4461,It's like working for an expected wage... the price set is the amount you expect to recieve 
HP4462,This may be similar to placing a bet and losing all of the money that you put in.
HP4466,Being stubborn and refusing to budge on my price
HP4469,Taking something that is not all mine and risking someone elses happiness
HP4470,"
Keeping the price exactly the same reminds me of when a gym or subscription service renews at the same rate as last year. Nothing changes—no discount, but no increase either. It feels neutral and predictable"
HP4471,Doing someone's work for them but letting them keep all of the pay
HP4473,Being in a negotiation where my price is firm and I'm not willing to bend at all. 
HP4474,Walking with a group on a straight path and not wanting to take any divergences or risks 
HP4475,If the product gets damaged it may be that the price goes from an amount to worthless purely due to that damage.
HP4479,As there is no change I would imagine it be similar to following my usual morning routine
HP4482,Giving money to charity
HP4483,Buying something at a retail store where you can't haggle the price.
HP4485,This reminds me of when someone offers you a price and you just accept it because it’s fine as is. Like when a friend asks how much they owe you for splitting food and you just stick with the exact number instead of rounding anything up or down.
HP4487,Product not fit for purpose.
HP4489,I find it similar to working all day helping family members and not receiving any pay for it.
HP4491,Paying the advertised price without query or questions
HP4493,Something you steal from a shop
HP4494,Tge price for a Burger and fries
HP4495,Auto renewing insurance 
