hp_response_id,memory
HP4497,I find this similar to shopping in a store with fixed pricing and no ability to negotiate.
HP4498,A situation where a large corporation uses its might to take all the profit leaving the smaller workers no profit even though they contributed to the work.  
HP4499,"keeping the original price of a product in a store, deciding not to offer any discounts"
HP4500,This is the same as the original starting price and also would mean no profit for me. I would find this similar to most every day purchases that aren't on offer. You have to pay full price and do not save or make anything.
HP4501,"A good, well made in demand item that people will pay fair market value for."
HP4502,"Keeping the price exactly the same, no real life changes."
HP4503,Doing nothing at all.
HP4505,A gym keeps its twelve dollar day pass exactly the same because demand has not shifted. 
HP4507,This feels like someone is being taken advantage of.
HP4509,volunteering for the other party
HP4512,"Changing the price by $0 is very similar to just not changing the price of anything, just like Apple iPhones or something which consistently tend to stay the same price. "
HP4515,"In this case it would be akin to dealing with someone you didn't like and didn't want to do them any favours, the price is a hardline and will never be negotiated down"
HP4516,Most items that can be bought.
HP4518,Its a nice steady market and nothing is going on at present
HP4519,Getting an item that I'd usually pay for for free.
HP4525,"This feels like I am doing volunteer work, like when I help at my local church."
HP4527,I find this similar to being selfish. Wanting it all for myself.
HP4528,a shopping day with friends
HP4529,I find this similar to buying a beer in a college stadium at a football game. They do not lower the prices. 
HP4530,I decided to sell an item online and when asked if I would reduce the price i declined and the price remained the same.
HP4531,communal living situation
HP4538,"it is good to me, no body wins"
HP4539,the feels similar to a situation where me and a friend were discussing the cost of something and decided to just leave it as it is.
HP4540,"There is one sandwich, and two people, one person gets the whole sandwich. This is not fair."
HP4544,It is like one hundred per cent
HP4545,I find this similar to a person I know who will never give and counts every penny/
HP4546,Stagnation or when nothing changes
HP4547,Normal price. That is pretty much everyvday.
HP4549,Keeping the price as is because it already feels fair.
HP4554,"I find it similar to going out with friends for a shopping day. It costs what its worth - a lunch, some shopping - and its worth the money. It is fair. "
HP4556,Price paid without discounts asked.
HP4557,I am making as much money as I can. I am not employing anyone else. 
HP4562,"A change of $0 is similar to accepting the original offer as fair. For example, paying the listed price for a product or service without asking for a discount because you feel the value is reasonable and no adjustment is needed."
HP4563,Storing the cash in a current account with no interest
HP4567,the same as going into a shop and buying an item for the same price you bought it at the day before.
HP4571,"This reminds me of someone setting the perfect price point for an item they are selling, and it is a popular item that usually sells."
HP4572,gouging my business partner for no reason
HP4573,Same as above unfair
HP4575,"A situation where somebody is putting themselves first and trying to take all the money, not considering other people's roles and desire for payment. "
HP4577,It's a no risk situation.
HP4586,"This would be like getting the exact item that you wanted or listing an item for sale on ebay for example, and the buyer wanting it immediately at the listed price."
HP4591,A normal sale of goods with no discount
HP4592,Similar to the RRP of a new top in a clothes shop. The top isn't on the sale and is part of a newly released line.
HP4593,12 is the difference and changes 
HP4594,I find it similar to an internship where one person does all the work and does not get paid. 
HP4595,Buying an item in a shop at full price
HP4596,Unclear what im expected to say
HP4597,"this is similiar to an item given away on a free recycling site on facebook, Items are saved from landfill and are given to people who want or need them"
HP4599,I find it similar to keeping a subscription you pay monthly with no changes.
HP4600,"steady unchanging, high demand item"
