task,context_id,rater_a,rater_b,pearson,spearman,mean_absolute_point_difference,total_variation_distance
structural_all22,T01,relative-agent-1,relative-agent-2,0.9714651318140841,0.8851943346004879,7.181818181818182,0.079
structural_all22,T01,relative-agent-1,relative-agent-3,0.9607698542959235,0.8696895112462367,8.181818181818182,0.09
structural_all22,T01,relative-agent-2,relative-agent-3,0.9911017263892588,0.9643190081580374,4.818181818181818,0.053
structural_all22,T02,relative-agent-1,relative-agent-2,0.9607390285036609,0.9262874649864082,11.090909090909092,0.122
structural_all22,T02,relative-agent-1,relative-agent-3,0.9718219829257655,0.9533503349641547,6.181818181818182,0.068
structural_all22,T02,relative-agent-2,relative-agent-3,0.9570833963907264,0.9407298184707383,9.090909090909092,0.1
structural_all22,T03,relative-agent-1,relative-agent-2,0.9890279932199781,0.8331199741592112,12.727272727272727,0.14
structural_all22,T03,relative-agent-1,relative-agent-3,0.9933811039225642,0.9321315384875511,12.272727272727273,0.135
structural_all22,T03,relative-agent-2,relative-agent-3,0.9892111918459715,0.8720914462475637,5.636363636363637,0.062
structural_all22,T04,relative-agent-1,relative-agent-2,0.981678180995844,0.9362303492631678,12.818181818181818,0.141
structural_all22,T04,relative-agent-1,relative-agent-3,0.9873100076852759,0.9139063254877677,4.818181818181818,0.053
structural_all22,T04,relative-agent-2,relative-agent-3,0.9783052624454497,0.8467014984493287,12.363636363636363,0.136
structural_all22,T05,relative-agent-1,relative-agent-2,0.9713049337028179,0.835722547656378,12.363636363636363,0.136
structural_all22,T05,relative-agent-1,relative-agent-3,0.9711715519688007,0.7573560574201518,11.363636363636363,0.125
structural_all22,T05,relative-agent-2,relative-agent-3,0.9640300291621855,0.9597194401650356,6.545454545454546,0.072
structural_all22,T06,relative-agent-1,relative-agent-2,0.9913812591195009,0.6369851931509182,4.0,0.044
structural_all22,T06,relative-agent-1,relative-agent-3,0.9936255692797246,0.6135787589725038,4.7272727272727275,0.052
structural_all22,T06,relative-agent-2,relative-agent-3,0.9982729792419058,0.9877596348565316,3.0,0.033
structural_all22,T07,relative-agent-1,relative-agent-2,0.904983388603229,0.9453731516551686,14.363636363636363,0.158
structural_all22,T07,relative-agent-1,relative-agent-3,0.9525939775303053,0.9847286643023957,8.818181818181818,0.097
structural_all22,T07,relative-agent-2,relative-agent-3,0.9407238304431923,0.9402438964236651,10.909090909090908,0.12
structural_all22,T08,relative-agent-1,relative-agent-2,0.9723781912412472,0.9898016440170003,9.909090909090908,0.109
structural_all22,T08,relative-agent-1,relative-agent-3,0.9241604747150249,0.9802149672433198,9.545454545454545,0.105
structural_all22,T08,relative-agent-2,relative-agent-3,0.9632089946038285,0.9821366781320975,9.636363636363637,0.106
structural_all22,T09,relative-agent-1,relative-agent-2,0.9905419787903861,0.9052356003300043,3.8181818181818183,0.042
structural_all22,T09,relative-agent-1,relative-agent-3,0.9869891630233254,0.7673512924914376,5.090909090909091,0.056
structural_all22,T09,relative-agent-2,relative-agent-3,0.9985834308594108,0.902347708950374,2.1818181818181817,0.024
structural_all22,T10,relative-agent-1,relative-agent-2,0.9676383613595617,0.7806568214489015,12.545454545454545,0.138
structural_all22,T10,relative-agent-1,relative-agent-3,0.9821831865587692,0.7935651806258057,11.454545454545455,0.126
