hp_response_id,similarity_reference_A
HP1201,0
HP1202,72
HP1203,38
HP1204,20
HP1205,29
HP1206,5
HP1207,65
HP1208,32
HP1209,8
HP1210,29
HP1211,49
HP1212,59
HP1213,41
HP1214,40
HP1215,30
HP1216,61
HP1217,22
HP1218,18
HP1219,64
HP1220,57
HP1221,40
HP1222,42
HP1223,54
HP1224,34
HP1225,18
HP1226,30
HP1227,30
HP1228,54
HP1229,58
HP1230,63
HP1231,25
HP1232,61
HP1233,33
HP1234,66
HP1235,34
HP1236,62
HP1237,20
HP1238,41
HP1239,33
HP1240,49
HP1241,20
HP1242,33
HP1243,33
HP1244,27
HP1245,16
HP1246,42
HP1247,31
HP1248,59
HP1249,26
HP1250,33
HP1251,63
HP1252,20
HP1253,28
HP1254,38
HP1255,8
HP1256,31
HP1257,31
HP1258,52
HP1259,51
HP1260,24
HP1261,59
HP1262,58
HP1263,31
HP1264,38
HP1265,25
HP1266,24
HP1267,28
HP1268,39
HP1269,51
HP1270,56
HP1271,57
HP1272,45
HP1273,31
HP1274,25
HP1275,34
HP1276,0
HP1277,79
HP1278,32
HP1279,48
HP1280,60
HP1281,37
HP1282,34
HP1283,34
HP1284,32
HP1285,23
HP1286,29
HP1287,31
HP1288,27
HP1289,25
HP1290,14
HP1291,38
HP1292,27
HP1293,69
HP1294,33
HP1295,31
HP1296,33
HP1297,61
HP1298,35
HP1299,63
HP1300,38
HP1301,12
HP1302,13
HP1303,63
HP1304,17
HP1305,57
HP1306,31
HP1307,25
HP1308,77
HP1309,34
HP1310,35
HP1311,5
HP1312,33
HP1313,33
HP1314,61
HP1315,27
HP1316,32
HP1317,70
HP1318,33
HP1319,57
HP1320,32
HP1321,29
HP1322,32
HP1323,45
HP1324,25
HP1325,28
HP1326,11
HP1327,26
HP1328,33
HP1329,65
HP1330,8
HP1331,28
HP1332,23
HP1333,30
HP1334,24
HP1335,60
HP1336,35
HP1337,25
HP1338,31
HP1339,64
HP1340,42
HP1341,62
HP1342,32
HP1343,31
HP1344,39
HP1345,55
HP1346,57
HP1347,32
HP1348,31
HP1349,24
HP1350,47
HP1351,54
HP1352,68
HP1353,30
HP1354,32
HP1355,51
HP1356,58
HP1357,31
HP1358,54
HP1359,64
HP1360,33
HP1361,61
HP1362,31
HP1363,74
HP1364,67
HP1365,56
HP1366,31
HP1367,31
HP1368,17
HP1369,18
HP1370,60
HP1371,23
HP1372,58
HP1373,38
HP1374,32
HP1375,41
HP1376,34
HP1377,12
HP1378,59
HP1379,29
HP1380,72
HP1381,49
HP1382,3
HP1383,60
HP1384,32
HP1385,64
HP1386,45
HP1387,32
HP1388,49
HP1389,40
HP1390,30
HP1391,31
HP1392,26
HP1393,61
HP1394,43
HP1395,60
HP1396,58
HP1397,54
HP1398,28
HP1399,74
HP1400,32
HP1401,57
HP1402,29
HP1403,28
HP1404,65
HP1405,16
HP1406,58
HP1407,50
HP1408,42
HP1409,33
HP1410,24
HP1411,32
HP1412,25
HP1413,66
HP1414,30
HP1415,5
HP1416,13
HP1417,39
HP1418,34
HP1419,20
HP1420,25
HP1421,32
HP1422,61
HP1423,31
HP1424,40
HP1425,31
HP1426,38
HP1427,25
HP1428,34
HP1429,43
HP1430,60
HP1431,27
HP1432,33
HP1433,55
HP1434,51
HP1435,27
HP1436,25
HP1437,32
HP1438,3
HP1439,46
HP1440,55
HP1441,60
HP1442,32
HP1443,32
HP1444,33
HP1445,55
HP1446,34
HP1447,34
HP1448,58
HP1449,24
HP1450,12
HP1451,60
HP1452,32
HP1453,32
HP1454,53
HP1455,36
HP1456,50
HP1457,30
HP1458,59
HP1459,34
HP1460,63
HP1461,29
HP1462,31
HP1463,50
HP1464,60
HP1465,29
HP1466,32
HP1467,64
HP1468,58
HP1469,43
HP1470,45
HP1471,90
HP1472,51
HP1473,67
HP1474,42
HP1475,37
HP1476,46
HP1477,3
HP1478,32
HP1479,31
HP1480,37
HP1481,39
HP1482,19
HP1483,59
HP1484,37
HP1485,48
HP1486,32
HP1487,22
HP1488,23
HP1489,29
HP1490,55
HP1491,29
HP1492,32
HP1493,33
HP1494,62
HP1495,61
HP1496,55
HP1497,31
HP1498,14
HP1499,53
HP1500,27
HP1501,31
HP1502,48
HP1503,27
HP1504,60
HP1505,59
HP1506,32
HP1507,32
HP1508,32
HP1509,65
HP1510,37
HP1511,28
HP1512,62
HP1513,30
HP1514,38
HP1515,32
HP1516,39
HP1517,58
HP1518,42
HP1519,23
HP1520,12
HP1521,30
HP1522,19
HP1523,54
HP1524,54
HP1525,24
HP1526,61
HP1527,32
HP1528,43
HP1529,32
HP1530,14
HP1531,33
HP1532,31
HP1533,32
HP1534,44
HP1535,24
HP1536,47
HP1537,48
HP1538,34
HP1539,27
HP1540,34
HP1541,58
HP1542,31
HP1543,40
HP1544,22
HP1545,27
HP1546,61
HP1547,48
HP1548,37
HP1549,22
HP1550,2
HP1551,52
HP1552,31
HP1553,32
HP1554,31
HP1555,38
HP1556,43
HP1557,36
HP1558,22
HP1559,24
HP1560,32
HP1561,66
HP1562,29
HP1563,32
HP1564,22
HP1565,31
HP1566,39
HP1567,30
HP1568,35
HP1569,36
HP1570,23
HP1571,48
HP1572,25
HP1573,57
HP1574,53
HP1575,34
HP1576,47
HP1577,39
HP1578,61
HP1579,60
HP1580,41
HP1581,25
HP1582,35
HP1583,57
HP1584,63
HP1585,49
HP1586,59
HP1587,31
HP1588,31
HP1589,26
HP1590,30
HP1591,19
HP1592,32
HP1593,4
HP1594,64
HP1595,30
HP1596,44
HP1597,38
HP1598,20
HP1599,57
HP1600,55
