hp_response_id,similarity_reference_A
HP4401,24
HP4402,61
HP4403,22
HP4404,16
HP4405,27
HP4406,2
HP4407,23
HP4408,2
HP4409,18
HP4410,48
HP4411,1
HP4412,7
HP4413,16
HP4414,7
HP4415,15
HP4416,25
HP4417,2
HP4418,24
HP4419,5
HP4420,27
HP4421,34
HP4422,15
HP4423,9
HP4424,58
HP4425,19
HP4426,27
HP4427,31
HP4428,7
HP4429,1
HP4430,27
HP4431,24
HP4432,2
HP4433,47
HP4434,10
HP4435,25
HP4436,38
HP4437,15
HP4438,6
HP4439,21
HP4440,14
HP4441,18
HP4442,21
HP4443,14
HP4444,16
HP4445,29
HP4446,20
HP4447,5
HP4448,5
HP4449,17
HP4450,13
HP4451,17
HP4452,17
HP4453,34
HP4454,19
HP4455,25
HP4456,17
HP4457,15
HP4458,7
HP4459,48
HP4460,22
HP4461,28
HP4462,14
HP4463,6
HP4464,3
HP4465,2
HP4466,25
HP4467,16
HP4468,3
HP4469,47
HP4470,17
HP4471,46
HP4472,16
HP4473,26
HP4474,3
HP4475,9
HP4476,22
HP4477,5
HP4478,10
HP4479,3
HP4480,25
HP4481,20
HP4482,60
HP4483,22
HP4484,27
HP4485,42
HP4486,5
HP4487,7
HP4488,7
HP4489,19
HP4490,38
HP4491,23
HP4492,19
HP4493,8
HP4494,7
HP4495,12
HP4496,56
HP4497,22
HP4498,62
HP4499,20
HP4500,25
HP4501,25
HP4502,6
HP4503,3
HP4504,39
HP4505,18
HP4506,25
HP4507,31
HP4508,8
HP4509,48
HP4510,21
HP4511,25
HP4512,19
HP4513,22
HP4514,7
HP4515,27
HP4516,17
HP4517,6
HP4518,7
HP4519,27
HP4520,15
HP4521,66
HP4522,23
HP4523,17
HP4524,2
HP4525,37
HP4526,22
HP4527,62
HP4528,4
HP4529,21
HP4530,26
HP4531,17
HP4532,7
HP4533,23
HP4534,24
HP4535,7
HP4536,27
HP4537,27
HP4538,24
HP4539,39
HP4540,69
HP4541,25
HP4542,21
HP4543,6
HP4544,19
HP4545,43
HP4546,5
HP4547,18
HP4548,35
HP4549,29
HP4550,2
HP4551,29
HP4552,2
HP4553,17
HP4554,24
HP4555,22
HP4556,23
HP4557,57
HP4558,21
HP4559,2
HP4560,18
HP4561,25
HP4562,28
HP4563,10
HP4564,63
HP4565,25
HP4566,4
HP4567,20
HP4568,66
HP4569,22
HP4570,28
HP4571,24
HP4572,53
HP4573,31
