hp_response_id,similarity_reference_A
HP2001,13
HP2002,9
HP2003,7
HP2004,3
HP2005,9
HP2006,1
HP2007,9
HP2008,9
HP2009,10
HP2010,18
HP2011,0
HP2012,6
HP2013,8
HP2014,8
HP2015,10
HP2016,12
HP2017,0
HP2018,7
HP2019,6
HP2020,9
HP2021,19
HP2022,10
HP2023,8
HP2024,9
HP2025,17
HP2026,11
HP2027,25
HP2028,5
HP2029,19
HP2030,13
HP2031,8
HP2032,8
HP2033,18
HP2034,12
HP2035,6
HP2036,38
HP2037,11
HP2038,3
HP2039,4
HP2040,7
HP2041,9
HP2042,12
HP2043,18
HP2044,4
HP2045,13
HP2046,11
HP2047,3
HP2048,10
HP2049,14
HP2050,8
HP2051,5
HP2052,8
HP2053,12
HP2054,10
HP2055,5
HP2056,9
HP2057,11
HP2058,4
HP2059,17
HP2060,13
HP2061,12
HP2062,12
HP2063,15
HP2064,1
HP2065,1
HP2066,10
HP2067,7
HP2068,64
HP2069,15
HP2070,11
HP2071,45
HP2072,9
HP2073,14
HP2074,9
HP2075,8
HP2076,8
HP2077,12
HP2078,7
HP2079,4
HP2080,29
HP2081,7
HP2082,10
HP2083,12
HP2084,10
HP2085,14
HP2086,18
HP2087,6
HP2088,5
HP2089,13
HP2090,12
HP2091,9
HP2092,10
HP2093,4
HP2094,4
HP2095,14
HP2096,53
HP2097,11
HP2098,21
HP2099,14
HP2100,11
HP2101,11
HP2102,11
HP2103,6
HP2104,11
HP2105,13
HP2106,13
HP2107,16
HP2108,52
HP2109,13
HP2110,10
HP2111,13
HP2112,10
HP2113,18
HP2114,4
HP2115,16
HP2116,8
HP2117,18
HP2118,5
HP2119,7
HP2120,10
HP2121,15
HP2122,11
HP2123,7
HP2124,0
HP2125,16
HP2126,8
HP2127,5
HP2128,2
HP2129,10
HP2130,9
HP2131,14
HP2132,6
HP2133,10
HP2134,13
HP2135,5
HP2136,11
HP2137,20
HP2138,4
HP2139,8
HP2140,49
HP2141,13
HP2142,9
HP2143,9
HP2144,5
HP2145,3
HP2146,8
HP2147,8
HP2148,13
HP2149,16
HP2150,8
HP2151,16
HP2152,1
HP2153,9
HP2154,17
HP2155,9
HP2156,10
HP2157,12
HP2158,10
HP2159,6
HP2160,7
HP2161,8
HP2162,14
HP2163,7
HP2164,15
HP2165,10
HP2166,15
HP2167,10
HP2168,12
HP2169,8
HP2170,7
HP2171,12
HP2172,15
HP2173,4
HP2174,8
HP2175,40
HP2176,12
HP2177,30
HP2178,9
HP2179,23
HP2180,9
HP2181,5
HP2182,9
HP2183,2
HP2184,7
HP2185,8
HP2186,9
HP2187,8
HP2188,8
HP2189,3
HP2190,2
HP2191,10
HP2192,10
HP2193,2
HP2194,13
HP2195,10
HP2196,0
HP2197,10
HP2198,20
HP2199,9
HP2200,9
HP2201,10
HP2202,11
HP2203,13
HP2204,28
HP2205,9
HP2206,5
HP2207,8
HP2208,11
HP2209,11
HP2210,0
HP2211,0
HP2212,29
HP2213,11
HP2214,2
HP2215,0
HP2216,34
HP2217,5
HP2218,9
HP2219,12
HP2220,8
HP2221,5
HP2222,19
HP2223,9
HP2224,11
HP2225,8
HP2226,3
HP2227,15
HP2228,4
HP2229,8
HP2230,43
HP2231,11
HP2232,10
HP2233,0
HP2234,44
HP2235,4
HP2236,18
HP2237,10
HP2238,10
HP2239,4
HP2240,18
HP2241,16
HP2242,12
HP2243,8
HP2244,14
HP2245,12
HP2246,10
HP2247,10
HP2248,0
HP2249,3
HP2250,17
HP2251,5
HP2252,9
HP2253,12
HP2254,41
HP2255,8
HP2256,1
HP2257,2
HP2258,8
HP2259,19
HP2260,11
HP2261,8
HP2262,42
HP2263,18
HP2264,10
HP2265,13
HP2266,6
HP2267,14
HP2268,10
HP2269,9
HP2270,7
HP2271,48
HP2272,21
HP2273,5
HP2274,2
HP2275,17
HP2276,10
HP2277,8
HP2278,16
HP2279,8
HP2280,11
