hp_response_id,similarity_reference_A
HP0801,48
HP0802,49
HP0803,55
HP0804,8
HP0805,28
HP0806,6
HP0807,49
HP0808,51
HP0809,8
HP0810,48
HP0811,51
HP0812,31
HP0813,35
HP0814,31
HP0815,35
HP0816,58
HP0817,20
HP0818,18
HP0819,58
HP0820,19
HP0821,38
HP0822,19
HP0823,53
HP0824,14
HP0825,48
HP0826,10
HP0827,51
HP0828,63
HP0829,31
HP0830,50
HP0831,44
HP0832,22
HP0833,24
HP0834,65
HP0835,53
HP0836,18
HP0837,14
HP0838,30
HP0839,19
HP0840,53
HP0841,22
HP0842,38
HP0843,50
HP0844,55
HP0845,2
HP0846,58
HP0847,48
HP0848,34
HP0849,32
HP0850,39
HP0851,60
HP0852,13
HP0853,30
HP0854,17
HP0855,58
HP0856,9
HP0857,21
HP0858,48
HP0859,35
HP0860,36
HP0861,47
HP0862,57
HP0863,28
HP0864,35
HP0865,22
HP0866,35
HP0867,46
HP0868,52
HP0869,58
HP0870,47
HP0871,48
HP0872,53
HP0873,49
HP0874,18
HP0875,72
HP0876,17
HP0877,55
HP0878,34
HP0879,62
HP0880,41
HP0881,29
HP0882,39
HP0883,59
HP0884,15
HP0885,29
HP0886,22
HP0887,57
HP0888,5
HP0889,41
HP0890,19
HP0891,52
HP0892,27
HP0893,47
HP0894,34
HP0895,20
HP0896,28
HP0897,57
HP0898,24
HP0899,31
HP0900,28
HP0901,18
HP0902,48
HP0903,29
HP0904,53
HP0905,51
HP0906,34
HP0907,43
HP0908,32
HP0909,38
HP0910,22
HP0911,24
HP0912,15
HP0913,53
HP0914,54
HP0915,50
HP0916,61
HP0917,24
HP0918,50
HP0919,49
HP0920,47
HP0921,35
HP0922,26
HP0923,35
HP0924,25
HP0925,54
HP0926,15
HP0927,8
HP0928,48
HP0929,57
HP0930,32
HP0931,47
HP0932,18
HP0933,22
HP0934,38
HP0935,57
HP0936,49
HP0937,20
HP0938,32
HP0939,50
HP0940,53
HP0941,58
HP0942,50
HP0943,35
HP0944,22
HP0945,45
HP0946,44
HP0947,56
HP0948,15
HP0949,7
HP0950,53
HP0951,55
HP0952,55
HP0953,24
HP0954,32
HP0955,45
HP0956,17
HP0957,24
HP0958,54
HP0959,67
HP0960,46
HP0961,43
HP0962,32
HP0963,2
HP0964,61
HP0965,57
HP0966,34
HP0967,10
HP0968,6
HP0969,56
HP0970,58
HP0971,12
HP0972,54
HP0973,37
HP0974,36
HP0975,49
HP0976,46
HP0977,27
HP0978,59
