hp_response_id,similarity_reference_B
HP0801,18
HP0802,12
HP0803,9
HP0804,2
HP0805,22
HP0806,1
HP0807,12
HP0808,8
HP0809,3
HP0810,7
HP0811,10
HP0812,24
HP0813,24
HP0814,14
HP0815,18
HP0816,16
HP0817,14
HP0818,13
HP0819,14
HP0820,17
HP0821,13
HP0822,15
HP0823,12
HP0824,7
HP0825,10
HP0826,3
HP0827,9
HP0828,11
HP0829,10
HP0830,10
HP0831,7
HP0832,18
HP0833,3
HP0834,27
HP0835,9
HP0836,18
HP0837,7
HP0838,12
HP0839,38
HP0840,9
HP0841,14
HP0842,13
HP0843,9
HP0844,13
HP0845,1
HP0846,11
HP0847,10
HP0848,17
HP0849,10
HP0850,7
HP0851,11
HP0852,6
HP0853,7
HP0854,20
HP0855,12
HP0856,3
HP0857,4
HP0858,18
HP0859,16
HP0860,7
HP0861,12
HP0862,13
HP0863,4
HP0864,18
HP0865,32
HP0866,18
HP0867,14
HP0868,8
HP0869,11
HP0870,8
HP0871,18
HP0872,10
HP0873,17
HP0874,20
HP0875,24
HP0876,6
HP0877,6
HP0878,20
HP0879,12
HP0880,42
HP0881,4
HP0882,10
HP0883,11
HP0884,5
HP0885,31
HP0886,18
HP0887,6
HP0888,1
HP0889,7
HP0890,18
HP0891,14
HP0892,7
HP0893,8
HP0894,8
HP0895,25
HP0896,7
HP0897,13
HP0898,22
HP0899,6
HP0900,5
HP0901,17
HP0902,10
HP0903,26
HP0904,8
HP0905,8
HP0906,5
HP0907,9
HP0908,13
HP0909,8
HP0910,17
HP0911,5
HP0912,7
HP0913,10
HP0914,10
HP0915,10
HP0916,7
HP0917,15
HP0918,9
HP0919,16
HP0920,7
HP0921,4
HP0922,2
HP0923,10
HP0924,20
HP0925,8
HP0926,4
HP0927,3
HP0928,14
HP0929,15
HP0930,7
HP0931,10
HP0932,16
HP0933,4
HP0934,7
HP0935,10
HP0936,12
HP0937,3
HP0938,4
HP0939,8
HP0940,10
HP0941,10
HP0942,10
HP0943,7
HP0944,25
HP0945,14
HP0946,11
HP0947,13
HP0948,34
HP0949,19
HP0950,11
HP0951,11
HP0952,13
HP0953,16
HP0954,5
HP0955,10
HP0956,9
HP0957,4
HP0958,9
HP0959,13
HP0960,17
HP0961,17
HP0962,5
HP0963,1
HP0964,11
HP0965,10
HP0966,6
HP0967,5
HP0968,2
HP0969,10
HP0970,11
HP0971,3
HP0972,10
HP0973,4
HP0974,7
HP0975,6
HP0976,32
HP0977,30
HP0978,11
HP0979,7
HP0980,18
HP0981,20
HP0982,1
HP0983,8
HP0984,20
HP0985,13
HP0986,8
HP0987,6
HP0988,11
HP0989,37
HP0990,18
HP0991,21
HP0992,12
HP0993,10
HP0994,27
