hp_response_id,similarity_reference_B
HP1601,22
HP1602,82
HP1603,66
HP1604,5
HP1605,35
HP1606,80
HP1607,84
HP1608,32
HP1609,67
HP1610,57
HP1611,82
HP1612,8
HP1613,65
HP1614,56
HP1615,82
HP1616,73
HP1617,7
HP1618,55
HP1619,55
HP1620,81
HP1621,1
HP1622,77
HP1623,43
HP1624,54
HP1625,29
HP1626,68
HP1627,64
HP1628,78
HP1629,77
HP1630,55
HP1631,30
HP1632,74
HP1633,16
HP1634,14
HP1635,55
HP1636,12
HP1637,1
HP1638,55
HP1639,13
HP1640,83
HP1641,11
HP1642,42
HP1643,79
HP1644,4
HP1645,82
HP1646,24
HP1647,59
HP1648,77
HP1649,8
HP1650,65
HP1651,2
HP1652,79
HP1653,78
HP1654,50
HP1655,64
HP1656,81
HP1657,31
HP1658,70
HP1659,60
HP1660,8
HP1661,14
HP1662,76
HP1663,60
HP1664,63
HP1665,78
HP1666,68
HP1667,78
HP1668,12
HP1669,66
HP1670,29
HP1671,63
HP1672,10
HP1673,65
HP1674,6
HP1675,70
HP1676,65
HP1677,62
HP1678,32
HP1679,8
HP1680,9
HP1681,60
HP1682,72
HP1683,66
HP1684,61
HP1685,70
HP1686,74
HP1687,81
HP1688,60
HP1689,66
HP1690,10
HP1691,68
HP1692,15
HP1693,37
HP1694,57
HP1695,66
HP1696,74
HP1697,82
HP1698,34
HP1699,74
HP1700,67
HP1701,68
HP1702,74
HP1703,16
HP1704,61
HP1705,59
HP1706,14
HP1707,69
HP1708,78
HP1709,8
HP1710,10
HP1711,63
HP1712,20
HP1713,70
HP1714,8
HP1715,6
HP1716,83
HP1717,62
HP1718,66
HP1719,78
HP1720,16
HP1721,69
HP1722,91
HP1723,88
HP1724,88
HP1725,60
HP1726,83
HP1727,65
HP1728,34
HP1729,59
HP1730,72
HP1731,76
HP1732,66
HP1733,67
HP1734,86
HP1735,57
HP1736,57
HP1737,77
HP1738,80
HP1739,81
HP1740,61
HP1741,8
HP1742,91
HP1743,37
HP1744,11
HP1745,62
HP1746,12
HP1747,72
HP1748,61
HP1749,82
HP1750,65
HP1751,84
HP1752,57
HP1753,79
HP1754,58
HP1755,68
HP1756,74
HP1757,61
HP1758,67
HP1759,62
HP1760,3
HP1761,67
HP1762,68
HP1763,77
HP1764,35
HP1765,72
HP1766,1
HP1767,7
HP1768,55
HP1769,36
HP1770,48
HP1771,35
HP1772,77
HP1773,67
HP1774,71
HP1775,21
HP1776,56
HP1777,78
HP1778,67
HP1779,72
HP1780,12
HP1781,26
HP1782,16
HP1783,7
HP1784,82
HP1785,39
HP1786,21
HP1787,11
HP1788,80
HP1789,65
HP1790,56
HP1791,60
HP1792,73
HP1793,23
HP1794,14
HP1795,50
HP1796,10
HP1797,57
HP1798,79
HP1799,18
HP1800,24
HP1801,40
HP1802,27
HP1803,58
HP1804,58
HP1805,14
HP1806,62
HP1807,74
HP1808,31
HP1809,62
HP1810,76
HP1811,12
HP1812,71
HP1813,72
HP1814,1
HP1815,78
HP1816,67
HP1817,76
HP1818,61
HP1819,81
HP1820,80
HP1821,1
HP1822,23
HP1823,1
HP1824,63
HP1825,39
HP1826,81
HP1827,76
HP1828,11
HP1829,67
HP1830,78
HP1831,77
HP1832,10
HP1833,81
HP1834,77
HP1835,76
HP1836,82
HP1837,72
HP1838,79
HP1839,9
HP1840,64
HP1841,77
HP1842,49
HP1843,72
HP1844,11
HP1845,65
HP1846,83
HP1847,70
HP1848,65
HP1849,8
HP1850,48
HP1851,1
HP1852,82
HP1853,74
HP1854,2
HP1855,71
HP1856,13
HP1857,67
HP1858,3
HP1859,71
HP1860,20
HP1861,6
HP1862,73
HP1863,67
HP1864,7
HP1865,4
HP1866,76
HP1867,61
HP1868,21
HP1869,49
HP1870,68
HP1871,0
HP1872,81
HP1873,67
HP1874,59
HP1875,51
HP1876,14
HP1877,76
HP1878,7
HP1879,78
HP1880,58
HP1881,64
HP1882,77
HP1883,82
HP1884,12
HP1885,71
HP1886,2
HP1887,58
HP1888,35
HP1889,69
HP1890,10
HP1891,42
HP1892,62
HP1893,46
HP1894,10
HP1895,11
HP1896,65
HP1897,31
HP1898,63
HP1899,64
HP1900,64
HP1901,55
HP1902,78
HP1903,20
HP1904,42
