hp_response_id,memory
HP2401,Being taxed on your earnings
HP2402,someone is trying to bargain at a flea market and gets the price down two dollars.
HP2403,Amazon reducing the price of a haircare product to price match another shop. 
HP2404,Wanting to move on without any fuss or trouble.
HP2405,This would mean the broker would get the same as me. This would only work if the production costs still let me make a profit.
HP2406,an eBay seller tends to lose 2 dollars in taxes in sales.
HP2407,Selling an item on ebay and accepting a small drop in price from the buyer.
HP2408,It’s still I reasonably good working order and stillworth reducing because it’s been well used.
HP2409,This would be similar to some discounts for Black Friday sales
HP2410,Maybe this is trying to ensure a fair deal for both the broker and the seller.
HP2411,Making a small price concession to show flexibility
HP2412,Feels like taxes; having money taken from me in exchange for a service.
HP2413,Sales in retail shops. I Recently bought a soap set on black friday sale which gave me a percentage off 
HP2414,a special promotion in a shop where you get a discount
HP2415,Dropping the price to make it equal for both participants. It is similar to when I received a larger sum of money than my brother from a relative. I gave him an amount so we both had an equal amount.
HP2416,Haggling on Vinted to help cover postage costs.
HP2417,When i bought a toy at a market once.
HP2418,It is similar to discounted item in the shop
HP2419,A charity offering a discounted price for a product.
HP2420,reducing the price of an item of clothing I am selling on Vinted
HP2421,you burn your toast in the morning
HP2422,This is like a product being on sale. The consumer getting a slight price decrease whilst not affecting profits too much of the provider.
HP2423,"That would be $6 for me and $6 for him ($12-$6) if we are selected for the bonus. I find this a fair way to price things. I find this similar to what someone who is a good person, like my best friend would do."
HP2424,Buying an item having haggled at a street market
HP2425,it would be like paying it forward at a drive thru - nice but ultimately a little pointless
HP2426,minus 2 = 6 i dont think this is the right price
HP2427,"petrol prices lowering, for a short moment to get more people into the stations to spend money before they higher the prices again"
HP2428,"This is similar to the -$4 change. This is similar to a business having a sale on an item. Because of the decrease in supply and demand or special circumstances to liquidate items, they reduce the price."
HP2429,A person that is selling their data to X
HP2430,I find it similar to reducing the stock price on ebay because it isn't selling
HP2431,Imagine a charge that is small but noticable such as a parking charge
HP2432,The price has gone down because there are too many competitors in the market.
HP2433,Giving the other participant $2
HP2434,Buying someone half a pint.
HP2435,new customer offer sign up via a newsletter and receive a percentage discount. 
HP2436,The price would come down to $6 which would still be a decent return.
HP2437,Losing something special
HP2438,Getting 10% off as a work discount
HP2439,I see this as me being bad at negotiating and being taken advantage of. I constantly move things in and out of online shopping baskets for  smaller amounts. 
HP2440,It is like bargaining at a market. One of the sellers is quoted at 8 dollars and the other buyer claims it is expensive. The seller compromises by lowering the price by 2 dollars in order to make the sale to take place.
HP2441,"I have a packet with 12 sweets in it, I decided I don't need 8 sweets for myself, giving my friend only 4, I give them 2 more so we are equals."
HP2442,A tiny discount means that the buyer will be pleased.
HP2443,"If the price decreased by $2, I consider this a 25% decrease, and it reminds me of stocks and shares. Stocks and shares fluctuate in value often and a 25% decrease is reasonable."
HP2444,It was not fair I think.
HP2445,"This is similar to splitting a bill unevenly to accommodate someone else’s budget you reduce your part a little, making it fairer or more reasonable for the other person."
HP2446,The inflation level slightly  decreasing.
HP2447,This would mean that it is a price reduction.  I have had an experience where I have been to purchase an item in a shop and the price is lower than expected.
HP2448,Negiotating on Vinted to keep buyer who offered less
HP2449,When someone is a trying to play fair but doesn't get the numbers right
HP2450,Finding an item with a slight imperfection and being offered a lightly marked down retail price.
HP2451,a shopper going to the store and they get overcharged by the cashier but don't notice until it's too late
HP2452,A promotional price that would attract a buyer to pay the price and hopefully come back again.
HP2453,A slight price decrease makes me think that the buyer is purchasing in bulk and getting a slight discount to purchase.
HP2454,the price of carrots at christmas
HP2455,Demand is low so the product is dropped by $2
HP2456,Reducing the price for an on line sale item to achieve a sale
HP2457,$6 would be the price
HP2458,this is like someone giving money charity without knowing what the charity is
HP2459,something being half price. like if the full amount is 12 then -2 would make this 6 so its like buying somehting at half price from the store
HP2460,i think it would be +$1 i am not total sure but this my best guess 
HP2461,Paying for my friend when we are out having a coffee or something. I don't worry so much about losing a little bit of money when I am with a friend.
HP2462,Going to an antique shop and haggling to save a few bucks over a small scratch on a table.
HP2463,This is not really a fair deal given i have done the work and would be making as much as the broker.
HP2464,"I would find it similar to a sale in a shop that a friend ran, in order to temt more sales, therefore getting a bigger profit over all"
HP2465,"
It’s like giving someone a small discount on something they’re buying—just a little adjustment."
HP2466,A sale from a business
HP2467,This would be like selling something to a friend - because you know them you give them a better price
HP2468,"giving money away  for nothing , being too charitable and not looking after my own interests at all. No benefit to me whatsoever "
HP2469,Changing to a fair trade in a situation.
HP2470,"I find it similar to again unfair salary differences, but now it's exploitation."
HP2471,I find this similar to 20 percent off
HP2472,A shopkeeper reducing the price of a commodity to increase sales.
HP2473,It is similar to a 20% sale on a product.
HP2474,the two friends continue to search for items and spend a further amount leaving 2 left in the budget 
HP2475,A very small sale but still hopeful the buyer will wish to purchase more from you
HP2476,"This would be giving an advantage to the broker, like if a manufacturer was offering an introductory sale price to build a good relationship with a middleman."
HP2477,This is similar to receiving a discount at the store checkout for being a loyal customer.
HP2478,A worse day than when nothing at all has happened.  Bt not as bad as a day when the stock exchange has crashed.
HP2479,A NEGATIVE CHANGE IN PRICE
HP2480,it being very equal for both people
HP2481,That this is something being discounted.
HP2482,Giving someone a small discount
HP2483,Trying to make a fair split of the bill when out for drinks with my friend.
HP2484,asking for discount in a shop
HP2485,"My daughter works at a popular grocery store, so she gets a discounts. Her last purchase , she saved a couple dollars."
HP2486,"On Black Friday, one store reduced their price on selected items, while in another...they remained the same."
HP2487,"This reminds me of situations where I negotiate with someone and lower the price a bit just to make the deal smoother or more fair for both sides. It’s like giving a small discount so the other person is satisfied, but without sacrificing too much myself."
HP2488,when you have a coupon for something
HP2489,Losing a small amount in negotation.
HP2490,class score  drop with a small difference
HP2491,A quarter of the price of the starting price.
HP2492,I imagine this as still losing money.
HP2493,I small payment cut.  Maybe the research company is losing money and needs to cut costs.
HP2494,Discounted meals at restaurants to attract more custom
HP2495,A small price decrease
HP2496,"I find this price change similar to reducing the price of something you are selling, for example on a platform such as vinted, to ensure that it is a fair price for the buyer while still making a decent profit off the item."
