hp_response_id,memory
HP2801,My family going to a local Chinese restaurant because it was a special 50% off deal during Tuesdays and Wednesdays.
HP2802,a discountsale to move teh stuff through quickly
HP2803,A supermarket offering 50% off certain items.
HP2804,A price increase for a bill
HP2805,this is reduced by 50% so again if you were buying something this would be a great deal but if someone reduced your wages by this amount you would be angry.
HP2806,"How many members of your organisation are manage by your manager and how do you feel the team responds.
I have a great manager at work, who is not in my team so understands my real world situation and the problems I face.  He sees the problems but is powerless in many cases over the corrupt behaviour. We converse about life for relief."
HP2807,a bigger discount on a product which is available on the market
HP2808,A 50% sale - so maybe a black friday sale 
HP2809,This is like a half price sale
HP2810,Buying a main present for my children at christmas
HP2811,My boyfriend starting an argument with me.
HP2812,you are reducing the price by 50%
HP2813,buying something in a sale
HP2814,discounting a new car
HP2815,"I would find this similar to a donation to charity, or a retail business that is going bankrupt having a closing down sale."
HP2816,This is similar to selling items at a very low price.
HP2817,Being charged double the amount in one store compared to another
HP2818,Offering a family discount
HP2819,Giving money to someone who needs it more
HP2820,I would find it similar to losing money because I don't think I would make money based on the scenario. I could be wrong about that.
HP2821,Helping out a regular customer who is having trouble paying you. 
HP2822,"A ""buy one, get one free"" sale at a large store"
HP2823,The buyer is getting a really good deal
HP2824,"This seems fair, both parties receive the same amount."
HP2825,"Splitting money evenly between 2 teams, eg prize money in a lottery."
HP2826,I have a product that is overpriced and a buyer wants it for less so offers me £6 less for it
HP2827,Splitting a restaurant bill with a date
HP2828,The price of stock has dipped significantly over several days
HP2829,Buying a drink and a snack at a coffee shop.
HP2830,With selling some used goods half price seemed a fair price for things that were still in good order
HP2831,Trying to get reimbursement for an accident and the insurance is arguing with me
HP2832,Changing the price by -$6 is like a desperate Tinder date.
HP2833,This is making a compromise that would benefit the other party rather than you. For instance lowering the sale price of an item to make sure the buyer completes the purchase
HP2834,"I lost half my money in my account, but am glad I still have some. "
HP2835,"I have made a reduction of $6, which means the current price is set at $6. I have divided the price equally into two "
HP2836,I find this similar to sharing a bar of chocolate equally with another person. 
HP2837,Setting an equal price that gives us both the same
HP2838,i find it similar to $6
HP2839,Tesco premium meal deal that gives a more premium sandwich 
HP2840,A steep bet that set you back halfway.
HP2841,A sale where items are discounted.
HP2842,Similar to a 50 : 50 sharing agreement. Tryting to lower the price to make sure your data sells
HP2843,similar to a 50% discount
HP2844,A larger price change.
HP2845,Similar to cutting prices in half to increase competition.
HP2846,I'd loose $6 and it would not benefit me
HP2847, Unexpected health issues that lead to uncertainty 
HP2848,This would be like a sale - Black Friday - where there is a significant discount.
HP2849,A farmer selling food to a supermarket
HP2850,end of season sale whether it be winter or summer sales
HP2851,That would be half the amount and possibly just enough for a tea or coffee 
HP2852,"Same as above, I then saw the same size Bailey's in Morrisons - again reduced to the lowest I'd seen.  Makes me realise the competition is getting strong.  "
HP2853,The producer offered the broker an initial discounted rate at the start of their relationship to help incentivize them to sell their product and get it off the ground. Sales have been good and the initial discount rate has helped build some product loyalty but now it's time to remove that discount and continue at the 'standard' price.
HP2854,This is a 50% discount which is a significant amount of money. I find it similar to a BOGOF deal.
HP2855,This is similar to a discount provided by a shop during a sale or an offer that is accepted online - such as ebay
HP2856,Rollback prices at a large chain grocery store
HP2857,I find it similar to going to a half price sale
HP2858,crashing your car and not being able to afford to fix it
HP2859,a 50:50 division of proceeds offered by someone similar to a dress agency where the shop(broker) sells the item and gives 50% from the sale to the item owner.
HP2860,"Getting a 50% discount on food items that are set to their use-by date, so the store marks them down so they quickly sell. "
HP2861,This is like making a deal with a friend; if you split dinner or agree to go absolutely halves (or 50/50) with an agreement to split it down the middle evenly.
HP2862,This may be similar to placing a bet and losing half of the money.
HP2863,as stated aabove this would not benefit either player
HP2864,This makes zero sense 
HP2865,"Losing your bank card, it is inconvenient to call the bank and get another one issued but it is tolerable. "
HP2866,A half price sale to increase demand from my customers
HP2867,This price difference is someting recall happening as a child when we used to buy sinlge bubble gum at the corner shop. They's sometimes get old and they would reduce the price.
HP2868,Adding six dollars of my own money to my kid's piggy bank
HP2869,"being equal to each other, both are getting the same value. Showing an equality amongst each other."
HP2870,"
Dropping the price by $6 feels like when a store runs a mid-level sale, like taking several dollars off a shirt or a pair of headphones—not a massive clearance deal, but enough to make you pause and think it’s a decent offer.
"
HP2871,Asking a friend to do a paid job with you and splitting the profit. 
HP2872,A half-price sale in a shop
HP2873,"I see this one as a level of fairness where I ensure that both myself and the counterparty receive the same amount of money. It could be one of those scenarios where I'm given a set amount of money and allowed to split whatever amount I want with the other person. In the spirit of fairness, I send half to the other person. "
HP2874,College kids trying to strategize on how to be fair but also get a good deal when selling things to other students
HP2875,"I am selling a used item online starts with a listed price of $12. A potential buyer says they are interested but think the price is too high. Wanting to make sure the item sells quickly, the seller reduces the price by $6, bringing it down to $6 so that the buyer is more likely to agree. This could happen on something like vinted."
HP2876,A sale that is happening at a store
HP2877,It's similar to losing half of my money
HP2878,Half the value and therefore the volume and quality of data should reduce by half
HP2879,This is quite a significant change and I would find it quite unsettling/stressful in real-life
HP2880,I find it similar to taking pity on someone to help them out.
HP2881,I have no clue what you want me to put here taking 6 dollars from the price of a 12 dollar item is just a 50% price cut.
HP2882,Just sharing with another person
HP2883,Something on clearance.
HP2884,"This would be similar to a closing down sale for a shop, where they were selling unsold stock for less than they paid for it. "
HP2885,"This feels like agreeing to a slightly bigger discount because you want to be fair, even if it’s not ideal for you. Kind of like when you’re negotiating rent for a sublet and you drop the price a bit more than you wanted just so the person commits to taking the place."
HP2886,-$6 is like going to the shop for a drink and then being short changed from the shop clerk too
HP2887,It sounds like off loading of a cheap product.
HP2888,$6 would buy me a nice bowl of soup
HP2889,It's similar to being equal to another person in doing the same job and earning the same amount of money.  And buying the same item.
HP2890,Selling items on Ebay.
HP2891,A retail reduction such as going to the sales in January when shops are trying to shift their stock
HP2892,Post Christmas sales (end of Dec/Start of Jan) in order to encourage sales from a market that will have relatively little disposable cash left following the festive period.  
HP2893,Price of a big mac in mcdonalds
HP2894,Tge price for Fries.
HP2895,Halfing the price of something
HP2896,I find it similar to going out to dinner with a friend.  We get an appetizer that has 12 breadsticks and we each eat 6.
HP2897,I find this similar to shopping for cars where you can negotiate the price.
HP2898,A situation of say a family where two people who mutually care about each other ensure that the benefits they receive are shared equally.
HP2899,agreeing to sell a concert ticket for half the original value because the buyer asked for a discount
HP2900,"This represents half of the starting price. That is a considerable reduction. The only thing I can relate this to is when I am doing my grocery shopping; if something is half price and it is something I usually buy, it would be a bargain and I would probably buy several of the items if they weren't perishable to 'stock up' while they were at that price."
HP2901,Super market two for one offers. You will sell twice as much but its heavily discounted to get people to buy it. 
HP2902,"Typical mid level promotion , like a limited time deal in a supermarket"
HP2903,Fifty Percent reduction
HP2904,A business decision to make less but encourage return customers.
HP2905,A shop cuts the price of a twelve dollar lunch deal to six dollars because the lunchtime crowd has slowed down. 
HP2906,"This is a 50% off sale, similar to Black Friday or something like that where you're trying to drum up interest. "
HP2907,This feels like a partnership between two brothers.
HP2908,If I change the price by -$6 I'm probably being fair to my twin brother who deserves as much as me.
HP2909,negotiating a fair deal
HP2910,The price change of minus $6 is similar to coupon discount that is sent out to loyal customers. 
HP2911,Wanting a quick sale on something that I'd advertised 
HP2912,"Changing the price by $6, which is basically half off, again actually reminds me of stores when they just randomly (no particular holiday or event) just mark certain items as half off. "
HP2913,someone haggling when buying an item from vinted where you want the best deal and want to pay the least but seller wants maximum profit
HP2914,I find the price to be the same as a starbucks coffee
HP2915,This is a case if if was bidding for something on eBay and wanted to put in a cheeky offer usually starting at about 50% of what they want.
HP2916,A good discount on a pack of 20 avocados.
HP2917,I find it similar to spending money on a nice pair of earrings 
HP2918,"similar to football odds if a team lose a player through injury, Aston villa odds of winning last night were slashed because they lost the goal keeper in the warm up"
HP2919,Going into overdraft in a bank account.
HP2920,Similar to halving a bill with someone 
