hp_response_id,category_num
HP2904,2
HP2905,2
HP2906,2
HP2907,2
HP2908,1
HP2909,1
HP2910,2
HP2911,2
HP2912,0
HP2913,3
HP2914,0
HP2915,3
HP2917,0
HP2918,2
HP2919,3
HP2920,1
HP2921,3
HP2922,0
HP2923,0
HP2924,0
HP2925,1
HP2926,0
HP2929,0
HP2930,3
HP2931,0
HP2932,0
HP2933,2
HP2934,2
HP2935,0
HP2936,0
HP2937,1
HP2938,3
HP2941,3
HP2942,0
HP2943,0
HP2945,0
HP2946,3
HP2947,2
HP2948,3
HP2949,2
HP2950,0
HP2951,3
HP2952,3
HP2953,1
HP2954,1
HP2955,0
HP2956,0
HP2957,3
HP2958,0
HP2959,0
HP2960,0
HP2961,0
HP2964,1
HP2965,2
HP2966,3
HP2967,0
HP2968,1
HP2969,0
HP2970,1
HP2971,2
HP2973,1
HP2974,0
HP2975,1
HP2976,0
HP2978,0
HP2979,1
HP2980,2
HP2981,0
HP2982,1
HP2983,0
HP2984,0
HP2985,0
HP2986,0
HP2987,3
HP2988,0
HP2989,0
HP2990,0
HP2991,0
HP2993,0
HP2994,1
HP2996,0
HP2997,0
HP2998,3
HP3001,0
HP3003,2
HP3004,2
HP3005,1
HP3006,0
HP3007,1
HP3009,1
HP3010,0
HP3012,1
HP3013,2
HP3014,3
HP3015,3
HP3017,3
HP3018,0
HP3021,2
HP3023,0
HP3024,0
HP3026,0
HP3027,1
HP3028,0
HP3029,3
HP3030,1
HP3031,0
HP3032,0
HP3033,0
HP3035,3
HP3036,0
HP3037,0
HP3038,2
HP3039,0
HP3040,1
HP3041,3
HP3042,3
HP3043,1
HP3044,1
HP3045,2
HP3046,0
HP3048,0
HP3049,3
HP3050,2
HP3051,0
HP3052,2
HP3053,2
HP3054,0
HP3055,0
HP3057,1
HP3058,0
HP3059,1
HP3060,2
HP3062,1
HP3063,2
HP3064,0
HP3065,1
HP3066,0
HP3067,2
HP3068,3
HP3069,3
HP3070,2
HP3071,0
HP3072,1
HP3073,0
HP3074,3
HP3075,1
HP3076,0
HP3078,0
HP3079,0
HP3080,1
HP3082,3
HP3083,1
HP3084,1
HP3085,3
HP3086,2
HP3087,1
HP3088,3
HP3089,1
HP3090,0
HP3091,0
HP3092,0
HP3093,0
HP3094,1
HP3095,3
HP3096,0
HP3097,3
HP3098,0
HP3099,0
HP3100,0
HP3101,2
HP3102,2
HP3103,2
HP3104,3
HP3105,3
HP3106,2
HP3107,0
HP3109,0
HP3110,2
HP3112,1
HP3113,3
HP3117,0
HP3118,1
HP3119,0
HP3121,2
HP3122,0
HP3124,0
HP3125,0
HP3126,0
HP3127,0
HP3128,0
HP3129,0
HP3130,3
HP3131,0
HP3132,0
HP3134,0
HP3135,0
HP3136,0
HP3139,3
HP3140,0
HP3142,1
HP3144,0
HP3145,0
HP3146,0
HP3147,1
HP3148,0
HP3149,0
HP3151,0
HP3152,0
HP3153,0
HP3155,0
HP3156,3
HP3157,0
HP3158,0
HP3159,2
HP3161,2
HP3162,0
HP3165,0
HP3166,3
HP3167,0
HP3168,1
HP3169,2
HP3170,0
HP3171,0
HP3172,1
HP3173,0
HP3174,0
HP3175,1
HP3176,0
HP3177,0
HP3178,0
HP3179,0
HP3180,0
HP3181,1
HP3183,0
HP3184,0
HP3185,2
HP3186,2
HP3187,0
HP3188,2
HP3190,1
HP3191,1
HP3192,0
HP3193,0
HP3195,2
HP3196,0
HP3197,0
HP3198,1
HP3200,0
HP3204,1
HP3206,3
HP3208,0
HP3209,0
HP3212,0
HP3213,0
HP3217,0
HP3218,1
HP3219,2
HP3221,0
HP3222,2
HP3223,3
HP3224,0
HP3227,0
HP3228,0
HP3229,0
HP3231,1
HP3232,0
HP3235,0
HP3237,0
HP3238,0
HP3240,0
HP3242,3
HP3243,0
HP3245,1
HP3246,0
HP3251,0
HP3253,0
HP3254,0
HP3255,0
HP3256,0
HP3257,0
HP3260,0
HP3261,0
HP3262,3
HP3267,2
HP3268,3
HP3269,0
HP3270,1
HP3271,0
HP3273,0
HP3274,0
HP3275,1
HP3276,0
HP3277,0
HP3278,0
HP3279,0
HP3280,3
HP3281,0
HP3282,1
HP3283,3
HP3285,0
HP3286,1
HP3287,1
HP3290,0
HP3294,0
HP3297,1
HP3299,0
HP3301,0
HP3308,0
HP3309,3
HP3310,3
HP3311,0
HP3313,0
HP3317,0
HP3318,2
HP3319,0
HP3320,0
HP3321,1
HP3323,2
HP3324,2
HP3325,0
HP3326,1
HP3327,0
HP3329,0
HP3330,0
HP3332,0
HP3335,1
HP3336,1
HP3341,0
HP3342,0
HP3343,0
HP3344,0
HP3346,3
HP3347,0
HP3352,0
HP3353,3
