hp_response_id,category_num
HP3450,0
HP3451,0
HP3452,1
HP3454,0
HP3455,0
HP3456,0
HP3458,0
HP3459,0
HP3460,0
HP3462,0
HP3463,2
HP3464,0
HP3465,0
HP3467,0
HP3468,0
HP3469,0
HP3470,0
HP3471,3
HP3472,2
HP3474,3
HP3475,0
HP3476,0
HP3480,0
HP3481,0
HP3483,2
HP3484,0
HP3485,1
HP3490,1
HP3491,0
HP3492,0
HP3493,0
HP3494,0
HP3495,0
HP3496,0
HP3497,3
HP3498,3
HP3500,0
HP3503,0
HP3504,2
HP3505,2
HP3506,0
HP3507,3
HP3508,0
HP3509,1
HP3512,3
HP3513,1
HP3514,2
HP3517,0
HP3520,0
HP3521,1
HP3525,0
HP3526,0
HP3527,0
HP3528,0
HP3529,0
HP3530,0
HP3532,0
HP3533,0
HP3534,0
HP3535,3
HP3537,0
HP3538,0
HP3539,0
HP3541,0
HP3542,0
HP3545,1
HP3546,0
HP3547,0
HP3549,0
HP3552,3
HP3553,3
HP3555,0
HP3556,0
HP3559,1
HP3560,0
HP3561,0
HP3563,1
HP3567,0
HP3569,3
HP3571,0
HP3572,2
HP3576,0
HP3578,0
HP3582,3
HP3586,2
HP3587,0
HP3588,3
HP3589,0
HP3591,1
HP3592,0
HP3594,0
HP3597,0
HP3598,1
HP3600,0
HP3601,2
HP3603,3
HP3604,0
HP3605,0
HP3606,0
HP3607,0
HP3609,2
HP3610,1
HP3611,0
HP3613,0
HP3615,3
HP3616,3
HP3617,0
HP3618,0
HP3619,1
HP3620,3
HP3622,2
HP3624,3
HP3625,3
HP3626,3
HP3627,1
HP3628,3
HP3629,0
HP3630,2
HP3631,0
HP3632,0
HP3634,3
HP3636,1
HP3638,0
HP3639,0
HP3641,2
HP3643,0
HP3644,0
HP3645,0
HP3646,3
HP3649,2
HP3651,0
HP3652,2
HP3655,2
HP3656,2
HP3658,3
HP3660,2
HP3661,2
HP3662,1
HP3663,3
HP3664,0
HP3665,0
HP3667,1
HP3668,0
HP3670,1
HP3671,1
HP3672,0
HP3673,2
HP3674,2
HP3675,1
HP3676,0
HP3677,3
HP3678,0
HP3680,1
HP3681,0
HP3682,1
HP3684,2
HP3685,2
HP3686,3
HP3687,0
HP3688,0
HP3689,3
HP3690,1
HP3692,2
HP3693,0
HP3695,0
HP3696,2
HP3700,0
HP3702,0
HP3704,1
HP3706,0
HP3708,3
HP3709,3
HP3710,2
HP3711,1
HP3713,3
HP3714,0
HP3716,0
HP3717,1
HP3718,0
HP3720,2
HP3721,2
HP3722,1
HP3723,2
HP3724,0
HP3725,2
HP3726,0
HP3727,3
HP3728,0
HP3732,0
HP3733,2
HP3734,2
HP3735,0
HP3736,0
HP3737,1
HP3739,0
HP3740,1
HP3741,2
HP3742,0
HP3743,0
HP3744,0
HP3745,2
HP3746,3
HP3748,3
HP3749,2
HP3750,0
HP3751,3
HP3752,0
HP3753,0
HP3755,0
HP3758,2
HP3759,0
HP3760,3
HP3761,1
HP3762,2
HP3763,3
HP3764,2
HP3765,1
HP3766,3
HP3768,3
HP3769,0
HP3770,3
HP3772,1
HP3773,3
HP3774,0
HP3776,0
HP3777,0
HP3778,1
HP3779,1
HP3780,2
HP3781,0
HP3782,2
HP3783,0
HP3784,0
HP3785,0
HP3787,3
HP3788,0
HP3789,0
HP3790,0
HP3792,0
HP3795,1
HP3796,0
HP3798,3
HP3799,0
HP3800,0
HP3801,2
HP3802,1
HP3803,2
HP3804,1
HP3805,1
HP3806,0
