hp_response_id,similarity_reference_A
HP0401,51
HP0402,26
HP0403,68
HP0404,54
HP0405,25
HP0406,5
HP0407,31
HP0408,52
HP0409,57
HP0410,38
HP0411,57
HP0412,27
HP0413,31
HP0414,42
HP0415,31
HP0416,76
HP0417,45
HP0418,33
HP0419,57
HP0420,29
HP0421,39
HP0422,36
HP0423,51
HP0424,32
HP0425,26
HP0426,53
HP0427,27
HP0428,64
HP0429,22
HP0430,62
HP0431,26
HP0432,17
HP0433,59
HP0434,85
HP0435,56
HP0436,52
HP0437,21
HP0438,37
HP0439,34
HP0440,82
HP0441,43
HP0442,31
HP0443,57
HP0444,63
HP0445,55
HP0446,25
HP0447,49
HP0448,38
HP0449,36
HP0450,61
HP0451,48
HP0452,20
HP0453,31
HP0454,50
HP0455,28
HP0456,38
HP0457,26
HP0458,65
HP0459,25
HP0460,50
HP0461,55
HP0462,57
HP0463,35
HP0464,36
HP0465,49
HP0466,27
HP0467,61
HP0468,44
HP0469,35
HP0470,62
HP0471,52
HP0472,44
HP0473,27
HP0474,50
HP0475,73
HP0476,51
HP0477,48
HP0478,54
HP0479,29
HP0480,58
HP0481,57
HP0482,28
HP0483,26
HP0484,36
HP0485,25
HP0486,22
HP0487,77
HP0488,31
HP0489,36
HP0490,18
HP0491,32
HP0492,45
HP0493,58
HP0494,45
HP0495,44
HP0496,58
HP0497,59
HP0498,81
HP0499,68
HP0500,38
HP0501,57
HP0502,54
HP0503,34
HP0504,57
HP0505,63
HP0506,27
HP0507,57
HP0508,66
HP0509,49
HP0510,49
HP0511,4
HP0512,47
HP0513,25
HP0514,61
HP0515,52
HP0516,25
HP0517,61
HP0518,53
HP0519,46
HP0520,54
HP0521,20
HP0522,39
HP0523,14
HP0524,24
HP0525,58
HP0526,59
HP0527,19
HP0528,68
HP0529,51
HP0530,56
HP0531,24
HP0532,5
HP0533,29
HP0534,36
HP0535,22
HP0536,59
HP0537,15
HP0538,50
HP0539,62
HP0540,61
HP0541,32
HP0542,45
HP0543,32
HP0544,53
HP0545,19
HP0546,78
HP0547,10
HP0548,57
HP0549,48
HP0550,37
HP0551,62
HP0552,69
HP0553,48
HP0554,54
HP0555,28
HP0556,58
HP0557,30
HP0558,55
HP0559,80
HP0560,28
HP0561,55
HP0562,39
HP0563,0
HP0564,75
HP0565,27
HP0566,34
HP0567,48
HP0568,7
HP0569,81
HP0570,73
HP0571,17
HP0572,9
HP0573,61
HP0574,32
HP0575,31
HP0576,26
HP0577,55
HP0578,72
HP0579,55
HP0580,24
HP0581,41
HP0582,2
HP0583,37
HP0584,23
HP0585,62
HP0586,19
HP0587,60
HP0588,53
HP0589,42
HP0590,50
HP0591,60
HP0592,27
HP0593,67
HP0594,17
HP0595,50
HP0596,60
HP0597,28
HP0598,36
HP0599,8
HP0600,14
HP0601,35
HP0602,55
HP0603,25
HP0604,12
HP0605,30
HP0606,22
HP0607,25
HP0608,41
HP0609,45
HP0610,50
HP0611,84
HP0612,61
HP0613,62
HP0614,57
HP0615,65
HP0616,36
HP0617,57
HP0618,43
HP0619,59
HP0620,51
HP0621,58
HP0622,61
HP0623,27
HP0624,59
HP0625,57
HP0626,15
HP0627,31
HP0628,67
HP0629,50
HP0630,50
HP0631,57
HP0632,66
HP0633,56
HP0634,22
HP0635,47
HP0636,46
HP0637,52
HP0638,56
HP0639,60
HP0640,52
HP0641,62
HP0642,45
HP0643,26
HP0644,34
HP0645,50
HP0646,37
HP0647,34
HP0648,25
HP0649,31
HP0650,30
HP0651,42
HP0652,64
HP0653,39
HP0654,48
HP0655,23
HP0656,44
HP0657,31
HP0658,44
HP0659,57
HP0660,27
HP0661,67
HP0662,83
HP0663,52
HP0664,62
HP0665,24
HP0666,57
HP0667,56
HP0668,25
HP0669,42
HP0670,56
HP0671,34
HP0672,50
HP0673,72
HP0674,42
HP0675,28
HP0676,27
HP0677,2
HP0678,26
HP0679,22
HP0680,62
HP0681,39
HP0682,55
HP0683,63
HP0684,35
HP0685,58
HP0686,58
HP0687,18
HP0688,77
HP0689,31
HP0690,20
HP0691,45
HP0692,59
HP0693,47
HP0694,33
HP0695,48
HP0696,65
HP0697,57
HP0698,25
HP0699,52
HP0700,28
HP0701,35
HP0702,54
HP0703,24
HP0704,62
HP0705,58
HP0706,20
HP0707,63
HP0708,11
HP0709,52
HP0710,25
HP0711,53
HP0712,78
HP0713,75
HP0714,50
HP0715,56
HP0716,22
HP0717,54
HP0718,39
HP0719,39
HP0720,60
HP0721,50
HP0722,26
HP0723,26
HP0724,23
HP0725,18
HP0726,3
HP0727,68
HP0728,34
HP0729,47
HP0730,18
HP0731,31
HP0732,71
HP0733,57
HP0734,61
HP0735,59
HP0736,84
HP0737,49
HP0738,55
HP0739,25
HP0740,35
HP0741,55
HP0742,69
HP0743,35
HP0744,78
HP0745,6
HP0746,56
HP0747,70
HP0748,48
HP0749,24
HP0750,50
HP0751,22
HP0752,58
HP0753,42
HP0754,17
HP0755,24
HP0756,70
HP0757,39
HP0758,66
HP0759,64
HP0760,56
HP0761,24
HP0762,27
HP0763,29
HP0764,45
HP0765,70
HP0766,48
HP0767,18
HP0768,35
HP0769,23
HP0770,5
HP0771,37
HP0772,25
HP0773,61
HP0774,20
HP0775,50
HP0776,40
HP0777,31
HP0778,26
HP0779,78
HP0780,55
HP0781,2
HP0782,25
HP0783,45
HP0784,15
HP0785,52
HP0786,39
HP0787,1
HP0788,73
HP0789,30
HP0790,70
HP0791,26
HP0792,23
HP0793,57
HP0794,61
HP0795,23
HP0796,51
HP0797,38
HP0798,23
HP0799,26
HP0800,33
