hp_response_id,similarity_reference_A
HP4001,4
HP4002,7
HP4003,6
HP4004,6
HP4005,12
HP4006,8
HP4007,3
HP4008,0
HP4009,5
HP4010,7
HP4011,5
HP4012,5
HP4013,6
HP4014,5
HP4015,9
HP4016,17
HP4017,3
HP4018,5
HP4019,7
HP4020,8
HP4021,2
HP4022,6
HP4023,20
HP4024,4
HP4025,3
HP4026,2
HP4027,6
HP4028,6
HP4029,9
HP4030,8
HP4031,3
HP4032,6
HP4033,34
HP4034,4
HP4035,5
HP4036,20
HP4037,4
HP4038,2
HP4039,3
HP4040,6
HP4041,58
HP4042,2
HP4043,5
HP4044,3
HP4045,5
HP4046,4
HP4047,5
HP4048,7
HP4049,16
HP4050,5
HP4051,50
HP4052,5
HP4053,4
HP4054,2
HP4055,6
HP4056,8
HP4057,3
HP4058,7
HP4059,8
HP4060,1
HP4061,4
HP4062,6
HP4063,14
HP4064,11
HP4065,5
HP4066,6
HP4067,6
HP4068,65
HP4069,8
HP4070,11
HP4071,5
HP4072,20
HP4073,5
HP4074,2
HP4075,6
HP4076,9
HP4077,5
HP4078,3
HP4079,5
HP4080,22
HP4081,5
HP4082,5
HP4083,2
HP4084,5
HP4085,5
HP4086,4
HP4087,7
HP4088,4
HP4089,4
HP4090,1
HP4091,3
HP4092,3
HP4093,4
HP4094,4
HP4095,4
HP4096,6
HP4097,5
HP4098,4
HP4099,6
HP4100,4
HP4101,4
HP4102,6
HP4103,55
HP4104,4
HP4105,4
HP4106,3
HP4107,4
HP4108,5
HP4109,0
HP4110,25
HP4111,4
HP4112,5
HP4113,8
HP4114,7
HP4115,4
HP4116,5
HP4117,5
HP4118,7
HP4119,7
HP4120,6
HP4121,8
HP4122,12
HP4123,20
HP4124,35
HP4125,6
HP4126,7
HP4127,4
HP4128,4
HP4129,5
HP4130,8
HP4131,5
HP4132,5
HP4133,5
HP4134,14
HP4135,35
HP4136,4
HP4137,4
HP4138,6
HP4139,7
HP4140,4
HP4141,0
HP4142,7
HP4143,4
HP4144,2
HP4145,5
HP4146,44
HP4147,2
HP4148,3
HP4149,5
HP4150,4
HP4151,4
HP4152,6
HP4153,7
HP4154,5
HP4155,7
HP4156,7
HP4157,4
HP4158,30
HP4159,4
HP4160,4
HP4161,5
HP4162,4
HP4163,6
HP4164,10
HP4165,6
HP4166,1
HP4167,4
HP4168,4
HP4169,5
HP4170,4
HP4171,4
HP4172,4
HP4173,5
HP4174,4
HP4175,4
HP4176,4
HP4177,6
HP4178,5
HP4179,35
HP4180,49
HP4181,5
HP4182,3
HP4183,2
HP4184,7
HP4185,51
HP4186,3
HP4187,4
HP4188,14
HP4189,50
HP4190,5
HP4191,4
HP4192,6
HP4193,37
HP4194,2
HP4195,3
HP4196,3
HP4197,4
HP4198,5
HP4199,16
HP4200,4
HP4201,7
HP4202,15
HP4203,4
HP4204,10
HP4205,5
HP4206,5
HP4207,4
HP4208,5
HP4209,7
HP4210,7
HP4211,3
HP4212,4
HP4213,5
HP4214,0
HP4215,3
HP4216,3
HP4217,10
HP4218,5
HP4219,7
HP4220,4
HP4221,3
HP4222,12
HP4223,4
HP4224,6
HP4225,5
HP4226,7
HP4227,7
HP4228,3
HP4229,8
HP4230,6
HP4231,7
HP4232,62
HP4233,6
HP4234,5
HP4235,6
HP4236,6
HP4237,5
HP4238,6
HP4239,20
HP4240,4
HP4241,7
HP4242,13
HP4243,25
HP4244,11
HP4245,4
HP4246,7
HP4247,6
HP4248,4
HP4249,3
HP4250,3
HP4251,0
HP4252,7
HP4253,5
HP4254,0
HP4255,50
HP4256,30
HP4257,5
HP4258,2
HP4259,4
HP4260,4
HP4261,3
HP4262,4
HP4263,7
HP4264,6
HP4265,3
HP4266,9
HP4267,3
HP4268,4
HP4269,3
HP4270,6
HP4271,20
HP4272,12
HP4273,5
HP4274,14
HP4275,20
HP4276,3
HP4277,4
HP4278,8
HP4279,9
HP4280,3
HP4281,3
HP4282,7
HP4283,25
HP4284,3
HP4285,4
HP4286,4
HP4287,4
HP4288,6
HP4289,6
HP4290,55
HP4291,4
HP4292,5
HP4293,4
HP4294,52
HP4295,15
HP4296,4
HP4297,5
HP4298,4
HP4299,6
HP4300,5
HP4301,4
HP4302,6
HP4303,2
HP4304,9
HP4305,5
HP4306,3
HP4307,4
HP4308,3
HP4309,6
HP4310,3
HP4311,22
HP4312,4
HP4313,20
HP4314,6
HP4315,6
HP4316,4
HP4317,0
HP4318,6
HP4319,4
HP4320,5
HP4321,4
HP4322,8
