hp_response_id,similarity_reference_A
HP1201,0
HP1202,68
HP1203,28
HP1204,18
HP1205,16
HP1206,5
HP1207,58
HP1208,25
HP1209,2
HP1210,17
HP1211,48
HP1212,56
HP1213,43
HP1214,40
HP1215,27
HP1216,58
HP1217,6
HP1218,12
HP1219,70
HP1220,54
HP1221,35
HP1222,8
HP1223,42
HP1224,35
HP1225,8
HP1226,18
HP1227,20
HP1228,41
HP1229,46
HP1230,59
HP1231,19
HP1232,48
HP1233,30
HP1234,37
HP1235,31
HP1236,49
HP1237,11
HP1238,37
HP1239,30
HP1240,33
HP1241,8
HP1242,31
HP1243,30
HP1244,11
HP1245,7
HP1246,28
HP1247,27
HP1248,61
HP1249,26
HP1250,28
HP1251,58
HP1252,15
HP1253,27
HP1254,21
HP1255,0
HP1256,27
HP1257,28
HP1258,41
HP1259,41
HP1260,20
HP1261,50
HP1262,57
HP1263,25
HP1264,22
HP1265,16
HP1266,10
HP1267,16
HP1268,38
HP1269,49
HP1270,42
HP1271,49
HP1272,25
HP1273,20
HP1274,20
HP1275,40
HP1276,0
HP1277,80
HP1278,30
HP1279,48
HP1280,52
HP1281,39
HP1282,35
HP1283,22
HP1284,31
HP1285,18
HP1286,18
HP1287,30
HP1288,25
HP1289,15
HP1290,11
HP1291,27
HP1292,16
HP1293,76
HP1294,30
HP1295,27
HP1296,31
HP1297,57
HP1298,31
HP1299,62
HP1300,22
HP1301,4
HP1302,10
HP1303,54
HP1304,7
HP1305,55
HP1306,24
HP1307,19
HP1308,64
HP1309,32
HP1310,24
HP1311,2
HP1312,31
HP1313,30
HP1314,51
HP1315,22
HP1316,29
HP1317,62
HP1318,34
HP1319,54
HP1320,32
HP1321,18
HP1322,31
HP1323,41
HP1324,23
HP1325,25
HP1326,5
HP1327,22
HP1328,29
HP1329,67
HP1330,1
HP1331,38
HP1332,17
HP1333,27
HP1334,20
HP1335,50
HP1336,32
HP1337,14
HP1338,28
HP1339,63
HP1340,40
HP1341,57
HP1342,30
HP1343,32
HP1344,21
HP1345,51
HP1346,49
HP1347,40
HP1348,28
HP1349,17
HP1350,53
HP1351,51
HP1352,59
HP1353,20
HP1354,30
HP1355,52
HP1356,59
HP1357,28
HP1358,50
HP1359,45
HP1360,17
HP1361,53
HP1362,29
HP1363,73
HP1364,61
HP1365,18
HP1366,28
HP1367,29
HP1368,4
HP1369,13
HP1370,59
HP1371,7
HP1372,55
HP1373,38
HP1374,30
HP1375,40
HP1376,22
HP1377,5
HP1378,54
HP1379,34
HP1380,70
HP1381,37
HP1382,2
HP1383,55
HP1384,19
HP1385,59
HP1386,14
HP1387,30
HP1388,34
HP1389,21
HP1390,28
HP1391,30
HP1392,17
HP1393,58
HP1394,28
HP1395,52
HP1396,54
HP1397,59
HP1398,26
HP1399,65
HP1400,30
