hp_response_id,category_num
HP0440,1
HP0444,1
HP0446,1
HP0448,1
HP0451,1
HP0454,1
HP0459,0
HP0461,1
HP0463,1
HP0468,1
HP0469,1
HP0471,1
HP0476,1
HP0478,0
HP0479,1
HP0485,1
HP0497,1
HP0501,1
HP0503,1
HP0505,1
HP0508,1
HP0511,3
HP0513,1
HP0514,1
HP0515,1
HP0516,0
HP0517,1
HP0521,0
HP0523,0
HP0524,0
HP0525,1
HP0527,1
HP0528,1
HP0529,1
HP0530,1
HP0531,0
HP0532,0
HP0537,0
HP0540,1
HP0541,1
HP0542,1
HP0544,1
HP0547,3
HP0548,1
HP0551,1
HP0552,1
HP0553,1
HP0555,1
HP0556,1
HP0561,1
HP0563,0
HP0564,1
HP0567,1
HP0569,1
HP0570,1
HP0571,0
HP0573,1
HP0579,1
HP0587,1
HP0588,1
HP0590,1
HP0591,1
HP0593,1
HP0594,1
HP0595,1
HP0597,1
HP0599,0
HP0600,0
HP0601,1
HP0613,1
HP0614,1
HP0617,1
HP0620,1
HP0623,1
HP0624,3
HP0631,1
HP0632,1
HP0633,1
HP0640,1
HP0641,1
HP0642,1
HP0648,1
HP0649,1
HP0650,1
HP0652,1
HP0655,1
HP0659,1
HP0660,1
HP0665,0
HP0666,1
HP0668,1
HP0669,1
HP0671,0
HP0673,1
HP0674,1
HP0676,1
HP0677,0
HP0679,0
HP0683,1
HP0684,1
HP0686,1
HP0689,1
HP0690,0
HP0694,1
HP0696,1
HP0699,0
HP0700,1
HP0703,0
HP0704,1
HP0705,1
HP0712,0
HP0713,1
HP0716,0
HP0717,1
HP0718,1
HP0719,1
HP0720,1
HP0721,1
HP0722,1
HP0725,0
HP0728,1
HP0729,1
HP0731,1
HP0734,1
HP0736,1
HP0737,1
HP0746,1
HP0751,1
HP0752,1
HP0753,1
HP0755,0
HP0757,1
HP0758,1
HP0761,1
HP0762,1
HP0766,1
HP0767,0
HP0769,0
HP0770,0
HP0771,1
HP0776,1
HP0777,1
HP0779,1
HP0780,1
HP0784,2
HP0787,0
HP0788,1
HP0789,1
HP0793,1
HP0794,1
HP0796,1
HP0797,1
HP0801,1
HP0802,3
HP0804,0
HP0805,3
HP0807,1
HP0810,3
HP0811,3
HP0813,3
HP0814,3
HP0815,3
HP0816,3
HP0817,0
HP0818,1
HP0819,1
HP0820,3
HP0821,3
HP0822,0
HP0826,0
HP0827,1
HP0828,3
HP0829,1
HP0831,3
HP0832,0
HP0833,1
HP0834,1
HP0835,3
HP0837,0
HP0838,3
HP0839,0
HP0841,0
HP0842,1
HP0843,3
HP0844,3
HP0845,0
HP0846,1
HP0847,3
HP0849,1
HP0850,3
HP0851,1
HP0852,1
HP0853,1
HP0855,3
HP0856,0
HP0857,1
HP0858,1
HP0860,3
HP0862,3
HP0864,0
HP0865,3
HP0866,1
HP0867,1
HP0870,1
HP0872,1
HP0873,1
HP0874,1
HP0875,1
HP0876,3
HP0877,3
HP0878,0
HP0880,3
HP0881,0
HP0882,3
HP0883,1
HP0884,3
HP0886,3
HP0887,0
HP0888,0
HP0889,3
HP0890,0
HP0891,1
HP0892,1
HP0893,0
HP0894,1
HP0895,1
HP0896,1
HP0897,1
HP0898,1
HP0899,1
HP0900,3
HP0901,0
HP0902,3
HP0903,1
HP0904,1
HP0905,1
HP0906,1
HP0907,3
HP0908,3
HP0909,3
HP0910,0
HP0911,3
HP0912,1
HP0913,3
HP0914,1
HP0916,0
HP0917,0
HP0918,3
HP0919,1
HP0920,1
HP0921,0
HP0922,0
HP0923,3
HP0924,0
HP0925,3
HP0926,0
HP0927,0
HP0929,3
HP0931,3
HP0933,3
HP0934,3
HP0935,1
HP0936,3
HP0937,0
HP0938,3
HP0939,1
HP0943,3
HP0945,1
HP0946,1
HP0949,2
HP0950,3
HP0951,1
HP0952,1
HP0953,0
HP0954,3
HP0955,1
HP0956,2
HP0957,3
HP0958,1
HP0959,1
HP0960,1
HP0962,3
HP0965,1
HP0966,0
HP0968,0
HP0970,1
HP0971,1
HP0972,1
HP0974,3
HP0975,0
HP0976,1
HP0977,0
HP0978,1
HP0980,0
HP0981,1
HP0982,0
HP0983,3
HP0984,0
HP0985,1
HP0986,3
HP0988,1
HP0989,0
HP0990,1
HP0991,3
HP0992,1
HP0996,3
HP0997,1
HP0998,1
HP1001,1
HP1002,3
HP1003,3
HP1004,0
HP1005,2
HP1006,0
HP1007,1
HP1008,0
HP1009,1
HP1010,0
HP1011,3
HP1012,0
HP1013,1
HP1015,0
HP1016,1
HP1018,3
HP1019,3
HP1020,1
HP1021,3
HP1022,1
HP1025,0
HP1026,0
HP1027,3
HP1028,0
HP1029,3
HP1030,3
HP1031,3
HP1033,1
HP1034,1
HP1035,0
HP1036,0
HP1037,3
HP1038,1
HP1039,1
HP1041,3
HP1043,3
HP1044,3
HP1045,3
HP1046,0
HP1047,1
HP1050,3
HP1051,1
HP1053,3
HP1054,3
HP1056,1
HP1057,1
HP1058,0
HP1059,3
HP1061,3
HP1062,3
HP1063,1
HP1064,1
HP1065,0
HP1066,0
HP1067,1
HP1069,1
HP1070,1
HP1071,1
HP1072,1
HP1073,1
HP1075,3
HP1076,3
HP1077,0
HP1078,3
HP1080,1
HP1081,0
HP1082,3
HP1083,1
HP1084,3
HP1085,1
HP1086,3
HP1087,3
HP1088,1
HP1090,0
HP1091,1
HP1092,0
HP1093,3
HP1095,1
HP1096,1
HP1097,3
HP1098,0
HP1099,3
HP1100,1
HP1101,3
HP1102,1
HP1104,1
HP1106,0
HP1107,3
HP1108,3
HP1109,3
HP1110,1
HP1111,1
