hp_response_id,memory
HP4005,This would be like taking advantage of a naive person. 
HP4007,Winning a small amount on the lottery.
HP4010,Changing the price by $4 seems like a a realistic mark up that I would expect for a product.
HP4011,Asking for a higher rate when i think my work is worth more
HP4013,The item could be very sought for - something  very popular with kids eg labubu. This could mean sellers are able to increase prices due to supply and demand.
HP4014,general inflation within retail
HP4015,Similar to expecting a free service from someone and not paying them for their time. It is like using a free mortgage broker.
HP4016,Equal to the broker selling price.
HP4020,increasing the price of an item of clothing above the suggest price recommended by Vinted
HP4023,"A harsh increase to him he will stand to make no profit if we are selected. This feels brutal. Like something my parents would do, so I don't want to do that to someone."
HP4025,"for the broker, it would be similar to someone cutting you off in traffic - rude and mildly offensive"
HP4026,maybe too much of a change
HP4030,I find it similar to increasing the price on ebay because the stock is selling really well
HP4033,taking $4 from the other participant
HP4034,Finding money on the street.
HP4035,buy one get one 1/2 price
HP4036,That would be increasing it by 50% to $12 and would be the same amount of money the other participant gets.
HP4039,"I characterise money that I don't need for essentials by what either how much time it takes to earn it or by what essentials it would pay for. So, for $4 I transfer that to being the equivalent of being able to buy 4 tins of soup."
HP4041,I have fallen out with my friend and no longer want to talk to them.  I don't see why I should give them anything at all and take all the sweets leaving them with none.
HP4044,It was a better choice I think.
HP4046,The inflation level increasing.
HP4047,When browsing for an online purchase and expected to pay an amount.  Then a delivery charge is added so therefore I am paying more.
HP4048,Trying to make a profit by selling something on
HP4049,Where a team member is trying to play a game and splits everything evenly bur gets the maths wrong
HP4050,The cost of living crisis where the price of most items is constantly rising with inflation.
HP4052,An in-demand product that is worth the price it is being charged.
HP4058,This is like an estate agent just bumping up the price of a house randomly
HP4059,"being overcharged and greedy. like being asked for double the amount something is worth, or actually when you forget about tax being added to the price of an item"
HP4063,Completely mugging the broker off this is not a fair outcome for them if they have made the connections.
HP4064,"That might push the buyer out of range, since he could not make a profit on your data"
HP4065,"It’s like asking for a bit more than usual, maybe like requesting a small raise."
HP4066,A grocery chain increasing prices for a better profit
HP4069,Being in a stock broker floor trying to barter better deals.
HP4072,This feels like a first world country taking away the little resources left from a third world country.
HP4080,this is like borrowing money and getting it back
HP4083,A card game where I know I have a better hand than my opponent.
HP4084,going to buy something and finding that it has gone up since you last looked
HP4088,Current inflation on groceries
HP4089,"Losing a moderate amount to a client, having a difficult product to sell."
HP4091,Half the price which is half the starting price.
HP4092,I imagine this as gaining money.
HP4093,A sudden bonus.  Maybe the company I am producing data for wants to retain staff.
HP4095,A significant price increase 
HP4096,"I find this price increase similar to overpricing an item you are selling, meaning that buyers are much less likely to make a purchase."
HP4098,It reminds me of annual inflation.
HP4099,This feels similar to a shop increasing the price of its products to account for inflation of the materials they use to produce products.
HP4100,"I was shopping at a pet store for a bag of cat food which costs $8. I then spontaneously decide to add a few cans of wet cat food, which cost $4, so the total I have to pay is $12."
HP4101,"I find it similar to inflation, prices are going up"
HP4102,"Someone reselling a concert or sports ticket for a sold-out event will increase the price by a big margin, 50% or more."
HP4103,This is similar to someone taking all the money for themselves while someone else is left with nothing.
HP4104,Represents the current inflation of olive oil prices
HP4105,Price raises of certain items due to recession
HP4106,$4 is similar to the price of a cup of coffee when you go out somewhere.
HP4107,Having a unique product so that your product has more value
HP4110,This is the same as me stealing all of the money and screwing the broker over. Like if we were in a bank heist and I ran away with all of the loot. Like Ewan McGregor at the end of Trainspotting.
HP4112,"I find it similar to receiving a Prolific email, saying the researcher has added an additional payment. Result!"
HP4114,Managing to sell something for more than its worth
HP4115,Paying interest fees
HP4116,"Picture a landlord who suddenly raises the rent by $4 a day saying, ""it's just inflation"" but the tenant feels blindsided"
HP4122,the broker losing profit
HP4125,Scalpers driving up the price of the product they resell.
HP4128,like getting a nice pay rise 
HP4131,conserving a rare commodity by setting a price few if any would pay.
HP4133,Increased by 50% making the higher price of 12 dollars
HP4134,Changing the price by +$4 is asking the broker to work for free. It's like asking a plumber to replace a part but saying you'll buy the part yourself and not pay any labour charge. Obviously in real life I wouldn't know how much the broker will sell for. 
