hp_response_id,memory
HP1112,I find it similar to buying a cup of coffee. Im fine with treating a participant to a cup of Joe
HP1113,This is similar to someone saying they will pay but the person does not pay. 
HP1114,Being selfish
HP1115,deciding to keep my money and letting them keep  their money
HP1118,"Opting not to lend money to someone who asks,"
HP1119,We both get paid fair wages for our work.
HP1121,Being frugal
HP1122,winning at an arcade game when theres others around who havent won anything
HP1123,Paying a friend for my share of lunch.
HP1124,This reminds me of a time that I borrowed a friend a tenner. Then they paid me back withing an hour. Basically I was back to even so I wasn't up or down.
HP1126,I find it similar to me giving a little less money for food to my boyfriend because he makes more money than me
HP1127,I find it similar to looking the other way when I have an advantage and someone else is at a disadvantage. 
HP1128,Being selfish
HP1130,"Greed, the current administration. Scrooge."
HP1131,Ignoring and overlooking another person in passing. 
HP1132,Doing nothing
HP1133,recognising that everthing is equal
HP1135,Families splitting their pocket money
HP1137,Someone from a lower class willing to help but not able to give a lot.
HP1138,keeping things as they are
HP1139,donating spare cash to a good cause
HP1140,"If I were transferring money to someone, I guess it might feel similar to going out to eat together and splitting the bill but I did not eat as much."
HP1141,giving a gift.
HP1142,You both keep the money in your account regardless the amount you initially had. 
HP1143,It is similar to when a person does not want to share.
HP1144,sharing
HP1145,everyday life
HP1147,Having a bag of sweets and giving a handful to a friend but keeping a good amount for myself 
HP1148,Splitting the bill at a restaraunt
HP1149,Settling up a bill with a friend where he bought an expensive drink for himself and a cheap drink for me.
HP1150,meh I can go even split
HP1151,It is like paying one's assistants.
HP1152,Ignoring a panhandler
HP1153,That seems like I would not be a team player.
HP1154,"A man and a woman working on the same tasks, with the same level experience and being paid for their time. The woman getting the $4."
HP1155,It's similar to a standard credit card check before making an online payment.
HP1156,"This is the second-best option, leaving the initial funds allocated alone. The system indicates who gets what, which isn't really unfair since it is randomized. This would be like winning the lottery."
HP1159,Splitting a check with a friend where they ordered a higher dollar amount but paid you the average.
HP1160,This is similar to rich people not giving to poorer people.
HP1161,A charity donation
HP1163,Management earning the money and then taking what they believe they deserve and then dispensing the rest to their employees beneath them. 
HP1164,"This is ok but it is kind of half arsing it, it is like when I do the garden I am not really giving it a fair go it is just a token effort really"
HP1165,This would be fair. It is similar to winning a lottery ticket and keeping your share.
HP1167,Nothing has changed
HP1168,"Like when Im out with someone at the restaurant, we each pay our own part. "
HP1172,This is similar to getting underpaid for a job
HP1173,"I find it similar to making a small donation to a charity I support. Pleasant, thoughts of maybe I should do more."
HP1174,"Like if someone owed me a dollar, and I have them $4 to go get a red baron pizza."
HP1175,I think it is similar to if I was paying the babysitter.  They take care of my kids all week long and I give them a substantial portion of my pay.
HP1176,Being a little greedy and possibly wanting more for myself.
HP1177,Giving someone a share of my allocation 
HP1178,Keeping some extra for myself because I need it more.
HP1180,A mean person who doesnt like to share equally
HP1181,even
HP1182,Giving to a small It could be similar to keeping loose change in your pocket or coat for when you're going to the shops to get something 
HP1183,Prioritising myself; I have recently learned the value of prioritising your own needs without sacrificing others needs completely.
HP1185,slightly unfair as the participant wouldnt get anything
HP1186,Helping out a colleague at work who has forgotten their wallet or purse and need to buy lunch 
HP1188,this is the equivalent of doing nothing and not going out of my way to be nice or mean
HP1190,"A selfish, self centered person - hording all the money for themselves. "
HP1191,"I find this similar to splitting a bill based on what I consumed in a restaurant with friends or family, I don't contribute any more than needed and either do the other people."
HP1192,Everyday reality
HP1193,Tipping someone in a restuarant
HP1194,giving a small amount of your hard earned money to charity.
HP1195,Paying a friend back for buying something earlier
HP1196,Similar to buying a friend a soda on a road trip
HP1198,Giving someone coffee change
HP1199,Paying my Dad for the magazine he picked up for me
HP1200,Helping a homeless person with money at the gas station
HP1201,Nothing
HP1202,"Not splitting 10 pounds from someone, and leaving them with nothing "
HP1203,"Getting tipped by a customer for a group work service, and I choose to take my work partner's share and no telling them about the tip."
HP1204,Taking a lollypop from a young child.
HP1205,This is similar to my relationship with my daughter where I buy things for her and she never gives me the money.  In this scenario I am my daughter.
HP1206,I'm not sure why I would
HP1208,Taking the change out of their pocket
HP1209,losing a parking space
HP1210,That person owing me money that they have not paid back
HP1211,This feels the same as taking away from another person and so i could have an opportunity for them but i refuse to give it to them which results in a loss to them. 
HP1212,Like someone not sharing their sweets with you.
HP1213,Being selfish and not thinking of others 
HP1214,being selfish
HP1216,I imagine it to be similar to someone not sharing when they get a free cake.
HP1217,I would find it similar to ignoring someone when they are trying to talk to you.
HP1218,"I can't imagine doing this either! I suppose it's like how life can be hard for some people, that whatever they do they lose out and are penalised. "
HP1219,This is similar to being extremely greedy because why do I deserve the whole $12 I should share something
HP1220,Cutting someone out totally when it would be more kind to share
HP1222,Testing money transfers.
HP1223,My cousin needing money but me not having enough.
HP1224,I would find it similar to taking money from someone. Like if a person dropped $4 and I picked it up without saying anything.
HP1225,interacting with strangers
HP1226,I find this similar to selling them an item for $4 and taking the money earned from that sale.
HP1227,This is like the rich versus poor divide in many western democratic countries.
HP1228,If I was in a situation in which I had a dire need for the money.  Such as being short on bills or needing the money to buy food for the day. 
HP1230,I find it similar to sending someone money if they need it for an expense. 
HP1231,i find this similar to someone else paying your bills for you
HP1232,When someone lazy asks me for money and I don't give it to them. This reminds me of it.
HP1233,I find it similar to stealing from someone on the street. 
HP1234,I find it similar to getting 12 dollars for working on a project and my coworker did nothing so I didn't give them any money toward it.
HP1235,I would think of it as stealing from someone else.
HP1236,It's like not spending anything or donating anything. Just watching other people in life go about theirs around you.
HP1238,This is selfish and not thinking of the other person. It takes advantage of others.
HP1239,Very similar to theft
HP1240,When I need the money for something and they already have enough.
HP1241,getting a present
HP1242,Stealing from them.
HP1243,Feels like stealing
HP1245,being a shopkeeper
HP1247,Me asking my buddy to spot me some cash because I haven't got paid yet this week.
HP1248,"A situation where I have more of something than I need, but still don't share."
HP1249,totally unfair
HP1250,Stealing something from someone in the street.
HP1252,Charging a person for the same item someone else bought at a lower price.
HP1253,Being mean and shady
HP1254,"A friend of mine owes me money, so they give me $4."
HP1255,Nothing. There isn't any situation this arises in my life or in my conscience 
HP1256,Robbery
HP1257,Stealing
HP1258,I would find it similar if a friend asked me to loan them some money.
HP1259,If someone offered to buy me coffee then I would not send them money.
HP1260,when someone needs to bail me out as I have no money
HP1261,Withholding money from a panhandler
HP1262,similar to a greedy person not sharing when they have plenty to share
