hp_response_id,memory
HP0001,Buying someone food
HP0003,"Receiving more Christmas toys, and I choose to give some to my sibling."
HP0004,Giving some money in charity.
HP0005,If I was out with friends for drinks but I was drinking soft drinks that are less expensive whilst they were drinking more expensive alcohol but we split the bill evenly.  I would have paid more for less of the total.
HP0006,I'm not sure why I would
HP0007,Giving to charity. 
HP0008,Paying for someone's coffee
HP0009,giving to charity
HP0010,Sharing money with a friend to be able to buy something they want
HP0012,Nothing
HP0013,Giving a friend a little extra
HP0014,being generous
HP0015,Offering something to someone who is worse off than me like giving to a charity
HP0016,I find this similar to giving someone some birthday money.
HP0017,I would find it similar to buying a coffee from a barista at starbucks.
HP0019,This sounds pretty generous to me because it's more than I would have at that point
HP0020,Feeling ripped off or unfairly sharing costs for a shared expense 
HP0021,Giving away most of my money and not worrying abot it
HP0022,Sending money for part of a meal
HP0023,Spotting a friend for gas
HP0024,I would find it similar to giving a homeless person $4 while walking around a city.
HP0025,Splitting the cost of lunch with a friend if I ordered more food.
HP0026,I find this similar to purchasing an item for $4 and transferring the money spent on the item to the other participant.
HP0027,My friend passed more exams than me so got a bigger reward.
HP0028,"Knowing that my partner was in a position that they needed the money more than me but I still needed some.  Maybe for Christmas presents or something like that, a situation where we both needed it but it was dispersed according to the level of need. "
HP0029,Too much. A person that gives more than they're able to. 
HP0030,I find it similar to sending a friend some money for food. 
HP0032,This is similar to pitching in for a birthday present for a co-worker.
HP0033,I find it similar to donating money to a good cause.
HP0034,I find it similar to the other day when I had 12 dollars and my friend needed 8 and I gave it to her.
HP0035,Donating a larger portion to someone in desperate need.
HP0036,This is like buying a small gift for someone- a pair of socks for a friend.
HP0037,It sounds like losing $4
HP0038,The time around Christmas when you give gifts to others.
HP0039,Paying tax to the goverment
HP0040,Helping someone be able to purchase something they haven't got enough for.
HP0041,donating to someone or something
HP0042,Trading places with them.
HP0043,Giving to a charity
HP0044,Helping my friend prepare for an event that I plan to attend as a guest
HP0045,giving to charity
HP0046,"Paying bills, where it seems like you start with a lot of money and then it quickly vanishes."
HP0047,My buddy asking me to buy him some food because he hasn't got paid yet this week. 
HP0048,A situation where I am being altruistic and self-sacrificing.
HP0049,This is not even for both sides
HP0050,Giving money to charity helping all those around you.
HP0051,Being in the advantageous position (having all the money) and deciding to be generous.
HP0052,Helping someone in line cover the extra cost of their bill at a grocery store.
HP0053,That's a little more than I'm willing to give. I'd like to walk out even
HP0054,"An example would be when a coworker and I get stuff from the vending machine and they don't have enough money, so I pay for some of their food."
HP0055,"Sending money to someone who needs it, yet its a large chunk of what I have left."
HP0056,donating a good amount to charity
HP0057,generosity
HP0058,I would find it similar if i bought a sandwich or a pastry for a friend.
HP0059,I would imagine that this would be to pay back my portion of a meal.
HP0060,When I bought lunch for someone in Sri Lanka
HP0061,Being generous to someone who helped me
HP0062,it would be similar to me filling up a bottle but only 2/3 to the top
HP0063,I find it like doing a good thing. Helping someone who needs it.
HP0064,If I knew i owed someone for something previous so would make up the remaining amount in transfer.
HP0065,It's almost like loaning money to someone or giving to charity.
HP0066,I feel it as buying my partner lunch
HP0067,paying them for a service
HP0068,That an alturistic act to try and make both participants equal
HP0069,a situation where they dserve the moeny more than me maybe i have enough in my account and dont need it but they more desperatly need it
HP0070,This would be like giving money to charity or helping others.
HP0071,"A gift for a special occasion, ie. Baby shower or engagement, but less than a birthday gift "
HP0072,I find it similar to stories of generosity this time of year during the holiday season. It is a charitable time of year.
HP0073,I find this similar to splitting a payment if we are at the movies and want to share in the costs for tickets and snacks.
HP0074,It reminds me of if I buy a candy bar for a friend.
HP0075,"Transferring $4 feels like a situation where I decide to split what I have more fairly with someone who started out with less. For example, if I have extra lunch money and my friend has much less, I give them half of what I have so we can both have enough. It’s an effort to reduce the gap between us. Its like having an equal share by ensuring equity in both parties."
HP0076,Losing money
