hp_response_id,memory
HP2009,This is like a loss leader in supermarkets
HP2010,Paying all of my bills and rent
HP2011,Getting slapped across the face.
HP2012,this is two thirds of the original
HP2014,clearence sale / bargain bin!
HP2015,"I would find this a pointless exercise to continue with, so would withdraw my  participation from the activity, to avoid further losses."
HP2016,This is similar to selling below your cost price.
HP2017,Nothings comes to mind
HP2018,Not being able to carry out the entirety of a service due to other factors
HP2019,Instead of shopping main brands you go for store brands which are cheaper instead
HP2020,I would find it similar to losing money because I don't think I would make money based on the scenario. I could be wrong about that.
HP2021,Friends exchanging services or goods.
HP2022,"A grocery store putting a discount on bakery items that are about to pass their ""use by"" date"
HP2023,This is a bargain for the buyer
HP2024,I would feel cheated.  It feels like I lost in some way.
HP2025,"Someone selling something on ebay getting most of the profit, but ebay still taking a cut of the profit."
HP2027,Paying for my drinks but not that of my friend (I drink more! ;-)
HP2028,The price of stock has dipped significantly in one day
HP2029,Buying a meal at a cafe.
HP2031,Giving an offer to sellers of a house
HP2032,Changing the price by -$8 is like a Black Friday fire sale.
HP2033,This is a big concession clearing indicating you are going out of you way to help someone. In this instance it would be letting someone buy something at a very low price to help them out
HP2034,"I have some money, it is not much, and I need to take a good portion of it out and now I feel overwhelmed."
HP2035,"I have made a reduction of $8, remaining $4 as the set price"
HP2036,I find this similar to me partially paying for a friends meal. 
HP2037,Setting a low price that you won't get much back from
HP2038,i see there is a $4 change.
HP2039,The price of a pint in London 
HP2040,Losing almost everything on a gamble.
HP2041,A very big slae where items are heavily discounted!
HP2042,Seems that you were overcharged in the first place. Sounds like you were try to rip them off.
HP2043,Similar to giving it away for free
HP2044,I am not entirely sure.  The changing price of goods I suppose?
HP2045,Similar to companies forcing employee wages downwards.
HP2046,I'd loose $4 and it would not benefit me
HP2047,Political announcement about downturn in the market
HP2048,This would be like a clearance/end of season sale; the time to sell is running out so there is a deep discount.
HP2049,A farmer selling food to a supermarket
HP2050,That would be something like Amazon Black Friday
HP2052,"I would be surprised at a reduction in price, although pleased.  I can't think of a situation where the price has reduced this much."
HP2053,A producer has hit financial difficulty as their production costs have jumped up considerably due to riding energy and material costs and require a larger 'cut' in order to continue production and meet suppliers needs.
HP2054,This is a big discount which reminds me of a closing-down/liquidation sale.
HP2055,feeling upset that you are not being valued
HP2057,"That is a much bigger discount, so almost being given away"
HP2058,loosing your job with no redundancy pay
HP2059,"Prolific! They likely take a handsome fee and the participant receives monetary gain also,"
HP2060,"The seller wants to just get rid of it; they mostly find these at yard sales. While the seller might know its value, they haven't used it in years and just want to get rid of it. "
HP2061,"Changing the price by -8 is like getting taxed. You expect to be receiving a larger amount, but then a large chunk of this goes elsewhere."
HP2063,the other player would lose out and i would not earn much
HP2064,This makes zero sense 
HP2065,"Someone got a loan in your name, with identity fraud and now the loan is on your name and ruining your credit score. "
HP2066,A 'fire-sale' to get rid of unwanted goods
HP2067,Black Friday when I bought toothpaste!
HP2068,being with a friend and giving them eight dollars to cover the cost of their lunch. 
HP2069,"Being younger and being treated differently, the others had more than I did and i always felt left out."
HP2071,Taking most of the food at a potluck and barely leaving enough for everyone else.
HP2072,Liquidation of stock 
HP2073,"Setting a high price for an item and just hoping that I get some kind of offer. The buyer throws in a low ball offer, and I'm glad to accept just to get it off my hands. "
HP2074,A used car salesman trying to be strategic in selling to a client
HP2076,Something on clearance
HP2077,Similar to losing 2/3 of my money
HP2078,"A real drop in value, which would significantly reduce the data provided, similar to something very reduced."
HP2079,"This would be quite a significant change, comparable perhaps to finding out you lost your purse"
HP2080,I find it similar to taking pity on someone to help them out.
HP2081,I have no clue what you want me to put here taking 8 dollars from the price of a 12 dollar item is just a 75% price cut.
HP2083,This reminds me of someone bargaining by offering a lower price and working to meet in the middle.
HP2084,"This is like a liquidation sale, where the liquidator is trying to get some money back for the creditors by selling off the stock cheaply. "
HP2085,"This reminds me of when you lower your price a lot just to get something off your hands. Like selling an old phone and realizing the buyer won’t budge unless you take a big cut, so you decide it’s better to just close the deal than drag it out."
HP2086,-$8 is like going out with some friends to a cinema and having to pay for yourself
HP2088,"I have to say that I find the question perplexing!
So the price is now $4. I don't deal in data in real life so don't have much knowledge of this so I'll think if the product in terms of food!
In this instance I would be able to buy a basic supermarket sandwich."
HP2089,It is similar to earning more money than someone in your office.
HP2090,Selling items on Vinted.
HP2091,A black Friday sale where the data handler just wants to cash in on sales regardless of the price
HP2092,A Black Friday type deal in November that should not normally be employed due to how little profit can potentially be made on that particular product if you do not get the necessary sales. 
HP2094,The price for a burger.
