hp_response_id,memory
HP3450,The price would stay the same 
HP3451,"I find this similar to my old football team, no matter what we altered or did different, nothing changed"
HP3452,"This scenario is similar to selling a product for $8, and the buyer finds the price to be reasonable. This represents that the price is not changed by any amount."
HP3454,"Similar to checking the view carefully, but finding that nothing had changed."
HP3455,"This is when you go to a market and ask the price of something you like, you pay the price as you like the product and dont want to negotiate. "
HP3456,"This might be like two people just going about some type of business or job without moving outside of their expected roles. The parameters for their actions are already laid out, and there is no deviance outside of them so there isn't really any change or exchange between the two people. Business as usual."
HP3458,I find this similar to when I was a kid and someone called me a loser.
HP3459,getting tired of negotiating on ebay and just purchasing the item for regular price
HP3460,"No change to cricumstances, mortgage payment"
HP3462,That's like going to a restaurant and paying the bill.
HP3463,"You want to get a reasonable price that will be accepted quickly, rather than haggling. You are willing to take a lower price but want to start at the regular price. Car sales are a similar example."
HP3464,Being content in life and not needing a change.
HP3465,"Status quo, mundane nothing changes "
HP3467,I imagine it would not change at all if the priced change by $0.
HP3468,I would say maybe inflation remaining stable.
HP3469,"Since the price changes is determine by adding or subtracting, the similar price here is 8 because 0 is being added to the given price which was 8."
HP3470,Rent price staying the same 
HP3471,Declining a bonus at work.
HP3472,The broker will get benefit but may not be much appealing to him to promote the product.
HP3474,accepting a offer without thinking it through - like a person in desperation who just needs work
HP3475,Similar to being contended.
HP3476,paying the same price of a product
HP3480,Paying exactly what I expected for lunch.
HP3481,It would be the same nothing would change.
HP3483,"This is similar to me listing a price for a product on the market place, and a buyer agreeing to pay my asked price. We both feel good about the transaction."
HP3484,Getting a meal at a fast food place
HP3485,£8 is a fair amount and good value to both the user and the purchaser. It leaves everyone happy.
HP3490,"Being given a small gift just for being me, on my birthday."
HP3491,"a 2 for the price of 1 sale at a store. Buy 2 items for $5 or you can buy 1 item for $2.50. There is a change of $0, whether you buy 1 or 2 items."
HP3492,The normal time for this product to sell. 
HP3493,its like if the price online hasnt changed over the years 
HP3494,I imagine going into the petrol station and buying some snacks and drinks from the shop. 
HP3495,Owing someone money.
HP3496,It reminds me of how arizona ice tea in the US has always remained the same price
HP3497,When you are selling something and the person agrees immediately to the price and it feels like you have underestimated the value and are losing out.
HP3498,It is similar to buying an item on facebook but the seller remaining rigid with the listed price.
HP3500,Just a normal exchange.
HP3503,the most popular cereal i buy
HP3504,Selling a painting and giving the gallery commission
HP3505,Similar to breaking even on a sale.
HP3506,This is similar to buying something in a shop for the amount stated on the product. So having a predictable and expected experience
HP3507,my data is worth more then that
HP3508,Buying a meal at mcfonalds
HP3509,"This is similar to keeping a price the same when you think the original price is already fair, or when changing it doesn’t feel necessary—like leaving the price of an item unchanged because you’re fine with what you’re already getting."
HP3512,I find it similar to forgetting to ask for more of something.
HP3513,This feels similar to going into a store and paying a fair price without haggling.
HP3514,This is similar to a situation where two people agree to keep an arrangement unchanged because it’s already working well.
HP3517,I was walking the dog and my dog met a new dog friend.
HP3520,this is a normal price -there's no sale
HP3521,I find it similar to a gift. 
HP3525,I find it similar to those cook books people sell online for a set price.
HP3526,It is similar to have an RRP for a product.
HP3527,Economic stability in the right area of the company
HP3528,"When you have gone into a shop and bought something. The price is set, you cannot reduce it through negoation. "
HP3529,Selling something at a set price with no chance to haggle
HP3530,It's a case of everything remaining the same e.g. the price of milk stays the same for a period of time usually. 
HP3532,This would be similar to paying for something at the store.
HP3533,Being ok with the randomly selected price.
HP3534,charging the market price for your goods
HP3535,I find it similar to settling and just selling the data as is.
HP3537,A transaction in the coffee shop where the price is fixed
HP3538,Its similar to how Costco never changes the price of their hot dog meal from $1.50.
HP3539,By changing the price by $0 I am accepting $8 and the broker will get $4.
HP3541,Buying something from a supermarket
HP3542,An element of nothingness
HP3545,Free gift that the store is giving away 
HP3546,Normal/everyday pricing.
HP3547,I find it similar to paying what you'd expect in a shop
HP3549,there is no positive or negarive change it will remain the same
HP3552,"I find this similar to just laying down and accepting your fate. Like agreeing to buy a car at the advertised price, rather than trying to haggle. It would be silly to accept this."
HP3553,"This would be a passive approach, so it is like throwing your hands up and accepting something that you cannot do anything about. I might be secretly pleased that the amount is 2/3 of what I could have achieved and be satisfied it was not less"
HP3555,Someone telling me my data is worth the average rate.
