hp_response_id,similarity_reference_B
HP2401,20
HP2402,35
HP2403,32
HP2404,8
HP2405,55
HP2406,25
HP2407,42
HP2408,22
HP2409,30
HP2410,48
HP2411,38
HP2412,22
HP2413,30
HP2414,30
HP2415,42
HP2416,38
HP2417,25
HP2418,30
HP2419,28
HP2420,42
HP2421,0
HP2422,38
HP2423,54
HP2424,36
HP2425,18
HP2426,35
HP2427,32
HP2428,36
HP2429,55
HP2430,42
HP2431,16
HP2432,35
HP2433,32
HP2434,12
HP2435,28
HP2436,48
HP2437,3
HP2438,28
HP2439,30
HP2440,45
HP2441,32
HP2442,35
HP2443,25
HP2444,5
HP2445,30
HP2446,18
HP2447,32
HP2448,43
HP2449,28
HP2450,32
HP2451,18
HP2452,35
HP2453,36
HP2454,15
HP2455,35
HP2456,42
HP2457,38
HP2458,18
HP2459,28
HP2460,5
HP2461,20
HP2462,38
HP2463,56
HP2464,38
HP2465,36
HP2466,30
HP2467,35
HP2468,30
HP2469,30
HP2470,18
HP2471,28
HP2472,40
HP2473,28
HP2474,6
HP2475,36
HP2476,56
HP2477,30
HP2478,5
HP2479,27
HP2480,32
HP2481,30
HP2482,36
HP2483,27
HP2484,32
HP2485,28
HP2486,30
HP2487,45
HP2488,30
HP2489,32
HP2490,3
HP2491,20
HP2492,18
HP2493,24
HP2494,34
HP2495,32
HP2496,45
HP2497,45
HP2498,4
HP2499,30
HP2500,32
HP2501,31
HP2502,30
HP2503,20
HP2504,30
HP2505,30
HP2506,8
HP2507,24
HP2508,35
HP2509,0
HP2510,40
HP2511,30
HP2512,12
HP2513,36
HP2514,34
HP2515,2
HP2516,22
HP2517,28
HP2518,38
HP2519,16
HP2520,30
HP2521,32
HP2522,62
HP2523,58
HP2524,65
HP2525,32
HP2526,40
HP2527,25
HP2528,30
HP2529,35
HP2530,12
HP2531,32
HP2532,5
HP2533,28
HP2534,38
HP2535,42
HP2536,28
HP2537,27
HP2538,42
HP2539,32
HP2540,30
HP2541,2
HP2542,58
HP2543,18
HP2544,10
HP2545,28
HP2546,25
HP2547,40
HP2548,30
HP2549,48
HP2550,24
HP2551,48
HP2552,30
HP2553,38
HP2554,38
HP2555,35
HP2556,40
HP2557,30
HP2558,54
HP2559,30
