hp_response_id,similarity_reference_B
HP4401,37
HP4402,53
HP4403,39
HP4404,24
HP4405,38
HP4406,0
HP4407,37
HP4408,0
HP4409,21
HP4410,5
HP4411,0
HP4412,21
HP4413,6
HP4414,10
HP4415,8
HP4416,34
HP4417,0
HP4418,40
HP4419,3
HP4420,14
HP4421,38
HP4422,18
HP4423,5
HP4424,12
HP4425,20
HP4426,36
HP4427,4
HP4428,10
HP4429,0
HP4430,43
HP4431,39
HP4432,2
HP4433,21
HP4434,5
HP4435,52
HP4436,4
HP4437,15
HP4438,8
HP4439,12
HP4440,8
HP4441,22
HP4442,30
HP4443,26
HP4444,25
HP4445,32
HP4446,27
HP4447,7
HP4448,18
HP4449,46
HP4450,16
HP4451,3
HP4452,23
HP4453,70
HP4454,24
HP4455,32
HP4456,20
HP4457,26
HP4458,9
HP4459,64
HP4460,23
HP4461,38
HP4462,4
HP4463,11
HP4464,0
HP4465,1
HP4466,43
HP4467,25
HP4468,2
HP4469,8
HP4470,24
HP4471,17
HP4472,18
HP4473,42
HP4474,3
HP4475,12
HP4476,23
HP4477,4
HP4478,39
HP4479,2
HP4480,42
HP4481,34
HP4482,4
HP4483,28
HP4484,35
HP4485,28
HP4486,2
HP4487,3
HP4488,5
HP4489,13
HP4490,5
HP4491,29
HP4492,25
HP4493,1
HP4494,4
HP4495,11
HP4496,4
HP4497,29
HP4498,20
HP4499,29
HP4500,32
HP4501,31
HP4502,20
HP4503,1
HP4504,27
HP4505,27
HP4506,50
HP4507,10
HP4508,6
HP4509,13
HP4510,24
HP4511,41
HP4512,22
HP4513,23
HP4514,5
HP4515,32
HP4516,10
HP4517,15
HP4518,10
HP4519,8
HP4520,18
HP4521,13
HP4522,30
HP4523,22
HP4524,0
HP4525,6
HP4526,20
HP4527,14
HP4528,2
HP4529,25
HP4530,43
HP4531,2
HP4532,17
HP4533,48
HP4534,38
HP4535,5
HP4536,34
HP4537,11
HP4538,5
HP4539,20
HP4540,14
HP4541,28
HP4542,24
HP4543,13
HP4544,6
HP4545,10
HP4546,8
HP4547,19
HP4548,30
HP4549,31
HP4550,0
HP4551,36
HP4552,0
HP4553,20
HP4554,22
HP4555,30
HP4556,27
HP4557,21
HP4558,25
HP4559,0
HP4560,20
HP4561,3
HP4562,32
HP4563,6
HP4564,16
HP4565,36
HP4566,2
HP4567,21
HP4568,10
HP4569,26
HP4570,34
HP4571,36
HP4572,21
HP4573,8
HP4574,27
HP4575,18
HP4576,5
HP4577,4
HP4578,24
HP4579,28
HP4580,29
HP4581,4
HP4582,24
HP4583,0
HP4584,12
HP4585,7
HP4586,39
HP4587,26
HP4588,27
HP4589,3
HP4590,23
HP4591,29
HP4592,27
HP4593,9
HP4594,14
HP4595,24
HP4596,0
HP4597,9
HP4598,12
HP4599,22
HP4600,24
HP4601,25
HP4602,26
HP4603,42
HP4604,9
HP4605,4
HP4606,4
HP4607,24
HP4608,28
HP4609,20
HP4610,0
HP4611,0
HP4612,6
HP4613,24
HP4614,1
HP4615,3
HP4616,1
HP4617,5
HP4618,35
HP4619,28
HP4620,12
HP4621,18
HP4622,3
HP4623,10
HP4624,42
HP4625,0
HP4626,7
HP4627,13
HP4628,0
HP4629,41
HP4630,35
HP4631,5
HP4632,27
HP4633,0
HP4634,8
HP4635,21
HP4636,3
HP4637,0
HP4638,51
HP4639,9
HP4640,5
HP4641,26
HP4642,26
HP4643,9
HP4644,4
HP4645,31
HP4646,18
HP4647,27
HP4648,0
HP4649,5
HP4650,39
HP4651,1
HP4652,27
HP4653,56
HP4654,43
HP4655,35
HP4656,0
HP4657,8
HP4658,24
HP4659,4
HP4660,22
HP4661,14
HP4662,2
HP4663,8
HP4664,20
HP4665,48
HP4666,16
HP4667,32
HP4668,27
HP4669,23
HP4670,38
HP4671,1
HP4672,14
HP4673,17
HP4674,33
HP4675,26
HP4676,30
HP4677,18
HP4678,11
HP4679,5
HP4680,3
HP4681,25
HP4682,29
HP4683,10
HP4684,30
HP4685,21
HP4686,29
HP4687,55
HP4688,2
HP4689,42
HP4690,15
HP4691,11
HP4692,7
HP4693,14
HP4694,24
HP4695,0
HP4696,18
HP4697,2
HP4698,24
