hp_response_id,similarity_reference_B
HP2801,58
HP2802,62
HP2803,61
HP2804,18
HP2805,68
HP2806,2
HP2807,62
HP2808,65
HP2809,65
HP2810,15
HP2811,2
HP2812,76
HP2813,51
HP2814,59
HP2815,58
HP2816,67
HP2817,24
HP2818,55
HP2819,35
HP2820,47
HP2821,57
HP2822,61
HP2823,50
HP2824,41
HP2825,35
HP2826,77
HP2827,30
HP2828,41
HP2829,17
HP2830,72
HP2831,14
HP2832,45
HP2833,73
HP2834,39
HP2835,90
HP2836,40
HP2837,67
HP2838,31
HP2839,14
HP2840,40
HP2841,58
HP2842,81
HP2843,68
HP2844,39
HP2845,68
HP2846,50
HP2847,5
HP2848,65
HP2849,50
HP2850,61
HP2851,41
HP2852,63
HP2853,85
HP2854,70
HP2855,62
HP2856,58
HP2857,64
HP2858,6
HP2859,87
HP2860,67
HP2861,37
HP2862,38
HP2863,44
HP2864,1
HP2865,5
HP2866,66
HP2867,61
HP2868,28
HP2869,39
HP2870,67
HP2871,45
HP2872,65
HP2873,55
HP2874,50
HP2875,80
HP2876,56
HP2877,45
HP2878,52
HP2879,20
HP2880,30
HP2881,79
HP2882,29
HP2883,59
HP2884,68
HP2885,72
HP2886,32
HP2887,49
HP2888,19
HP2889,35
HP2890,40
HP2891,64
HP2892,62
HP2893,14
HP2894,12
HP2895,68
HP2896,38
HP2897,57
HP2898,35
HP2899,75
HP2900,67
HP2901,67
HP2902,57
HP2903,70
HP2904,68
HP2905,78
HP2906,70
HP2907,43
HP2908,58
HP2909,61
HP2910,64
HP2911,68
HP2912,68
HP2913,59
HP2914,14
HP2915,63
HP2916,60
HP2917,13
HP2918,29
HP2919,15
HP2920,31
HP2921,28
HP2922,66
HP2923,66
HP2924,2
HP2925,46
HP2926,56
HP2927,27
HP2928,8
HP2929,64
HP2930,74
HP2931,38
HP2932,70
HP2933,70
HP2934,70
HP2935,14
HP2936,13
HP2937,47
HP2938,31
HP2939,59
HP2940,38
HP2941,17
HP2942,65
HP2943,63
HP2944,42
HP2945,64
HP2946,40
HP2947,64
HP2948,56
HP2949,73
HP2950,60
HP2951,34
HP2952,30
HP2953,40
HP2954,68
HP2955,59
HP2956,67
HP2957,79
HP2958,67
HP2959,13
HP2960,66
HP2961,56
HP2962,72
HP2963,32
HP2964,50
HP2965,82
HP2966,10
HP2967,57
HP2968,47
HP2969,57
HP2970,16
HP2971,68
HP2972,55
HP2973,27
HP2974,65
HP2975,38
HP2976,65
HP2977,37
HP2978,66
HP2979,82
HP2980,67
HP2981,13
HP2982,66
HP2983,8
HP2984,58
HP2985,63
HP2986,68
HP2987,66
HP2988,64
HP2989,45
HP2990,62
HP2991,65
HP2992,74
HP2993,27
HP2994,45
HP2995,71
HP2996,2
HP2997,65
HP2998,23
HP2999,64
HP3000,64
HP3001,58
HP3002,78
HP3003,72
HP3004,49
HP3005,26
HP3006,11
HP3007,12
HP3008,62
HP3009,68
HP3010,2
HP3011,3
HP3012,31
HP3013,61
HP3014,5
HP3015,22
HP3016,33
HP3017,10
HP3018,39
HP3019,68
HP3020,66
HP3021,50
HP3022,46
HP3023,14
HP3024,67
HP3025,59
HP3026,61
HP3027,75
HP3028,3
HP3029,62
HP3030,31
HP3031,12
HP3032,58
HP3033,2
HP3034,33
HP3035,25
HP3036,65
HP3037,75
HP3038,84
HP3039,27
HP3040,51
HP3041,58
HP3042,42
HP3043,65
HP3044,36
HP3045,74
HP3046,65
HP3047,76
HP3048,1
HP3049,9
HP3050,65
HP3051,12
HP3052,64
HP3053,82
HP3054,70
HP3055,11
HP3056,15
HP3057,12
HP3058,68
HP3059,57
HP3060,66
HP3061,51
HP3062,33
HP3063,68
HP3064,66
HP3065,46
HP3066,28
HP3067,69
HP3068,67
HP3069,65
HP3070,72
HP3071,14
HP3072,48
HP3073,56
HP3074,18
HP3075,70
HP3076,66
HP3077,64
HP3078,70
HP3079,71
HP3080,20
HP3081,51
HP3082,16
HP3083,69
HP3084,42
HP3085,64
HP3086,55
HP3087,48
HP3088,43
HP3089,62
HP3090,66
HP3091,13
HP3092,29
HP3093,60
HP3094,26
HP3095,22
HP3096,61
HP3097,16
HP3098,65
HP3099,65
HP3100,57
HP3101,79
HP3102,67
HP3103,65
HP3104,41
HP3105,22
HP3106,68
HP3107,63
HP3108,69
HP3109,64
HP3110,70
HP3111,66
HP3112,27
HP3113,19
HP3114,67
HP3115,70
HP3116,44
HP3117,59
HP3118,34
HP3119,34
HP3120,54
HP3121,66
HP3122,5
HP3123,66
HP3124,59
HP3125,68
HP3126,64
HP3127,72
HP3128,16
HP3129,62
HP3130,64
HP3131,75
HP3132,14
HP3133,67
HP3134,3
HP3135,15
HP3136,65
HP3137,76
HP3138,45
HP3139,60
HP3140,68
HP3141,35
HP3142,47
HP3143,35
HP3144,66
HP3145,68
HP3146,14
HP3147,59
HP3148,63
HP3149,64
HP3150,72
HP3151,72
HP3152,2
HP3153,66
HP3154,56
HP3155,63
HP3156,34
HP3157,67
HP3158,63
HP3159,33
HP3160,39
HP3161,66
HP3162,53
HP3163,30
HP3164,41
HP3165,66
HP3166,41
HP3167,67
HP3168,46
HP3169,91
HP3170,66
HP3171,65
HP3172,28
HP3173,2
HP3174,65
HP3175,30
HP3176,63
HP3177,65
HP3178,43
HP3179,67
HP3180,26
HP3181,68
HP3182,65
HP3183,32
HP3184,66
HP3185,69
HP3186,57
HP3187,66
HP3188,67
HP3189,34
HP3190,19
HP3191,47
HP3192,5
HP3193,66
HP3194,64
HP3195,95
HP3196,13
HP3197,91
HP3198,48
HP3199,89
HP3200,66
