hp_response_id,similarity_reference_B
HP0001,18
HP0002,24
HP0003,15
HP0004,12
HP0005,24
HP0006,1
HP0007,12
HP0008,18
HP0009,12
HP0010,19
HP0011,13
HP0012,0
HP0013,17
HP0014,6
HP0015,14
HP0016,15
HP0017,28
HP0018,8
HP0019,5
HP0020,18
HP0021,18
HP0022,26
HP0023,21
HP0024,14
HP0025,26
HP0026,33
HP0027,23
HP0028,19
HP0029,9
HP0030,20
HP0031,13
HP0032,19
HP0033,13
HP0034,24
HP0035,15
HP0036,15
HP0037,10
HP0038,12
HP0039,17
HP0040,20
HP0041,12
HP0042,7
HP0043,12
HP0044,9
HP0045,12
HP0046,21
HP0047,21
HP0048,6
HP0049,8
HP0050,13
HP0051,16
HP0052,20
HP0053,13
HP0054,22
HP0055,19
HP0056,13
HP0057,5
HP0058,18
HP0059,27
HP0060,18
HP0061,18
HP0062,8
HP0063,9
HP0064,27
HP0065,18
HP0066,18
HP0067,31
HP0068,12
HP0069,15
HP0070,13
HP0071,14
HP0072,9
HP0073,25
HP0074,17
HP0075,24
HP0076,7
HP0077,24
HP0078,14
HP0079,12
HP0080,14
HP0081,19
HP0082,8
HP0083,12
HP0084,9
HP0085,8
HP0086,27
HP0087,15
HP0088,0
HP0089,14
HP0090,24
HP0091,15
HP0092,6
HP0093,17
HP0094,11
HP0095,17
HP0096,5
HP0097,20
HP0098,17
HP0099,8
HP0100,6
HP0101,10
HP0102,17
HP0103,30
HP0104,8
HP0105,11
HP0106,13
HP0107,20
HP0108,16
HP0109,29
HP0110,18
HP0111,15
HP0112,25
HP0113,20
HP0114,26
HP0115,27
HP0116,27
HP0117,17
HP0118,20
HP0119,32
HP0120,8
HP0121,29
HP0122,13
HP0123,17
HP0124,28
HP0125,15
HP0126,10
HP0127,2
HP0128,24
HP0129,21
HP0130,12
HP0131,20
HP0132,20
HP0133,7
HP0134,22
HP0135,27
HP0136,22
HP0137,30
HP0138,20
HP0139,18
HP0140,20
HP0141,11
HP0142,12
HP0143,24
HP0144,14
HP0145,14
HP0146,26
HP0147,19
HP0148,12
HP0149,13
HP0150,18
HP0151,17
HP0152,14
HP0153,19
HP0154,5
HP0155,7
HP0156,23
HP0157,23
HP0158,9
HP0159,27
HP0160,23
HP0161,18
HP0162,11
HP0163,18
HP0164,24
HP0165,14
HP0166,24
HP0167,12
HP0168,14
HP0169,18
HP0170,18
HP0171,25
HP0172,13
HP0173,4
HP0174,13
HP0175,5
HP0176,20
HP0177,16
HP0178,25
HP0179,14
HP0180,27
HP0181,32
HP0182,1
HP0183,16
HP0184,19
HP0185,5
HP0186,4
