hp_response_id,similarity_reference_B
HP1201,0
HP1202,15
HP1203,32
HP1204,11
HP1205,19
HP1206,1
HP1207,17
HP1208,12
HP1209,2
HP1210,18
HP1211,6
HP1212,8
HP1213,2
HP1214,2
HP1215,8
HP1216,8
HP1217,1
HP1218,4
HP1219,16
HP1220,5
HP1221,5
HP1222,18
HP1223,9
HP1224,12
HP1225,2
HP1226,34
HP1227,5
HP1228,6
HP1229,5
HP1230,19
HP1231,19
HP1232,9
HP1233,10
HP1234,29
HP1235,10
HP1236,7
HP1237,5
HP1238,6
HP1239,8
HP1240,7
HP1241,11
HP1242,9
HP1243,8
HP1244,32
HP1245,28
HP1246,7
HP1247,18
HP1248,8
HP1249,2
HP1250,10
HP1251,13
HP1252,28
HP1253,2
HP1254,27
HP1255,0
HP1256,8
HP1257,8
HP1258,18
HP1259,20
HP1260,15
HP1261,8
HP1262,6
HP1263,9
HP1264,27
HP1265,13
HP1266,8
HP1267,31
HP1268,4
HP1269,9
HP1270,8
HP1271,8
HP1272,5
HP1273,17
HP1274,18
HP1275,30
HP1276,0
HP1277,14
HP1278,10
HP1279,5
HP1280,7
HP1281,3
HP1282,8
HP1283,43
HP1284,10
HP1285,1
HP1286,36
HP1287,9
HP1288,2
HP1289,2
HP1290,1
HP1291,5
HP1292,9
HP1293,12
HP1294,8
HP1295,10
HP1296,9
HP1297,8
HP1298,6
HP1299,4
HP1300,5
HP1301,12
HP1302,13
HP1303,8
HP1304,2
HP1305,8
HP1306,8
HP1307,18
HP1308,12
HP1309,10
HP1310,13
HP1311,0
HP1312,9
HP1313,9
HP1314,9
HP1315,18
HP1316,9
HP1317,9
HP1318,11
HP1319,18
HP1320,9
HP1321,33
HP1322,9
HP1323,5
HP1324,16
HP1325,15
HP1326,3
HP1327,2
HP1328,25
HP1329,10
HP1330,0
HP1331,17
HP1332,18
HP1333,11
HP1334,17
HP1335,8
HP1336,9
HP1337,31
HP1338,9
HP1339,9
HP1340,3
HP1341,5
HP1342,9
HP1343,9
HP1344,27
HP1345,17
HP1346,22
HP1347,4
HP1348,9
HP1349,11
HP1350,4
HP1351,8
HP1352,16
HP1353,1
HP1354,9
HP1355,4
HP1356,16
HP1357,9
HP1358,8
HP1359,24
HP1360,22
HP1361,8
HP1362,9
HP1363,16
HP1364,10
HP1365,1
HP1366,9
HP1367,9
HP1368,4
HP1369,8
HP1370,8
HP1371,13
HP1372,5
HP1373,2
HP1374,9
HP1375,3
HP1376,38
HP1377,12
HP1378,5
HP1379,11
HP1380,7
HP1381,29
HP1382,1
HP1383,17
