hp_response_id,memory
HP4318,a starting point knowing that a discount will have to be offered
HP4319,Asking for a wage increase at work and getting it.
HP4322,"Changing the price by $4 is like a monopoly taking advantage of a customer that has little choice. It reminds me of what Leland Stanford did to the farmers. He charged them so much to take their crops to market, that they went bankrupt. Then he bought their land for next to nothing. Such pricing is what a robber baron would do."
HP4323,"high demand, lines out the door"
HP4324,A no-win situation for the broker.
HP4330,The price has increased. It is like the price of food increasing year on year due to inflation. 
HP4331,Increasing the price from $8 to $12 could be similar to a successful day for a listing on the stock market. 
HP4332,This would be similar to tipping at a restaurant.
HP4335,Either up charging or giving someone a discount.
HP4336,"Black Friday deals. I noticed over the past decade or more that companies bump up prices and then label the items being on sale, when in reality you're pay either the original price or a little more than the original price. "
HP4340,A product that is in high demand and on trend.
HP4341,Paying over the odds for something 
HP4343,When you want to sell something and feel it is worth more than you originally thouoght after researching the resale value on line.
HP4344,Receiving a bonus at work for a job well done!  
HP4347,I find it similar to paying more for something you expected to be on sale
HP4348,It's like asking for a raise because you believe your work is worth more than you're currently being paid.
HP4350,Charging the maximum amount is like going to a fancy store offering high end merchandise
HP4351,I dont really know what you mean.  Is it like bidding in an auction or ata market?
HP4354,petrol prices going up
HP4356,Buying something after black Friday at full price instead of at the discounted rate
HP4357,A greedy business owner making other people do all the hard work and keeping the profits 
HP4358,The increase in coffee.
HP4362,The price increase of $4 reminds me of when eggs suddenly increased in price after a bird flu outbreak.
HP4364,Purchasing an item and several people rounding up what they owe so I end up in credit
HP4365,This would be similar to selfishly making a choice that places you in the best possible position where you would receive the entire amount and the other individual receives nothing. 
HP4366,being very greedy when out for a meal
HP4368,This is more like a friends deal. I've found a guy who want's to buy your car - you keep all the cash though mate
HP4369,The price of everything increasing at the grocery store. 
HP4370,Increasing the price of something because of an increase in value like trading in silver or gold
HP4373,"The cost of living has gone up, interest rates have risen, so it's time to up the cost of my data.. "
HP4374,The world is making huge progress in obtaining peace in war-torn countries. 
HP4375,This is where supply might be limited so by increasing the selling price they will reduce the volume of sales but may increase overall contribution as few sales bring in more revenue.
HP4376,I find it closer toto the margin 12$.
HP4377,"You believe that your data set is of very high quality, and you want the price to reflect the data and the work that you put into it."
HP4378,"Two for one type of deal, in a sort of overstock scenario and this is a way of freeing up merchadise space."
HP4379,if data was keen and more matched price to go up
HP4380,I find this similar to groceries going up at the store. 
HP4381,Streaming platforms marking up their fees for the same service.
HP4383,gaining value on savings or a stock 
HP4384,It reminds me of the cost of eggs skyrocketing at the beginning of this year. 
HP4385,"The broker could be new and just trying to establish clients, so would accept a zero-profit situation in order to secure more business in the future."
HP4390,I find it similar to a time I overcharged a friend for a drink I bought them
HP4392,"I find it similar to when inflation goes up, and the price of groceries goes up that much for one item, such as a frozen dinner."
HP4393,Paying back a credit card debt
HP4395,Being a bit greedy with the fee
HP4396,exorbitant inflation
HP4397,"This feels grossly unfair, it is like getting to the till in a supermarket having seen something at a certain price and then being charged more for it"
HP4399,I would feel that I am giving the broker no chance to earn a living
HP4402,giving away the data like a donation to a charity
HP4405,this would be like getting paid for something at a set rate and the person sticking to that
