hp_response_id,memory
HP4714,"This feels like when you ask your landlord if rent will go up next year, and they say it will stay exactly the same. Nothing changes so I'm not either better or worse off, it's just the same."
HP4715,"I'm running a garage sale and am absolutely firm on the price of something. No one will convince me to go down, but I don't want to raise it either as I'm afraid it won't sell. So I leave the price alone by not changing it.  "
HP4716,This is similar to selling something for exactly what you think the going price is. Nobody really gets a deal (except maybe the seller).
HP4719,"I find this similar to getting something wholesale from Costco or another ""discount"" retailer. "
HP4720,Buying something at the recommended retail price.
HP4723,This is the most realistic scenario. The decision maker makes the most profit.
HP4726,"things staying as they are, there are not changes"
HP4728,to doing nothing sitting at home 
HP4730,similar to normal behaviour
HP4732,12 is the cost of a good bottle of rose wine. 
HP4733,paying full retail price for an item
HP4735,coffee and a tea cake in a cafe for just me no friends. or two coffees for me and a friend.
HP4736,Paying full price for an item
HP4737,Socialism where the worker gets nothing and the middleman/upper class hoard everything. Wait.. or is it late stage capitalism?
HP4738,Giving up and accepting an y offer out of complacency. 
HP4741,Similar to no change as there is no increase or decrease
HP4742,"Difficult to not negotiate, won’t be a good deal for broker. Would be an unfair real life scenario as broker would be non profitable."
HP4743,It is similar to being under compensated.
HP4745,Fairness for all concerned as this is a know starting price for negotiation. at a $0 reduction there is no surprise for anyone. 
HP4746,Doing a friend a favour. 
HP4747,Selling an item that I intend to make a profit on.
HP4748,The monthly direct debit charge for a service such as a music or television streaming service
HP4750,"This is similar to when you want to buy services from a tradesperson and they offer a fixed price. You ask them for an initial quote. They tell you what they charge, but you want to attain a lower rate. They will not negotiate and they will not offer a lower rate, even if you ask them to consider such a thing. "
HP4751,Most non-negotiated transactions between humans. Like most retail. 
HP4752,An earnings call that is unsurprising and meeting expectations.
HP4754,This expecting the person to do the work for nothing as the intermediary will be keeping all of the money for themselves. This is slave labour 
HP4758,"There would be no profit to be made in this scenario. This feels almost like a tax, where you pay for something with nothing in return."
HP4760,No price increase on a supermarket item.
HP4761,"It feels similar to a shop deciding to keep its prices exactly the same even during a sale period, choosing stability over change."
HP4762,Shopping in M&S as their prices are at a premium.
HP4763,Everyday transactions
HP4764,Waiting in line for tickets to an event knowing you are the last one who will receive a ticket but stepping aside for the person behind you in line
HP4768,Somebody hoarding a large amount of food while others don't have any
HP4771,Taking the correct money to the shop as the price has not changed.
HP4772,choosing to not be greedy 
HP4775,selling something at cost.
HP4776,it just means that something is staying the same. Like no changes to food prices 
HP4777,Going to the supermarket and buying the same product within the same week.
HP4778,Having full control of my pricing
HP4782,Confidence in the price and quality of your data or inventory. And you're not willing to negotiate.
HP4783,"Sitting at my computer, doing Prolifics studies and waiting on payouts while I'm working."
HP4786,The item is no longer on sale.
HP4789,It's like agreeing to meet someone but nothing changes in the plan
HP4790,When my children had completed all their chores.
HP4793,That would be giving the product away for free
HP4794,Standing firm in the price.
HP4795,"The core similarity of changing the price by $0 (resulting in a $12 final price) is that it represents a maximal assertion of self-interest and a refusal to give the broker any share of the potential bonus. This is comparable to an individual or company that demands the full, non-negotiable price for their service or product, effectively telling the intermediary or reseller they must make their profit elsewhere, or simply confirming their role as a necessary, but unpaid, facilitator. By setting the price at $12, you ensure that in the bonus scenario, you receive the maximum possible bonus ($12), while the broker receives zero ($\$12 - \$12 = \$0$), demonstrating a non-collaborative or transactional stance toward the partnership."
HP4796,This would be similar to buying a small Pokemon plushie.
HP4797,"not changing the price, so it's still 12"
HP4799,"This effectively cuts out the middleman as s/he wouldn't actually receive anything so their existence becomes pointless.  As the data provider I'd effectively become a sole trader........however, I would need to find the access to the target market.  "
