hp_response_id,memory
HP0401,Buying someone a bus ticket
HP0402,"Splitting the strategy of the game in half, and giving both users the opportunity to win fairly. "
HP0403,"Being offered many sweets by our primary school teacher, and I choose to only share a small percentage of what I got to a classmate next to me."
HP0404,Giving my granddaughter some money to spend at the shop.
HP0405,this is similar to when myself and my husband contribute equal amounts to the bill account.
HP0406,I'm not sure why I would
HP0407,A fair split like splitting a bill when you have all had the same. 
HP0408,Giving someone the cost of a bus fare
HP0409,a small donation for charity
HP0410,Being a nice person
HP0411,This is similiar to small bonus to another person. Its enough to make them happy but not so much affect them greatly or me negatively. 
HP0412,Like splitting the bill in a restrarunt 
HP0413,I would find this similar to sharing a tip at work equally 
HP0414,sharing
HP0415,Sharing things equally with friends like splitting a bill
HP0416,"I find this similar to finding some money on the ground while with your friend and giving them some, nearly half, just for being there and being your friend."
HP0417,I would find it similar to sending someone some money through cash app.
HP0418,I suppose it's similar to tipping someone like a waiter. 
HP0419,This is the option that seems the fairest to me splitting it right down the middle would be the best option
HP0420,"Equality, equally sharing shared costs "
HP0421,"Even split, life is fair"
HP0422,Splitting a winning ticket.
HP0423,Paying for my coworkers food.
HP0424,I would imagine it would be similar to tipping someone on a lunch order.
HP0425,Splitting the cost of lunch with a friend.
HP0426,I find this similar to purchasing a pick-me-up coffee for the other participant.
HP0427,Me and my twin receiving our pocket money at the weekend.
HP0428,A situation where either we both very much needed some of the money or when neither of us really needed the money so we just decided to split it evenly between us. 
HP0429,A divorce where you only get half. 
HP0430,I find it similar to giving a person in need a few dollars. 
HP0431,I think this is a good example of sharing responsibilities
HP0432,This reminds me of paying for a sandwich for lunch.
HP0433,I find it similar to donating a sum of money even if you can afford to donate more.
HP0434,I find this similar to when I found 12 dollars and it was like having free money so I gave half to my friend.
HP0435,Evening out the playing field and giving to the less fortunate. 
HP0436,This is like buying my MIL a coffee.
HP0437,It sounds like I’m losing a little less money. 
HP0438,This is a way of making things even and just.
HP0439,When 2 people do a job together and share the money equally for their work
HP0440,A situation where i've won $12 and would like to split it equally with someone
HP0441,sharing is caring
HP0442,Doing the right thing.
HP0443,Giving a donation to charity
HP0444,Splitting a sandwich right down the middle with my friend
HP0445,giving a gift
HP0446,"Socialism, where people are more equal regardless of their power level."
HP0447,This is similar to my buddy forgetting his wallet and asking for money to cover his soda.
HP0448,A situation where I am practicing justice and acting with a sense of equality. 
HP0449,i think it is for fairness
