hp_response_id,memory
HP4401,When my friends were trying to barter with a market stall holder in Cairo and ended up buying the item without having achieved any discount.
HP4402,giving away the data like a donation to a charity
HP4403,A small business not being able to budge on the price of their product.
HP4404,A product staying the same price in a store for a while
HP4405,this would be like getting paid for something at a set rate and the person sticking to that
HP4406,"What makes you happy in life with others? The question has to be answered what you do with company and cannot be alone tasks or activities.
I ama photographer so go out and interact for events and various other places so get on with various public places and enjoy life."
HP4407,"a request for discount being rejected, as the price is not changing the discount was not accepted"
HP4408,Nothing! I dont think this question makes sense at all
HP4409,most places want to maximise profit
HP4410,Someone that I did not know asking me for money
HP4411,Walking through a park on a good day.
HP4412,the price remains the same
HP4413,buying something online
HP4414,a stable stock market
HP4415,"I would find this a pointless waste of my time, as there is no incentive for me to continue."
HP4416,This is similar to selling items without any profit.
HP4417,Nothing comes to mind
HP4418,Refusing to budge on price by someone haggling
HP4419,"Nothing changes, life goes on as normal"
HP4420,I would find it similar to giving something away for free because I don't think I would get any money in that scenario.
HP4421,A fair deal for secondhand goods when you like the person you are selling to. 
HP4422,A grocery store's prices between one day and the next
HP4423,Feels like it will be relatively expensive
HP4424,This feels like winning a game.  I get all the money.
HP4425,Someone being used for their time and skills without getting paid for it.
HP4426,I offer money for a product and the seller accepts - no change to the price at all.
HP4427,Paying for a wedding breakfast for all attendees
HP4428,The price of stock has remained stable for several days
HP4429,Sitting in a chair doing nothing.
HP4430,"selling a new item at what i saw as a fair price i was not willing to haggle, and would rather wait for someone who would pay full price"
HP4431,Trying to buy a car and the seller will not budge on the price
HP4432,Changing the price by $0 is like a summer's day.
HP4433,This is similar to not negotiating when there is an opportunity to do so.  For example agreeing to split a food bill evenly instead of renegotiating who had what. 
HP4434,"If I had money in the bank, in a none interest baring account, and I don't put any money in nor do I take any money out. "
HP4435,"I have made no change to the price, thus the price still remains at $12"
HP4436,I find this similar to someone giving me a gift. 
HP4437,Getting paid nothing for your work
HP4438,i find that there was no change.
HP4439,"It's free, 0 value so a free sample "
HP4440,Breaking even on a bet.
HP4441,Normal pricing of items
HP4442,Similar to going to a shop where the prices are fixed. 
HP4443,Similar to the starting price
HP4444,A service or good staying at its current price.
HP4445,Providing a service and paying the market value.
HP4446,I'd break even at $12
HP4447,Everything is consistent 
HP4448,Every day life - prices don't usually change. 
HP4449,A farmer selling food to a supermarket
HP4450,"fuel duty in UK, ie when the government freezes it"
HP4451,That would be a disappointment if you had $0 but you never had it in the first place so not lost it. You just get on with it.
HP4452,This makes me think of a recent scenario where I had my annual car valet and the price hadn't increased which I thought was great.  
HP4453,The producer and broker have a solid working relationship and are both happy with the status quo and see no need to 'rock the boat'.
HP4454,"Nothing changes with the price here, so I find it similar to shopping around for an item and finding that every shop has price-matched their items."
HP4455,accepting the value of an item and not wanting a discount or paying the asking price for an item
HP4456,Items that are not on sale
HP4457,"This is the standard, no price deviation."
HP4458,not getting a christmas bonus at work
HP4459,Vinted or eBay where the seller receives 100% of the sale price but the broker(eBay/ Vinted) reclaim their profit from the buyer in a buyer's tax- perhaps the broker could negotiate this with the data buyer.
HP4460,Just walking into any random store and buying anything for full retail price. 
HP4461,It's like working for an expected wage... the price set is the amount you expect to recieve 
HP4462,This may be similar to placing a bet and losing all of the money that you put in.
HP4463,it would remain the same
HP4464,This makes zero sense 
HP4465,"Losing your wallet that has every thing in it, from your bank card to id to medicine prescription. "
HP4466,Being stubborn and refusing to budge on my price
HP4467,My negotiating skills when purchasing my new car .
HP4468,Being out shopping with a group of friends and deciding not to buy anything and only window shop. 
HP4469,Taking something that is not all mine and risking someone elses happiness
HP4470,"
Keeping the price exactly the same reminds me of when a gym or subscription service renews at the same rate as last year. Nothing changes—no discount, but no increase either. It feels neutral and predictable"
HP4471,Doing someone's work for them but letting them keep all of the pay
HP4472,normal running of a shop?
HP4473,Being in a negotiation where my price is firm and I'm not willing to bend at all. 
HP4474,Walking with a group on a straight path and not wanting to take any divergences or risks 
HP4475,If the product gets damaged it may be that the price goes from an amount to worthless purely due to that damage.
HP4476,Just going in to the store and buying something for the price that it is
HP4477,No change in my situation so similar to nothing happening
HP4478,"The same value, with the same volume of data"
HP4479,As there is no change I would imagine it be similar to following my usual morning routine
HP4480,I find it similar to standing firm during a negotiation and not budging.
HP4481,I have no clue what you want me to put here taking 0 dollars from the price of a 12 dollar item is just a stable price.
HP4482,Giving money to charity
HP4483,Buying something at a retail store where you can't haggle the price.
HP4484,This is similar to having overbought something with a limited shelf life and selling it without a profit top get your money back. 
HP4485,This reminds me of when someone offers you a price and you just accept it because it’s fine as is. Like when a friend asks how much they owe you for splitting food and you just stick with the exact number instead of rounding anything up or down.
HP4486,$0 is the lucky day when you go out to the seaside and spend $20 on the arcade machines and then find $20 on the floor as you walk out. 
HP4487,Product not fit for purpose.
HP4488,If the price is $12 I'd be able to get a simple main course
HP4489,I find it similar to working all day helping family members and not receiving any pay for it.
HP4490,Buying something for somone else and they give me the money.
HP4491,Paying the advertised price without query or questions
HP4492,"Normal day to day business as usual where the price reflected is appropriate, equivalent to a September type time through the year."
HP4493,Something you steal from a shop
HP4494,Tge price for a Burger and fries
HP4495,Auto renewing insurance 
HP4496,"I find this similar to feeling very generous and giving my friend something I have that really cost me nothing for free as a gift.  For example, regifting a $12 gift card that I'll never use."
HP4497,I find this similar to shopping in a store with fixed pricing and no ability to negotiate.
HP4498,A situation where a large corporation uses its might to take all the profit leaving the smaller workers no profit even though they contributed to the work.  
HP4499,"keeping the original price of a product in a store, deciding not to offer any discounts"
HP4500,This is the same as the original starting price and also would mean no profit for me. I would find this similar to most every day purchases that aren't on offer. You have to pay full price and do not save or make anything.
HP4501,"A good, well made in demand item that people will pay fair market value for."
HP4502,"Keeping the price exactly the same, no real life changes."
HP4503,Doing nothing at all.
HP4504,"A fair exchange that is agreed upon between friends, so as to not treat a friend like a customer."
HP4505,A gym keeps its twelve dollar day pass exactly the same because demand has not shifted. 
HP4506,This is similar to charging full price with no discounts. Your data has value. 
HP4507,This feels like someone is being taken advantage of.
HP4508,If I changed the price by $0 it is similar to Russia refusing to budge over peace talks with Ukraine.
HP4509,volunteering for the other party
HP4510,No discount would be the same as buying an item that you expected to buy regardless of the price. 
HP4511,Maintaining the listing price on eBay despite being offered a lower price to sell by someone else. 
HP4512,"Changing the price by $0 is very similar to just not changing the price of anything, just like Apple iPhones or something which consistently tend to stay the same price. "
HP4513,going to the supermarket and paying the advertised price for it
HP4514,I find the price to be the same as one chipotle meal
HP4515,"In this case it would be akin to dealing with someone you didn't like and didn't want to do them any favours, the price is a hardline and will never be negotiated down"
HP4516,Most items that can be bought.
HP4517,"not changing money at all, just keeping it the same"
HP4518,Its a nice steady market and nothing is going on at present
HP4519,Getting an item that I'd usually pay for for free.
HP4520,Current food shopping where prices tend to stay the same 
HP4521,"This is like winning the lottery! You got everything you wanted from the situation, everyone else loses and you win!"
HP4522,This would be when you first put the product for sale and it is selling well. 
HP4523,when shops keep the price the same as last year to look appealing against everything else going up
HP4524,I don't know - I'm not sure what the question is asking. 
HP4525,"This feels like I am doing volunteer work, like when I help at my local church."
HP4526,paying for things at the price they are
HP4527,I find this similar to being selfish. Wanting it all for myself.
HP4528,a shopping day with friends
HP4529,I find this similar to buying a beer in a college stadium at a football game. They do not lower the prices. 
HP4530,I decided to sell an item online and when asked if I would reduce the price i declined and the price remained the same.
HP4531,communal living situation
HP4532,price unchanged or price stays the same
HP4533,If I don't change my price then that means I am confident that my data is high quality. This is similar to me selling a brand new car.
HP4534,trying to stop shop customers from bargaining by telling them the price is fixed and there is no room for discounts
HP4535,This would be similar to a fast food dinner. 
HP4536,Someone accepting the initial price on a trading site
HP4537,"Where one has done all the work, or the subsequent work is done by a set algorithm. For example, when presenting one's quarterly results; the lack of credit given to the person who procured the table in which this presentation is done."
HP4538,"it is good to me, no body wins"
HP4539,the feels similar to a situation where me and a friend were discussing the cost of something and decided to just leave it as it is.
HP4540,"There is one sandwich, and two people, one person gets the whole sandwich. This is not fair."
HP4541,"I feel like this is the best option, it feels most similar to actual bardering"
HP4542,It is similar to a standard retail shopping experience.
HP4543,The price doesn't change it is similar to everything staying the same
HP4544,It is like one hundred per cent
HP4545,I find this similar to a person I know who will never give and counts every penny/
HP4546,Stagnation or when nothing changes
HP4547,Normal price. That is pretty much everyvday.
HP4548,I would feel like I was being fair in not asking to change the price. I have felt like a good citizen when I have not tried to sell things for a profit.
HP4549,Keeping the price as is because it already feels fair.
HP4550,Nothing at all really- not something that occurred to me
HP4551,"This seems like an honest transaction, like paying for a service or home repair at the price that was originally quoted."
HP4552,This is similar to a family day out to a Theme park with my children. We always looked forward to it and the best time to go was the first sunny day in the Spring. It gives me a feeling of achievement after planning and driving and having a great day together.
HP4553,"It reminds me of the CEO of Arizona Tea who despite all the price changes in the world, his price of the tea has remained the same"
HP4554,"I find it similar to going out with friends for a shopping day. It costs what its worth - a lunch, some shopping - and its worth the money. It is fair. "
HP4555,Something is selling for full price due to a high demand.
HP4556,Price paid without discounts asked.
HP4557,I am making as much money as I can. I am not employing anyone else. 
HP4558,A normal price that has no sales or discounts to it. The product is doing well and is not failing.
HP4559,Doing nothing staying home and watching a movie maybe?
HP4560,Shopping around for a product and seeing it the same price wherever you shop.
HP4561,A free meal at a fast-food place. 
HP4562,"A change of $0 is similar to accepting the original offer as fair. For example, paying the listed price for a product or service without asking for a discount because you feel the value is reasonable and no adjustment is needed."
HP4563,Storing the cash in a current account with no interest
HP4564,This is similar to when you do all the work so you deseve the full payment. This is like when one person does everything in a group project so it makes sense if they get all the credit.
HP4565,"Changing the price by $0 feels like when someone decides not to bargain at all - like you ask a friend if they can give you a discount on something they’re selling, and they refuse. Nothing changes, everything stays as it was."
HP4566,"I find it similar to living paycheck to paycheck. Don't know why, that's just what came to my mind."
HP4567,the same as going into a shop and buying an item for the same price you bought it at the day before.
HP4568,"I guess I'm a king, taking all the earnings from the peasants."
