hp_response_id,similarity_reference_A
HP3601,8
HP3602,8
HP3603,8
HP3604,2
HP3605,5
HP3606,0
HP3607,6
HP3608,6
HP3609,5
HP3610,53
HP3611,0
HP3612,5
HP3613,8
HP3614,6
HP3615,12
HP3616,9
HP3617,0
HP3618,12
HP3619,57
HP3620,5
HP3621,15
HP3622,6
HP3623,6
HP3624,29
HP3625,11
HP3626,9
HP3627,23
HP3628,3
HP3629,3
HP3630,12
HP3631,8
HP3632,6
HP3633,10
HP3634,5
HP3635,5
HP3636,20
HP3637,7
HP3638,2
HP3639,3
HP3640,4
HP3641,6
HP3642,6
HP3643,5
HP3644,0
HP3645,7
HP3646,8
HP3647,1
HP3648,8
HP3649,8
HP3650,2
HP3651,3
HP3652,6
HP3653,11
HP3654,6
HP3655,8
HP3656,6
HP3657,7
HP3658,3
HP3659,10
HP3660,7
HP3661,10
HP3662,59
HP3663,3
HP3664,1
HP3665,0
HP3666,7
HP3667,7
HP3668,6
HP3669,32
HP3670,18
HP3671,16
HP3672,6
HP3673,11
HP3674,9
HP3675,20
HP3676,5
HP3677,4
HP3678,4
HP3679,1
HP3680,35
HP3681,5
HP3682,7
HP3683,6
HP3684,8
HP3685,12
HP3686,10
HP3687,3
HP3688,3
HP3689,2
HP3690,18
HP3691,9
HP3692,6
HP3693,3
HP3694,3
HP3695,15
HP3696,20
HP3697,8
HP3698,62
HP3699,25
HP3700,6
HP3701,7
HP3702,5
HP3703,5
HP3704,12
HP3705,7
HP3706,6
HP3707,8
HP3708,65
HP3709,14
HP3710,6
HP3711,19
HP3712,6
HP3713,8
HP3714,3
HP3715,18
HP3716,6
HP3717,59
HP3718,2
HP3719,2
HP3720,7
HP3721,11
HP3722,46
HP3723,5
HP3724,0
HP3725,9
HP3726,16
HP3727,4
HP3728,3
HP3729,6
HP3730,24
HP3731,13
HP3732,5
HP3733,8
HP3734,9
HP3735,3
HP3736,0
HP3737,13
HP3738,2
HP3739,6
HP3740,55
HP3741,12
HP3742,6
HP3743,6
HP3744,3
HP3745,6
HP3746,2
HP3747,7
HP3748,8
HP3749,11
HP3750,6
HP3751,4
HP3752,3
HP3753,6
HP3754,9
HP3755,6
HP3756,8
HP3757,20
HP3758,7
HP3759,3
HP3760,4
HP3761,8
HP3762,12
HP3763,3
HP3764,20
HP3765,18
HP3766,1
HP3767,8
HP3768,16
HP3769,5
HP3770,5
HP3771,8
HP3772,9
HP3773,28
HP3774,6
HP3775,11
HP3776,4
HP3777,3
HP3778,18
HP3779,30
HP3780,7
HP3781,3
HP3782,6
HP3783,2
HP3784,5
HP3785,4
HP3786,6
HP3787,5
HP3788,6
HP3789,3
HP3790,5
HP3791,5
HP3792,6
HP3793,2
HP3794,10
HP3795,8
HP3796,0
HP3797,6
HP3798,8
HP3799,5
HP3800,5
HP3801,5
HP3802,12
HP3803,13
HP3804,30
HP3805,28
HP3806,3
HP3807,3
HP3808,7
HP3809,11
HP3810,0
HP3811,0
HP3812,22
HP3813,15
HP3814,4
HP3815,2
HP3816,39
HP3817,2
HP3818,2
HP3819,28
HP3820,6
HP3821,4
HP3822,30
HP3823,3
HP3824,9
HP3825,4
HP3826,6
HP3827,11
HP3828,0
HP3829,6
HP3830,6
HP3831,3
HP3832,18
HP3833,0
HP3834,58
HP3835,2
HP3836,17
HP3837,6
HP3838,5
HP3839,0
HP3840,21
HP3841,10
HP3842,6
HP3843,4
HP3844,10
HP3845,8
HP3846,4
HP3847,15
HP3848,0
HP3849,6
HP3850,16
HP3851,3
HP3852,7
HP3853,7
HP3854,6
HP3855,8
HP3856,4
HP3857,3
HP3858,6
HP3859,17
HP3860,6
HP3861,5
HP3862,41
HP3863,9
HP3864,7
HP3865,8
HP3866,5
HP3867,15
HP3868,10
HP3869,6
HP3870,12
HP3871,3
HP3872,10
HP3873,6
HP3874,3
HP3875,55
HP3876,6
HP3877,5
HP3878,8
HP3879,6
HP3880,56
HP3881,43
HP3882,4
HP3883,13
HP3884,14
HP3885,22
HP3886,6
HP3887,30
HP3888,3
HP3889,10
HP3890,4
HP3891,1
HP3892,15
HP3893,6
HP3894,0
HP3895,3
HP3896,5
HP3897,3
HP3898,3
HP3899,9
HP3900,6
HP3901,9
HP3902,7
HP3903,7
HP3904,43
HP3905,4
HP3906,8
HP3907,6
HP3908,7
HP3909,6
HP3910,6
HP3911,13
HP3912,20
HP3913,0
HP3914,6
HP3915,9
HP3916,2
HP3917,5
HP3918,9
HP3919,6
HP3920,5
HP3921,6
HP3922,0
HP3923,5
HP3924,28
HP3925,5
HP3926,5
HP3927,6
HP3928,3
HP3929,7
HP3930,6
HP3931,5
HP3932,3
HP3933,6
HP3934,0
HP3935,2
HP3936,6
HP3937,5
HP3938,18
HP3939,6
HP3940,6
HP3941,3
HP3942,10
HP3943,4
HP3944,6
HP3945,8
HP3946,48
HP3947,10
HP3948,6
HP3949,6
HP3950,7
HP3951,4
HP3952,3
HP3953,6
HP3954,3
HP3955,15
HP3956,34
HP3957,6
HP3958,9
HP3959,2
HP3960,72
HP3961,7
HP3962,3
HP3963,3
HP3964,27
HP3965,6
HP3966,5
HP3967,6
HP3968,55
HP3969,6
HP3970,5
HP3971,5
HP3972,5
HP3973,0
HP3974,3
HP3975,5
HP3976,6
HP3977,9
HP3978,1
HP3979,6
HP3980,4
HP3981,27
HP3982,7
HP3983,3
HP3984,6
HP3985,11
HP3986,6
HP3987,18
HP3988,6
HP3989,10
HP3990,3
HP3991,12
HP3992,1
HP3993,6
HP3994,20
HP3995,18
HP3996,3
HP3997,3
HP3998,35
HP3999,13
