hp_response_id,similarity_reference_A
HP2001,13
HP2002,6
HP2003,5
HP2004,2
HP2005,6
HP2006,0
HP2007,6
HP2008,7
HP2009,7
HP2010,4
HP2011,0
HP2012,4
HP2013,5
HP2014,6
HP2015,4
HP2016,9
HP2017,0
HP2018,4
HP2019,4
HP2020,5
HP2021,14
HP2022,8
HP2023,6
HP2024,5
HP2025,12
HP2026,9
HP2027,18
HP2028,3
HP2029,4
HP2030,11
HP2031,7
HP2032,6
HP2033,19
HP2034,8
HP2035,6
HP2036,49
HP2037,8
HP2038,2
HP2039,3
HP2040,3
HP2041,6
HP2042,8
HP2043,25
HP2044,2
HP2045,8
HP2046,8
HP2047,2
HP2048,7
HP2049,8
HP2050,5
HP2051,4
HP2052,6
HP2053,9
HP2054,6
HP2055,3
HP2056,6
HP2057,12
HP2058,2
HP2059,11
HP2060,10
HP2061,11
HP2062,5
HP2063,7
HP2064,1
HP2065,2
HP2066,7
HP2067,4
HP2068,63
HP2069,7
HP2070,8
HP2071,43
HP2072,6
HP2073,12
HP2074,7
HP2075,6
HP2076,6
HP2077,6
HP2078,5
HP2079,3
HP2080,35
HP2081,5
HP2082,8
HP2083,8
HP2084,7
HP2085,12
HP2086,4
HP2087,4
HP2088,3
HP2089,2
HP2090,8
HP2091,6
HP2092,6
HP2093,3
HP2094,3
HP2095,16
HP2096,68
HP2097,8
HP2098,13
HP2099,12
HP2100,8
HP2101,8
HP2102,7
HP2103,5
HP2104,8
HP2105,10
HP2106,10
HP2107,11
HP2108,62
HP2109,14
HP2110,7
HP2111,12
HP2112,7
HP2113,23
HP2114,3
HP2115,19
HP2116,5
HP2117,4
HP2118,3
HP2119,4
HP2120,7
HP2121,10
HP2122,8
HP2123,6
HP2124,0
HP2125,10
HP2126,5
HP2127,4
HP2128,2
HP2129,7
HP2130,6
HP2131,10
HP2132,5
HP2133,7
HP2134,18
HP2135,3
HP2136,8
HP2137,25
HP2138,3
HP2139,5
HP2140,61
