hp_response_id,similarity_reference_B
HP0001,12
HP0002,24
HP0003,13
HP0004,10
HP0005,17
HP0006,2
HP0007,9
HP0008,13
HP0009,9
HP0010,18
HP0011,8
HP0012,0
HP0013,17
HP0014,8
HP0015,10
HP0016,12
HP0017,22
HP0018,6
HP0019,10
HP0020,19
HP0021,20
HP0022,21
HP0023,17
HP0024,14
HP0025,18
HP0026,27
HP0027,15
HP0028,17
HP0029,14
HP0030,18
HP0031,9
HP0032,15
HP0033,10
HP0034,23
HP0035,13
HP0036,12
HP0037,12
HP0038,9
HP0039,13
HP0040,16
HP0041,9
HP0042,3
HP0043,9
HP0044,10
HP0045,9
HP0046,17
HP0047,17
HP0048,10
HP0049,5
HP0050,10
HP0051,18
HP0052,16
HP0053,15
HP0054,19
HP0055,19
HP0056,11
HP0057,7
HP0058,13
HP0059,21
HP0060,11
HP0061,14
HP0062,2
HP0063,9
HP0064,23
HP0065,13
HP0066,13
HP0067,27
HP0068,14
HP0069,12
HP0070,10
HP0071,10
HP0072,8
HP0073,20
HP0074,12
HP0075,24
HP0076,9
HP0077,25
HP0078,10
HP0079,12
HP0080,12
HP0081,15
HP0082,11
HP0083,10
HP0084,8
HP0085,11
HP0086,23
HP0087,11
HP0088,0
HP0089,10
HP0090,22
HP0091,13
HP0092,9
HP0093,18
HP0094,15
HP0095,11
HP0096,8
HP0097,17
HP0098,12
HP0099,15
HP0100,6
HP0101,12
HP0102,15
HP0103,18
HP0104,10
HP0105,10
HP0106,12
HP0107,16
HP0108,16
HP0109,21
HP0110,14
HP0111,9
HP0112,19
HP0113,17
HP0114,23
HP0115,19
HP0116,24
HP0117,12
HP0118,17
HP0119,28
HP0120,11
HP0121,19
HP0122,14
HP0123,13
HP0124,23
HP0125,13
HP0126,7
HP0127,2
HP0128,23
HP0129,21
HP0130,10
HP0131,15
HP0132,12
HP0133,11
HP0134,16
HP0135,25
HP0136,19
HP0137,23
HP0138,18
HP0139,17
HP0140,20
HP0141,9
HP0142,9
HP0143,17
HP0144,13
HP0145,10
HP0146,20
HP0147,16
HP0148,9
HP0149,11
HP0150,18
HP0151,15
HP0152,13
HP0153,17
HP0154,8
HP0155,9
HP0156,13
HP0157,15
HP0158,14
HP0159,24
HP0160,17
HP0161,16
HP0162,11
HP0163,14
HP0164,21
HP0165,11
HP0166,16
HP0167,9
HP0168,10
HP0169,17
HP0170,17
HP0171,20
HP0172,11
HP0173,7
HP0174,10
HP0175,8
HP0176,15
HP0177,13
HP0178,17
HP0179,12
HP0180,23
HP0181,21
HP0182,2
HP0183,12
HP0184,17
HP0185,8
HP0186,6
HP0187,9
HP0188,18
HP0189,24
HP0190,14
HP0191,9
HP0192,22
HP0193,12
HP0194,18
HP0195,18
HP0196,17
HP0197,11
HP0198,7
HP0199,16
HP0200,23
HP0201,9
HP0202,10
HP0203,25
HP0204,21
HP0205,12
HP0206,7
HP0207,23
HP0208,17
HP0209,12
HP0210,11
HP0211,27
HP0212,9
HP0213,11
HP0214,10
HP0215,9
HP0216,11
HP0217,0
HP0218,18
HP0219,10
HP0220,19
HP0221,11
HP0222,12
HP0223,16
HP0224,11
HP0225,13
HP0226,23
HP0227,13
HP0228,18
HP0229,10
HP0230,14
HP0231,14
HP0232,12
HP0233,13
HP0234,19
HP0235,13
HP0236,8
HP0237,16
HP0238,8
HP0239,11
HP0240,15
HP0241,16
HP0242,23
HP0243,8
HP0244,13
HP0245,9
HP0246,11
HP0247,16
HP0248,10
HP0249,20
HP0250,7
HP0251,10
HP0252,14
HP0253,9
HP0254,8
HP0255,12
HP0256,7
HP0257,9
HP0258,9
HP0259,9
HP0260,23
HP0261,9
HP0262,20
HP0263,17
HP0264,21
HP0265,13
HP0266,9
HP0267,22
HP0268,10
HP0269,8
HP0270,10
HP0271,23
HP0272,14
HP0273,14
HP0274,10
HP0275,10
HP0276,10
HP0277,2
HP0278,17
HP0279,18
HP0280,12
HP0281,10
HP0282,12
HP0283,12
HP0284,6
HP0285,15
HP0286,13
HP0287,2
HP0288,18
HP0289,17
HP0290,20
HP0291,11
HP0292,15
HP0293,12
HP0294,13
HP0295,16
HP0296,17
HP0297,9
HP0298,12
HP0299,11
HP0300,8
HP0301,9
HP0302,8
HP0303,24
HP0304,13
HP0305,23
HP0306,10
HP0307,10
HP0308,11
HP0309,13
HP0310,18
HP0311,11
HP0312,18
HP0313,5
HP0314,11
HP0315,19
HP0316,22
HP0317,15
HP0318,16
HP0319,9
HP0320,7
HP0321,15
HP0322,13
HP0323,10
HP0324,17
HP0325,16
HP0326,15
HP0327,14
HP0328,9
HP0329,11
HP0330,14
HP0331,11
HP0332,18
HP0333,11
HP0334,14
HP0335,14
HP0336,16
HP0337,11
HP0338,9
HP0339,19
HP0340,21
HP0341,11
HP0342,18
HP0343,9
HP0344,5
HP0345,3
HP0346,16
HP0347,17
HP0348,14
HP0349,24
HP0350,0
HP0351,18
HP0352,10
HP0353,12
HP0354,18
HP0355,20
HP0356,15
HP0357,13
HP0358,11
HP0359,8
HP0360,9
HP0361,3
HP0362,8
HP0363,24
HP0364,11
HP0365,9
HP0366,11
HP0367,25
HP0368,20
HP0369,24
HP0370,6
HP0371,13
HP0372,16
HP0373,18
HP0374,19
HP0375,24
HP0376,9
HP0377,8
HP0378,12
HP0379,22
HP0380,14
HP0381,2
HP0382,9
HP0383,10
HP0384,15
HP0385,13
HP0386,18
HP0387,8
HP0388,11
HP0389,11
HP0390,13
HP0391,24
HP0392,20
HP0393,9
HP0394,15
HP0395,10
HP0396,10
HP0397,10
HP0398,13
HP0399,23
HP0400,17
