hp_response_id,similarity_reference_B
HP1201,0
HP1202,19
HP1203,29
HP1204,5
HP1205,16
HP1206,2
HP1207,18
HP1208,10
HP1209,1
HP1210,17
HP1211,7
HP1212,9
HP1213,4
HP1214,4
HP1215,6
HP1216,11
HP1217,1
HP1218,2
HP1219,24
HP1220,8
HP1221,7
HP1222,20
HP1223,12
HP1224,13
HP1225,1
HP1226,48
HP1227,5
HP1228,8
HP1229,7
HP1230,17
HP1231,15
HP1232,10
HP1233,12
HP1234,32
HP1235,12
HP1236,8
HP1237,9
HP1238,6
HP1239,11
HP1240,8
HP1241,6
HP1242,11
HP1243,11
HP1244,35
HP1245,22
HP1246,7
HP1247,14
HP1248,10
HP1249,4
HP1250,11
HP1251,12
HP1252,43
HP1253,4
HP1254,22
HP1255,0
HP1256,10
HP1257,10
HP1258,14
HP1259,17
HP1260,11
HP1261,9
HP1262,9
HP1263,4
HP1264,21
HP1265,9
HP1266,10
HP1267,40
HP1268,5
HP1269,11
HP1270,12
HP1271,8
HP1272,7
HP1273,14
HP1274,13
HP1275,27
HP1276,0
HP1277,24
HP1278,11
HP1279,7
HP1280,9
HP1281,5
HP1282,12
HP1283,38
HP1284,10
HP1285,10
HP1286,46
HP1287,9
HP1288,3
HP1289,4
HP1290,6
HP1291,5
HP1292,8
HP1293,23
HP1294,11
HP1295,12
HP1296,11
HP1297,10
HP1298,7
HP1299,9
HP1300,8
HP1301,7
HP1302,10
HP1303,16
HP1304,7
HP1305,9
HP1306,6
HP1307,13
HP1308,16
HP1309,11
HP1310,7
HP1311,1
HP1312,11
HP1313,11
HP1314,9
HP1315,16
HP1316,12
HP1317,15
HP1318,13
HP1319,18
HP1320,13
HP1321,47
HP1322,11
HP1323,8
HP1324,15
HP1325,15
HP1326,2
HP1327,6
HP1328,24
HP1329,12
HP1330,0
HP1331,14
HP1332,12
HP1333,10
HP1334,9
HP1335,8
HP1336,11
HP1337,31
HP1338,10
HP1339,13
HP1340,7
HP1341,7
HP1342,11
HP1343,10
HP1344,23
HP1345,17
HP1346,19
HP1347,6
HP1348,9
HP1349,8
HP1350,7
HP1351,7
HP1352,18
HP1353,2
HP1354,11
HP1355,6
HP1356,16
HP1357,10
HP1358,9
HP1359,30
HP1360,16
HP1361,9
HP1362,11
HP1363,15
HP1364,16
HP1365,1
HP1366,10
HP1367,10
HP1368,4
HP1369,4
HP1370,10
HP1371,9
HP1372,6
HP1373,4
HP1374,11
HP1375,5
HP1376,28
HP1377,11
HP1378,7
HP1379,11
HP1380,15
HP1381,28
HP1382,2
HP1383,17
HP1384,19
HP1385,12
HP1386,5
HP1387,10
HP1388,7
HP1389,4
HP1390,3
HP1391,15
HP1392,18
HP1393,11
HP1394,26
HP1395,8
HP1396,11
HP1397,11
HP1398,5
HP1399,16
HP1400,11
HP1401,8
HP1402,7
HP1403,14
HP1404,9
HP1405,8
HP1406,8
HP1407,7
HP1408,8
HP1409,11
HP1410,17
HP1411,13
HP1412,11
HP1413,17
HP1414,14
HP1415,0
HP1416,2
HP1417,6
HP1418,13
HP1419,1
HP1420,15
HP1421,11
HP1422,10
HP1423,10
HP1424,7
HP1425,10
HP1426,22
HP1427,18
HP1428,11
HP1429,13
HP1430,9
HP1431,13
HP1432,13
HP1433,18
HP1434,10
HP1435,8
HP1436,22
HP1437,11
HP1438,0
HP1439,5
HP1440,7
HP1441,17
HP1442,12
HP1443,11
HP1444,12
HP1445,17
HP1446,12
HP1447,13
HP1448,8
HP1449,18
HP1450,1
HP1451,7
HP1452,11
HP1453,11
HP1454,6
HP1455,23
HP1456,6
HP1457,7
HP1458,7
HP1459,12
HP1460,10
HP1461,9
HP1462,12
HP1463,5
HP1464,16
HP1465,18
HP1466,11
HP1467,13
HP1468,11
HP1469,2
HP1470,6
HP1471,26
HP1472,7
HP1473,14
HP1474,8
HP1475,5
HP1476,6
HP1477,14
HP1478,11
HP1479,10
HP1480,17
HP1481,33
HP1482,16
HP1483,10
HP1484,7
HP1485,1
HP1486,11
HP1487,3
HP1488,22
HP1489,60
HP1490,1
HP1491,10
HP1492,11
HP1493,12
HP1494,19
HP1495,20
HP1496,10
HP1497,9
HP1498,7
HP1499,9
HP1500,6
HP1501,10
HP1502,9
HP1503,18
HP1504,8
HP1505,10
HP1506,11
HP1507,11
HP1508,11
HP1509,30
HP1510,17
HP1511,3
HP1512,12
HP1513,9
HP1514,4
HP1515,12
HP1516,23
HP1517,6
HP1518,17
HP1519,16
HP1520,1
HP1521,10
