"classification_id","memory"
"WCLS00001","$0"
"WCLS00002","$0 you say? That feels like the equivalent of an empty promise."
"WCLS00003","$00"
"WCLS00004","$0? Doing nothing for them, literally."
"WCLS00005","$12 the price would stay the same"
"WCLS00006","$2"
"WCLS00007","$2? Buying them a bag of sweeties."
"WCLS00008","$4"
"WCLS00009","$4 is similar to 5 but less"
"WCLS00010","$4 off a small purchase book"
"WCLS00011","$4 Reminds me of 5 years ago, in 2020 when I used to donate to the WWF charity, I would donate $4 every month"
"WCLS00012","$4 the payment would be by taking away 8"
"WCLS00013","$4 would be 1/3 of what I have been given. If I had to find a real life situation that's similar, it would be a lawyer's share of a legal settlement. They usually charge 1/3."
"WCLS00014","$4? Buying them a decent newspaper."
"WCLS00015","$4? May as well buy them a couple of bags of crisps (chips)"
"WCLS00016","$5"
"WCLS00017","$6"
"WCLS00018","$6 each"
"WCLS00019","$6 is a lovely cup of coffee or 2, depending on where you live. It's not a lot of money really, considering you'd probably pay that for a coffee every other day."
"WCLS00020","$6 is similar to five but more"
"WCLS00021","$6 would make me and the participant the owners of equal share of the original $12. It would be similar to any compromise where the parties wish to be treated equally. Maybe like pouring half of my glass of soda into an empty glass and handing it to someone else."
"WCLS00022","$6? A Basic McDonalds' meal."
"WCLS00023","$8"
"WCLS00024","$8 is a great price for all this information. You'd spend this on some crisps and some Pepsi, or maybe a McDonalds"
"WCLS00025","$8 is similar to ten dollars but less"
"WCLS00026","$8? That's more like giving them a magazine."
"WCLS00027","'Alright geez would you mind adjusting the price for an old mate, how about gimme that £12 one for £4?' 'Nah you're out your mind man'"
"WCLS00028","-$4"
"WCLS00029","-$4 Asking them to buy me a decent newspaper."
"WCLS00030","-$6"
"WCLS00031","-$8"
"WCLS00032","-2"
"WCLS00033","-2 not so bad but just how everything is changing on prices for everything."
"WCLS00034","-4"
"WCLS00035","-4 is half price and reminds me of deep disocunts meant to intice shoppers at the holiday season."
"WCLS00036","-4$"
"WCLS00037","-4? I don't get this question. If it's the same as the previous one, then a coffee."
"WCLS00038","-75% sale on a item in a shop"
"WCLS00039","0"
"WCLS00040","0 doesn't change anything - kind of like our political landscape - status quo"
"WCLS00041","0 nothing as it has no effect on anything"
"WCLS00042","0% of the $12.00"
"WCLS00043","0% of the $8.00"
"WCLS00044","0% sent"
"WCLS00045","1 third discount off the initial price"
"WCLS00046","1/2 discount on the price"
"WCLS00047","1/3 rd discount which is ok"
"WCLS00048","1/3rd discount on the price"
"WCLS00050","100% taxes. Working hard just to stay still and having to give the broker the whole $12 as their fee."
"WCLS00052","12 DOLLARS I WILL GET WHAT I ASKED FOR AND SO WILL THE BROKER"
"WCLS00053","12 no change to the original price"
"WCLS00054","12 would float my boat ok sirree"
"WCLS00055","12% of the price at the beginng"
"WCLS00056","2"
"WCLS00057","2 for 1 offer in a supermarket"
"WCLS00058","2 friends split the bill evenly regardless of who ordered more expensive items or who had more money"
"WCLS00059","2 friends were having lunch and one of them didn't have enough to buy any sides or drink. The other friend helped them by giving them enough to purchase a full meal."
"WCLS00060","2 people participating equally and completing a task. Or a 'draw'."
"WCLS00061","2 roommates split chores, one ends up doing more, but they dont change the split to make the responsibility more fair, they just accept it."
"WCLS00062","2 thirds discount off the initial price"
"WCLS00063","2/3rds discount on the price"
"WCLS00064","25%"
"WCLS00065","25% decrease, special offer to promote product and get people to try it."
"WCLS00066","25% of the $8.00"
"WCLS00067","25% off of sale items at a department store sale"
"WCLS00068","25% off sale whe of the pricere you get the product at 3/4"
"WCLS00069","25% sale on all items in a retail shop"
"WCLS00070","30% of the $12.00"
"WCLS00071","33% fee for the broker as benefit"
"WCLS00072","33.3% off of something bought in a shop"
"WCLS00074","4 giving away money at this point"
"WCLS00075","4 is ok, its good to have middle ground"
"WCLS00076","4 or 12 are similar to five and 13"
"WCLS00077","4 the temps when i went ski ing in bulgaria a long time ago"
"WCLS00078","5"
"WCLS00079","50 % disco8nd again too much"
"WCLS00080","50 / 50 split, is fair i guess."
"WCLS00081","50 50 split"
"WCLS00082","50%"
"WCLS00083","50% decrease or half price, clearance sale to shift it and get something for it"
"WCLS00084","50% increase, could be the price of petrol during times of crisis"
"WCLS00085","50% of orginal price"
"WCLS00086","50% of the $8.00"
"WCLS00087","50% off flash offer for a limited period only."
"WCLS00088","50% off is a good dicount. sometimes the bread in my local supermarket has this kind of discount at the end of the day."
"WCLS00089","50% off mean the product will cost you half"
"WCLS00090","50% off sale or a specific special offer / discount code"
"WCLS00091","50% or half price. Substantial discounts"
"WCLS00092","50/50 split as a partnership between two equal owners"
"WCLS00093","550-50 is a fair split. in an ideal world we would all share everything this way"
"WCLS00095","6 dollars goes a long way in todays society, having any money really is a blessing with how bad inflation has become."
"WCLS00096","6 equal to half a dozen eggs i use for breakfast on a weekend fresh from the farm"
"WCLS00097","6 fair i suppose becuase now its 50/50"
"WCLS00098","6 would be better for me ngl"
"WCLS00099","6$. Half price t shirts"
"WCLS00100","6, seems fair to do 50/50"
"WCLS00101","60% of the $12.00"
"WCLS00102","7"
"WCLS00103","75% off at kohls for the holidays"
"WCLS00105","8 a discount , i guess this is fair because the other person gets paid some"
"WCLS00106","8 DOLLARS THE BROKER WILL LOSS OUT ON THIS ONE"
"WCLS00107","8 is a huge difference more than half the price, its like taking sweets from a baby"
"WCLS00108","8 my mum is one of 8 children so i have 4 aunties 4 uncles my dads birthday falls on the 8th of a month"
"WCLS00109","8$. I suppose that's the same price as a box of chocolate"
"WCLS00110","`buying them a cup of coffee"
"WCLS00111","A $4 drop is like a half-price sale at a retailer."
"WCLS00112","a -$2 change would remind me for a minor discount, potentially when applying a coupon code to an online order"
"WCLS00113","A 10% off sale in an average supermarket"
"WCLS00114","a 10% sale in a shop"
"WCLS00115","a 25% decrease makes me think of a discounted item on sale at target"
"WCLS00116","a 25% discount on a product"
"WCLS00117","A 4 pound win at bookies"
"WCLS00118","A 5% off sale in an average supermarket"
"WCLS00119","A 50% cut - maybe like a Black Friday quick sle"
"WCLS00120","a 50% discount off the initial price"
"WCLS00121","A 50% discount on black friday"
"WCLS00122","a 50% increase in price makes me think of kitchen renovations we were involved in during the pandemic when everything was inflated in price"
"WCLS00123","a 50% off deal on something"
"WCLS00124","A 50% off sale in a shop."
"WCLS00125","A 50% offer online or in-store shopping (as starting price is $8)"
"WCLS00126","a 50% reduction in my allocation but increasing the other participants allocation by 100%"
"WCLS00127","A 50% sale at a black Friday event."
"WCLS00128","A 50% sale in a retail shop"
"WCLS00129","A 50/50 split is an agreeable term for evenly shared workload. I find it similar to being project partners with someone who's able to equally pull their weight through the working section of the task."
"WCLS00130","A 50/50 split the pot raffle - each party gets half."
"WCLS00131","A 75% rebate on something."
"WCLS00132","A attempt to display a lack of concern about money."
"WCLS00133","A balanced distribution among unequal hierarcies."
"WCLS00134","A balanced negotiation between two people."
"WCLS00135","A bank transfer to pay back for bus ticket money that was leant to me by my friend,"
"WCLS00136","A barber offers a discount to regular customers."
"WCLS00137","a bargain a bargain a bargain"
"WCLS00138","a bargain for the purchaser"
"WCLS00139","a bargain for the seller."
"WCLS00140","a bargain or price decrease"
"WCLS00141","a basic need"
"WCLS00142","a beggar who i know is not a beggar"
"WCLS00143","a bet"
"WCLS00144","a better amount to consider sending"
"WCLS00145","A better price hike than 20"
"WCLS00146","A big Black Friday discount or a clearance sale"
"WCLS00147","A big candy bar"
"WCLS00148","a big discount for the data seller"
"WCLS00149","A big middle finger, haha."
"WCLS00150","a big tip"
"WCLS00151","a bigger discount, maybe i'm taking more of a loss"
"WCLS00152","A bigger profit by the increased reduction in price."
"WCLS00153","A bill collector shows up to collect on money that you owed but refused to pay."
"WCLS00154","a birthday card from a skinflint. big fat 0."
"WCLS00155","A birthday gift"
"WCLS00156","A birthday present"
"WCLS00157","A bit benevolent. It depends on the giver."
"WCLS00158","A bit cheeky but possible in the business world of making as much money as possible."
"WCLS00159","A bit mean"
"WCLS00160","a bit mean spirited, I had the opportunity to give a nice gift that wasn't even given to me before this task."
"WCLS00161","a bit rude, like going to someones party and not speaking to them"
"WCLS00162","A bit sneaky and mean"
"WCLS00163","A Black Friday deal on a new pair of sneakers you've had your eye on for ages, and that you can finally afford"
"WCLS00164","A black friday discount"
"WCLS00165","a black Friday discount."
"WCLS00166","A Black Friday sale"
"WCLS00167","A black friday sale i think is closest"
"WCLS00168","a black friday sale is what i imagine in this scenario"
"WCLS00169","A Black Friday sale with limited time to take advantage of."
"WCLS00170","A Black Friday sale."
"WCLS00171","A blanket from a retail store. The blanket is quite small"
"WCLS00172","A bonus for a job they did exceptionally well."
"WCLS00173","a book on the subject to help them"
"WCLS00174","A boss getting a full bonus and sharing none with their team."
"WCLS00175","A boss giving a discretionary bonus or tip that is less than half."
"WCLS00176","a bottled drink"
"WCLS00177","A box of nice tea bags"
"WCLS00178","A British company selling their amazing new invention to an American company for a fraction of its value."
"WCLS00179","a bseless act considering that I do not know this person"
"WCLS00180","A business between two equal partners who split the profits fairly."
"WCLS00181","A business deal between two people and the partner doesn't know its a 60/40 type deal with the person they are working with getting a bigger cut. Like they're being shortchanged."
"WCLS00182","A business marking up prices higher than what the product is worth."
"WCLS00183","A business owner having a small business that realizes that their product is being sold by a retailer at a price of $12 and they are able to force the retailer to sell their product at that price. This maximizes their profit and the retailer with zero profit. It is the full value claim or high leverage negotiation."
"WCLS00184","A business owner increasing their prices to maximise profit"
"WCLS00185","a business providing discounts to charity workers"
"WCLS00186","a business putting on a sale"
"WCLS00187","a business raising the prices of their products"
"WCLS00188","A business that is doing really well but decides to only pass on a small amount of its profits to customers in terms of price reductions."
"WCLS00189","A business transaction in my professional life"
"WCLS00190","A business trying to break even"
"WCLS00191","A business trying to make as much money as possible"
"WCLS00192","A businessman trying to be greedy and squeeze a little extra profit for no extra effort om their part."
"WCLS00193","A buy one get one free."
"WCLS00194","A Buy One Get One Half off sale"
"WCLS00195","A café offers a small weekday discount on sandwiches—just a modest price cut to stay competitive with a new café next door"
"WCLS00196","a calculated by benevolent action"
"WCLS00197","A capitalist society that is attempting to reallocate resources to eliminate poverty"
"WCLS00198","A capitalist society, where what is mine is my own and I do not have to share with anyone to help them"
"WCLS00199","A car that was brought new sold after a year of use."
"WCLS00200","a card or board game"
"WCLS00201","A cash back program"
"WCLS00202","A CEO of a company that has large increasing profits, but they do not increase the wages of their employees."
