classification_id,category_num,classification_origin
WCLS11755,0,gpt_5_6_subagent_rowwise
WCLS11756,0,gpt_5_6_subagent_rowwise
WCLS11757,1,gpt_5_6_subagent_rowwise
WCLS11758,0,gpt_5_6_subagent_rowwise
WCLS11759,1,gpt_5_6_subagent_rowwise
WCLS11760,3,gpt_5_6_subagent_rowwise
WCLS11761,1,gpt_5_6_subagent_rowwise
WCLS11762,1,gpt_5_6_subagent_rowwise
WCLS11763,0,gpt_5_6_subagent_rowwise
WCLS11764,1,gpt_5_6_subagent_rowwise
WCLS11765,1,gpt_5_6_subagent_rowwise
WCLS11766,1,gpt_5_6_subagent_rowwise
WCLS11767,1,gpt_5_6_subagent_rowwise
WCLS11768,1,gpt_5_6_subagent_rowwise
WCLS11769,2,gpt_5_6_subagent_rowwise
WCLS11770,3,gpt_5_6_subagent_rowwise
WCLS11771,3,gpt_5_6_subagent_rowwise
WCLS11772,3,gpt_5_6_subagent_rowwise
WCLS11773,1,gpt_5_6_subagent_rowwise
WCLS11774,1,gpt_5_6_subagent_rowwise
WCLS11775,2,gpt_5_6_subagent_rowwise
WCLS11776,1,gpt_5_6_subagent_rowwise
WCLS11777,0,gpt_5_6_subagent_rowwise
WCLS11778,3,gpt_5_6_subagent_rowwise
WCLS11779,1,gpt_5_6_subagent_rowwise
WCLS11780,0,gpt_5_6_subagent_rowwise
WCLS11781,1,gpt_5_6_subagent_rowwise
WCLS11782,0,gpt_5_6_subagent_rowwise
WCLS11783,0,gpt_5_6_subagent_rowwise
WCLS11784,0,gpt_5_6_subagent_rowwise
WCLS11785,3,gpt_5_6_subagent_rowwise
WCLS11786,1,gpt_5_6_subagent_rowwise
WCLS11787,2,gpt_5_6_subagent_rowwise
WCLS11788,2,gpt_5_6_subagent_rowwise
WCLS11789,2,gpt_5_6_subagent_rowwise
WCLS11790,1,gpt_5_6_subagent_rowwise
WCLS11791,1,gpt_5_6_subagent_rowwise
WCLS11792,1,gpt_5_6_subagent_rowwise
WCLS11793,3,gpt_5_6_subagent_rowwise
WCLS11794,1,gpt_5_6_subagent_rowwise
WCLS11795,0,gpt_5_6_subagent_rowwise
WCLS11796,0,gpt_5_6_subagent_rowwise
WCLS11797,1,gpt_5_6_subagent_rowwise
WCLS11798,0,gpt_5_6_subagent_rowwise
WCLS11799,0,gpt_5_6_subagent_rowwise
WCLS11800,3,gpt_5_6_subagent_rowwise
WCLS11801,1,gpt_5_6_subagent_rowwise
WCLS11802,3,gpt_5_6_subagent_rowwise
WCLS11803,1,gpt_5_6_subagent_rowwise
WCLS11804,3,gpt_5_6_subagent_rowwise
WCLS11805,1,gpt_5_6_subagent_rowwise
WCLS11806,1,gpt_5_6_subagent_rowwise
WCLS11807,0,gpt_5_6_subagent_rowwise
WCLS11808,3,gpt_5_6_subagent_rowwise
WCLS11809,0,gpt_5_6_subagent_rowwise
WCLS11810,0,gpt_5_6_subagent_rowwise
WCLS11811,2,gpt_5_6_subagent_rowwise
WCLS11812,1,gpt_5_6_subagent_rowwise
WCLS11813,1,gpt_5_6_subagent_rowwise
