"classification_id","memory"
"WCLS04317","I find it similar to giving it to someone in need."
"WCLS04318","I find it similar to giving it to someone to share"
"WCLS04319","I find it similar to giving it to someone who does not need it"
"WCLS04320","I find it similar to giving most of your meal to a friend, or similar to when I share meals with people much larger than me as they eat much more than I do"
"WCLS04321","I find it similar to giving my child money for school"
"WCLS04322","I find it similar to giving my grandson money for a chore."
"WCLS04323","I find it similar to giving my husband our leftover change after paying for something small."
"WCLS04324","I find it similar to giving some one £8"
"WCLS04325","I find it similar to giving someone $2"
"WCLS04326","I find it similar to giving someone $4"
"WCLS04327","I find it similar to giving someone a charitable donation. You give them more than you take yourself."
"WCLS04328","I find it similar to giving someone a couple dollars for the drink machine at work."
"WCLS04329","I find it similar to giving someone a gift on christmas day"
"WCLS04330","I find it similar to giving someone a greater share"
"WCLS04331","i find it similar to giving someone a little treat"
"WCLS04332","i find it similar to giving someone some change for the bus"
"WCLS04333","I find it similar to giving someone some money who needs a hand."
"WCLS04334","I find it similar to giving someone something very small, that doesn't cost me much, but can make a difference in their day."
"WCLS04335","I find it similar to giving someone who is in more need of the money than I am."
"WCLS04336","I find it similar to giving the other participant the percentage they earned (previously agreed upon)in our collective activity."
"WCLS04337","I find it similar to giving them less than what I keep because they did less work."
"WCLS04338","I find it similar to giving when you can give."
"WCLS04339","I find it similar to giving with out knowing what i will need the money for in the future."
"WCLS04340","i find it similar to going half and half when going for a meal with someone"
"WCLS04341","I find it similar to going out and not being able to get a coffee with friends as they are now being left out."
"WCLS04342","I find it similar to going out for a coffee and a cake with a friend, forgetting your purse and then needing to send the money to cover the cost later."
"WCLS04343","I find it similar to going out for coffee and splitting the bill amongst your friends."
"WCLS04344","I find it similar to going out for dinner with a friend and splitting the bill."
"WCLS04345","I find it similar to going out with a friend and we each pay for ourselves."
"WCLS04346","I FIND IT SIMILAR TO GOING TO A SHOP AND BUYING A GOOD WITH PRICE TAG ON"
"WCLS04347","I find it similar to going to dinner and paying for both people’s food rather than splitting the bill."
"WCLS04348","I find it similar to greed."
"WCLS04349","I find it similar to having 2 sweets and giving them 1"
"WCLS04350","I find it similar to having a empty tasteless meal."
"WCLS04351","I find it similar to having a small gain"
"WCLS04352","i find it similar to having to be careful with your money because youre on a budget, even if you did want to give some more you just cant"
"WCLS04353","I find it similar to having to give someone more money than I will have left."
"WCLS04354","I find it similar to having to pay my money at church on Sundays when I was young."
"WCLS04355","I find it similar to helping a friend"
"WCLS04356","I find it similar to helping a repeat customer to keep them coming back."
"WCLS04357","I find it similar to helping a stranger"
"WCLS04358","I find it similar to helping someone out"
"WCLS04359","I find it similar to helping someone out who needs it."
"WCLS04360","i find it similar to helping someone purchase an item that they wanted but couldnt quite afford"
"WCLS04361","I find it similar to how I would interact with my kids."
"WCLS04362","I find it similar to ignoring the other participant and avoiding a partner for bonuses at work"
"WCLS04363","I find it similar to increasing the price of goods."
"WCLS04364","I find it similar to it being equal."
"WCLS04365","I find it similar to it being under-priced"
"WCLS04366","I find it similar to it changing by a third."
"WCLS04367","I find it similar to Johnnie paying for a small pizza for lunch that he wanted to eat."
"WCLS04368","I find it similar to just having better luck in life that I was originally given more."
"WCLS04369","I find it similar to keeping $12 to do what Jenny wants with it."
"WCLS04370","I find it similar to keeping all the money for myself because the other participant didn't do anything."
"WCLS04371","I find it similar to keeping most money for myself."
"WCLS04372","I find it similar to keeping what was earned for myself, but feeling selfish for not giving it to the other person when expected to."
"WCLS04373","I find it similar to lending money to a friend"
"WCLS04374","I find it similar to lending money to friend"
"WCLS04375","I find it similar to lending my little sister money"
"WCLS04376","i find it similar to loosing a penalty in a game and having moeny deducted"
"WCLS04377","I find it similar to losing a game of mah jongg and having to pay someone $2."
"WCLS04378","I find it similar to losing money"
"WCLS04379","I find it similar to losing money. Or giving others a deal."
"WCLS04380","I find it similar to losing out"
"WCLS04381","I find it similar to making a mild risk by investing in an untested stock option."
"WCLS04382","I find it similar to making a token payment, not as much as I may to a friend or worthy cause, but at least something so as to be charitable."
"WCLS04383","I find it similar to making no changes at all"
"WCLS04384","I find it similar to making sure I have money to pay bills and the rest goes into saving or investing."
"WCLS04385","I find it similar to making things balanced."
"WCLS04386","I find it similar to managing my daughters' debit card balances. If they do not do their chores for the week, I transfer $4 - 5 back to myself and they have to try again next week."
"WCLS04387","I find it similar to me being conned into buying cookie dough for a coworker's child's school fundraiser. Sure, we both get something but they in theory get more while I have lost money."
"WCLS04388","I find it similar to me being very carefully with my stock investment and letting it sit for a fincancial quarter without changing anything."
"WCLS04389","I find it similar to me dividing money equally for a tas being done"
"WCLS04390","I find it similar to me eating a whole birthday cake to myself."
"WCLS04391","I find it similar to me who would more often than not hose an equitable solution."
"WCLS04392","I find it similar to minding your own business"
"WCLS04393","I find it similar to most general retail places. The price is high enough that profits are up, but low enough, people are likely to purchase it."
"WCLS04394","I find it similar to most sales, as I cannot choose to decrease the price of the items I buy"
"WCLS04395","I find it similar to mutual aid or charity donation."
"WCLS04396","I find it similar to my brother who would keep what he is given without any thought"
"WCLS04397","I find it similar to my child wanting to help someone but without any idea of the cost."
"WCLS04398","I find it similar to my friend owing me 4 dollars and them letting me take it back through a negative transfer."
"WCLS04399","I find it similar to my mother"
"WCLS04400","I find it similar to my previous answers and it’s more positive"
"WCLS04401","I find it similar to my savings account, which is my money that I have earned"
"WCLS04402","I find it similar to needing to save money for a purpose."
"WCLS04403","I find it similar to negotiating down a price at the flea market or local garage sale, where I bargain down the price from $12 to $6."
"WCLS04404","I find it similar to no one getting any money."
"WCLS04405","I find it similar to not being able to use a coupon to save on an item."
"WCLS04406","i find it similar to not changing the price an keeping it the same"
"WCLS04407","I find it similar to not changing the price of goods."
"WCLS04408","I find it similar to not choosing to give money to someone, for example once I have been paid, if my sister asks to have some of my wages then I would say no because I need/want the money."
"WCLS04409","I find it similar to not giving any money."
"WCLS04410","I find it similar to not giving anything to my friend."
"WCLS04411","I find it similar to not giving out any money to the other participant"
"WCLS04412","I find it similar to not having any money."
"WCLS04413","I find it similar to not having enough to make it by and having a negative balance in the bank until payday."
"WCLS04414","I find it similar to not having to give money to anyone for a change"
"WCLS04415","I find it similar to not helping a stranger"
"WCLS04416","I find it similar to not investing and saving money."
"WCLS04417","I find it similar to not needing the money and giving most of it away to someone who needs it more."
"WCLS04418","I find it similar to not paying anyone at all"
"WCLS04419","I find it similar to not rounding up my amount"
"WCLS04420","I find it similar to not sending money at all"
"WCLS04421","I find it similar to not sharing"
"WCLS04422","I find it similar To nothing."
"WCLS04423","i find it similar to nothing. These instructions are not clear."
"WCLS04424","I find it similar to occasions I have shared things with friends."
"WCLS04425","I find it similar to offering a family friend a discount at your small business to give them a chance to earn some extra money."
"WCLS04426","I find it similar to offering a small amount of money to a friend in need - with no expectation of necessarily getting paid back."
"WCLS04427","I find it similar to only sharing a little"
"WCLS04428","I find it similar to only thinking about yourself"
"WCLS04429","I find it similar to ordinary work in my day job where I receive the agreed amount, no more and no less."
"WCLS04430","I find it similar to over-sharing."
"WCLS04431","I find it similar to overbearing CEOs stealing payroll from their employees"
"WCLS04432","I find it similar to passing someone in the checkout line who is scraping the insides of their purse for spare change"
"WCLS04433","I find it similar to pay in a tax on an earning"
"WCLS04434","I find it similar to paying a despoit fee from an atm"
"WCLS04435","I find it similar to paying a lower priced service."
"WCLS04436","i find it similar to paying for a bill"
"WCLS04437","I find it similar to paying for a friend's fast food lunch."
"WCLS04438","I find it similar to paying for a person's coffee in a cafe if they forgot their wallet."
"WCLS04439","I find it similar to paying for a small snack item."
"WCLS04440","I find it similar to paying for parking"
"WCLS04441","I find it similar to paying full price at the store, with no discount or coupons available."
"WCLS04442","I find it similar to paying full price for a product that has went down in value."
"WCLS04443","I find it similar to paying full price for something."
"WCLS04444","I find it similar to paying rent in America where most of one's income is used on housing."
"WCLS04445","I find it similar to paying somone back for money that I owe"
"WCLS04446","I find it similar to paying the right amount of money for the equal amount of effort. And the other only put in 20 percent effort."
"WCLS04447","I find it similar to paying the right amount of money for the equal amount of effort. And the other only put in 40 percent effort."
"WCLS04448","I find it similar to paying the right amount of money for the equal amount of effort. And the other put 0 percent effort."
"WCLS04449","I find it similar to paying the right amount of money for the equal amount of effort. And the other put in 0 percent effort."
"WCLS04450","I find it similar to paying the right amount of money for the equal amount of effort. And the other put in 60 percent effort."
"WCLS04451","I find it similar to paying the right amount of money for the equal amount of effort. And the other put in 80 percent effort."
"WCLS04452","I find it similar to paying the right amount of money for the equal amount of effort. And the other put in negative 40 percent effort."
"WCLS04453","I find it similar to paying the same as a friend for a movie ticket"
"WCLS04454","I find it similar to paying toll on a rail cart service fair. From what i heard on the news that is the rate they charge."
"WCLS04455","I find it similar to people living in a co-op together, splitting chores equally."
"WCLS04456","I find it similar to people not being chosen for something they'd like to do, I feel it is unfair."
"WCLS04457","I find it similar to people that are poor compared to rich people"
"WCLS04458","I find it similar to people who get a head start in life by being born wealthier and feels that they do whatever that want with their own money."
"WCLS04459","I find it similar to prievious in this study and find it fair"
"WCLS04460","I find it similar to promotions or discounts. This is like trying to sell something because you are desperate for a sale and need it gone or you want to attract customers."
"WCLS04461","I find it similar to providing someone with an extra boost that can help them cover costs associated with their daily living. They would not have to choose between paying rent or feeding their family."
"WCLS04462","I find it similar to purchasing a $12 item for half price."
"WCLS04463","I find it similar to purchasing something at the originally set price."
"WCLS04464","I find it similar to raising the price of eggs due to increased taxes."
"WCLS04465","I find it similar to receiving a big discount on a product."
"WCLS04466","I find it similar to receiving a bonus for work that you weren't expecting."
"WCLS04467","I find it similar to receiving a fine for something I had nothing to do with."
"WCLS04468","I find it similar to receiving a small sized discount."
"WCLS04469","I find it similar to receiving less than my match and feelings of unfairness."
"WCLS04470","I find it similar to reducing the price of goods in order to sell them faster."
"WCLS04471","I find it similar to rewarding him for taking gretaer responsibility in a task we did together"
"WCLS04472","I find it similar to rewarding someone who was given a task and carelessly did not attend to the task which costs me something"
"WCLS04473","I find it similar to robbery or to corporate greed."
"WCLS04474","I find it similar to saving some money"
"WCLS04475","I find it similar to seeing a person begging in the street and walking by them without donating anything"
"WCLS04476","I find it similar to self preservation. Like saving something for yourself but you do not wish to hurt or help the other person. Maybe even like being a bystander and doing nothing either way."
"WCLS04477","I find it similar to selfish professionals that are only concerned about their own gain."
"WCLS04478","I find it similar to selfishness"
"WCLS04479","I find it similar to selfishness. I would gain. Participant would lose. It would be unkind and unfair. (I don't know what I'm supposed to find it 'similar' to.)"
"WCLS04480","I find it similar to selling a product that is in demand. I am the producer of the product and therefore it is my right to increase the price if I feel it will be purchased at the new price."
"WCLS04481","I find it similar to selling something at base price. Like selling something second hand for the price you bought it for."
"WCLS04482","I find it similar to sending money for a cafe purchase."
"WCLS04483","I find it similar to sending payment for a coffee or pastry."
"WCLS04484","I find it similar to sending payment for a meal or coffee."
"WCLS04485","I find it similar to sharing a cake equally with a friend"
"WCLS04486","I find it similar to sharing a candy bar with a friend, sharing it equally."
"WCLS04487","i find it similar to sharing a coffee with a friend"
"WCLS04488","I find it similar to sharing a part of something, for example if I buy myself a treat (a box of chocolates etc.) and o decide to share some of them but keep the majority for myself."
"WCLS04489","I find it similar to sharing between siblings where we split it half and half."
"WCLS04490","I find it similar to sharing funds equally"
"WCLS04491","I find it similar to sharing half of my food"
"WCLS04492","I find it similar to sharing half of my lunch with a friend"
"WCLS04493","I find it similar to sharing half of something"
"WCLS04494","i find it similar to sharing half your food with someone who doesnt have their own"
"WCLS04495","I find it similar to sharing my allowance with my sister when we were kids."
"WCLS04496","i find it similar to sharing my things"
"WCLS04497","I find it similar to sharing something equally with your best friend when you all were young."
"WCLS04498","I find it similar to sharing the proceeds of some earnings we both worked for equally"
"WCLS04499","I find it similar to sharing the same thing with a friend, for example she shares her tea with me and I my coffee with her. Therefore nobody is getting anything extra but it is equal and on par."
"WCLS04500","I find it similar to sharing."
"WCLS04501","I find it similar to showing appreciation to a team member but just offering something small"
"WCLS04502","I find it similar to six dollars (6)"
"WCLS04503","I find it similar to slightly reducing a price in the hopes of attracting more buyers, but not so much that it disadvantages me."
"WCLS04504","i find it similar to someone a present"
"WCLS04505","I find it similar to someone getting 4 dollars"
"WCLS04506","I find it similar to someone getting 4 dollars."
"WCLS04507","I find it similar to someone getting 6 dollars"
"WCLS04508","I find it similar to someone I do not like asking me for money"
"WCLS04509","I find it similar to someone not taking a risk"
"WCLS04510","I find it similar to someone sacrificing for someone else."
"WCLS04511","I FIND IT SIMILAR TO SOMEONE SELLING OFF THEIR THINGS IN A YARD SALE JUST TO LET PEOPLE HAVE IT."
"WCLS04512","I FIND IT SIMILAR TO SOMEONE THAT IS RELUCTANT TO SELL THEIR PRODUCT THROUGH AN AGENT."
"WCLS04513","I find it similar to someone trying to break even"
"WCLS04514","I find it similar to someone trying to make a sale"
"WCLS04515","I find it similar to someone trying to make up for a loss"
"WCLS04516","I find it similar to someone who does not need help"
"WCLS04517","I find it similar to someone who looks out for themselves and doesn't prefer to share or take."
"WCLS04518","I find it similar to sonic the hedgehog"
"WCLS04519","I find it similar to splitting a bill evenly among a friend."
"WCLS04520","I find it similar to splitting a work bonus equally with a collegue."
"WCLS04521","I find it similar to splitting the bill equally with a friend, for example if we have gone out to dinner."
"WCLS04522","I find it similar to splitting the bill evenly between friends."
"WCLS04523","I find it similar to splitting the bill with a trusted friend who wants to be fair."
"WCLS04524","I find it similar to stealing"
"WCLS04525","I find it similar to stealing actual money off the other participant."
"WCLS04526","i find it similar to stealing from your work colleuges"
"WCLS04527","I find it similar to stealing money out of someone's wallet."
"WCLS04528","I find it similar to stealing."
"WCLS04529","I find it similar to stealing. Like taking a tip from a table in a restaurant."
"WCLS04530","I find it similar to stealing. Taking something that is not yours and being selfish."
"WCLS04531","I find it similar to taking $2 from a participant"
"WCLS04532","I find it similar to taking $4 from the other participant"
"WCLS04533","I find it similar to taking $4 from the participant"
"WCLS04534","I find it similar to taking a medium risk in investing in a risky stock option."
"WCLS04535","I find it similar to taking a risk by investing in an untested stock option."
"WCLS04536","I find it similar to taking all the credit for a group project, even if I didn't do all of the work."
"WCLS04537","I find it similar to taking money from someone else."
"WCLS04538","I find it similar to taking money you haven't earned and cheating the other person"
"WCLS04539","I find it similar to taking out more money in my overdraft in the bank."
"WCLS04540","I find it similar to taking sweets from a child who is then left with nothing."
"WCLS04541","I find it similar to the above question, I am happy if the price is lower"
"WCLS04542","I find it similar to the amount I might give to a group of charity workers on the street, a small amount can go a long way."
"WCLS04543","I find it similar to the fact that everyone (except the wealthy) are facing hard times due to the increase in prices at Supermarkets. I would like to be fair and equal so would like the other participant to get the $2"
