StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q231,Q236_First Click,Q236_Last Click,Q236_Page Submit,Q236_Click Count,Q4,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q224,Q243_First Click,Q243_Last Click,Q243_Page Submit,Q243_Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,transfer,reasons,beliefs,P1_ID,P1_CHOICE,LOCK_TOKEN,P2,story,transfer_hp,allocation_hp,attention_check,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Very interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - A bit interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Not interested at all","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - I've never heard of it",You are being matched with..,The decision on how to split the money..,Suppose Player 1 decides to send $2. How much money will Player 2 receive?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please write one or two sentences summarizing the story. Your summary should accurately reflect the story’s content, as it will be checked for consistency.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose that amount.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,transfer,reasons,beliefs,P1_ID,P1_CHOICE,LOCK_TOKEN,P2,story,transfer_hp,allocation_hp,attention_check,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""2""}","{""ImportId"":""QID25"",""choiceId"":""3""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID231""}","{""ImportId"":""QID236_FIRST_CLICK""}","{""ImportId"":""QID236_LAST_CLICK""}","{""ImportId"":""QID236_PAGE_SUBMIT""}","{""ImportId"":""QID236_CLICK_COUNT""}","{""ImportId"":""QID1219581976_TEXT""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID224_TEXT""}","{""ImportId"":""QID243_FIRST_CLICK""}","{""ImportId"":""QID243_LAST_CLICK""}","{""ImportId"":""QID243_PAGE_SUBMIT""}","{""ImportId"":""QID243_CLICK_COUNT""}","{""ImportId"":""mistake""}","{""ImportId"":""allocation""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""transfer""}","{""ImportId"":""reasons""}","{""ImportId"":""beliefs""}","{""ImportId"":""P1_ID""}","{""ImportId"":""P1_CHOICE""}","{""ImportId"":""LOCK_TOKEN""}","{""ImportId"":""P2""}","{""ImportId"":""story""}","{""ImportId"":""transfer_hp""}","{""ImportId"":""allocation_hp""}","{""ImportId"":""attention_check""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-04-22 22:22:07,2026-04-22 22:23:52,0,,100,104,1,2026-04-22 22:23:52,R_3JyjMC2lkhauOS9,,,,,,,anonymous,EN,1,,,1,1,3,1,,,,,,,,,,,,,,,,,,,1,,62e031ff72817d69b9ceae0c,69e94a093d32a13555fcdbee,69e940cad9cc7ea8afdf3d90,,,,,,,,,,,1,
2026-04-22 22:21:23,2026-04-22 22:24:17,0,,100,174,1,2026-04-22 22:24:18,R_5SqL3lav21Guo2B,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,4.04,0,Steve was excited that his team received a performance bonus after exceeding their sales target. He felt like their hard work was recognized and his long hours paid off. Now he had to decide if he should give some of his bonus to a coworker Max who helped him,0,0,2.109,0,8.158,12.615,13.523,3,I chose that amount because it gets player 1 close to his original amount.,,,,,0,4.5,697a4300c057fe63d646eb6a,69e949d9c08aaf0e72dd73b9,69e940cad9cc7ea8afdf3d90,1.5,,,695ca0fd16b8777503e1cbb1,2,b8e4747c-650c-4e75-b00d-f85312a85109,6,2,,,1,
2026-04-22 22:20:24,2026-04-22 22:25:24,0,,100,299,1,2026-04-22 22:25:25,R_5xXsvIH6YWHtx6h,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,5.057,0,James received a financial assistance and Mark did not. James is debating on whether to help Mark or keep the money to himself.,0,0,2.01,0,7.65,9.175,13.236,2,He only sent me $1 and he will have all $6 so this way I get $2. ,12.984,17.137,54.423,2,0,2,69b83f77dff56b0c09842107,69e9499fb4e8d75dd2fb551b,69e940cad9cc7ea8afdf3d90,1,,,5424a61afdf99b691fb384eb,1,f5c0f6df-686a-436a-b1d7-449bbb35a0a8,3,4,2,4,1,
2026-04-22 22:22:01,2026-04-22 22:25:35,0,,100,213,1,2026-04-22 22:25:35,R_3D0TTqWssLvM6Yo,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,5.738,0,"Steve's team got a performance bonus for exceeding their sales target. However, Steve now has to choose whether or not to keep the bonus, or give some to Max.",0,0,2.003,0,9.75,9.75,10.438,1,I just thought it would be the most fair thing to do.,5.973,5.973,7.662,1,1,2,5b11afecc85dc40001621432,69e94a06da55ceab4657351c,69e940cad9cc7ea8afdf3d90,1,,,6310a30f9466069f3ec79b62,1,85433955-028d-40ac-a518-b88afbda102e,3,2,3,3,1,
2026-04-22 22:21:54,2026-04-22 22:26:10,0,,100,256,1,2026-04-22 22:26:11,R_802WrOQc753Li1P,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.997,0,james has received financial assistance to support a rough patch. However his neighbour Mark was not selected. James is considering whether to help him out. ,0,0,2.012,0,8.164,12.288,13.456,2,"I felt that player 1 was not so generous, so I was hesitant to be as generous back. ",2.547,7.208,8.288,2,1,4,5bfdd2bc11e618000158834f,69e949f8210584830cb760d5,69e940cad9cc7ea8afdf3d90,0.5,,,67355c3acebf82bfdc5dbf0c,1.5,35f394f7-737d-4f7b-b195-a5e85ae794b3,4.5,4,3,3,1,
2026-04-22 22:21:38,2026-04-22 22:26:52,0,,100,314,1,2026-04-22 22:26:53,R_8Cg9GdMbHAuTAqF,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.78,0,"James was in financial difficulty, and just as his own money had finished, he received the news that he had been accepted for financial aid of which he had applied for some time ago. On his way to collect, he saw his neighbour who he learnt had also applied but not been accepted. Should James keep or share? ",0,0,2.112,0,9.4,16.463,17.991,8,"Because they took the chance to send the whole thing to me, and I wanted to be kind and do good too. It’ll make us both happy :) ",5.624,5.624,8.095,1,0,9,6049c5cfcc0d1af3e5118965,69e949ea4009b8b1a3e81c52,69e940cad9cc7ea8afdf3d90,9,,,604212ef8ec25401e1fcb4e7,6,5a4eed54-78be-47ce-af2c-ef37bca50876,18,4,1,5,1,
2026-04-22 22:21:46,2026-04-22 22:27:16,0,,100,329,1,2026-04-22 22:27:17,R_3Km73llV1YDpeLf,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,4.069,0,"Steve and his team, which includes Max, exceeded their sales target and therefore received a performance bonus, which he was then told he would be in charge of allocating.  Steve can decide to keep all the money, or give some to Max since he contributed quite a lot.",0,0,2.006,0,9.139,14.57,16.318,3,"Player 1 gave me the entire $6, while I'm not willing to give the entire amount back to them I'm willing to give half, which is a profit of $2 from the original $6 they began with.",10.544,13.219,15.489,3,0,10,69975d72a097963f499fdb83,69e949f353ffc146f035cece,69e940cad9cc7ea8afdf3d90,8,,,698b85a2e4dade89cc78e5f9,6,6f9bcadc-1ea1-405b-b628-641cb47120c8,18,2,2,4,1,
2026-04-22 22:23:04,2026-04-22 22:27:20,0,,100,255,1,2026-04-22 22:27:20,R_1oSLFxDa0G4cI3K,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,5.722,0,"James was going through a rough patch and found out he had gotten approved for financial assistance. On his way to get it he ran into an acquaintance named mark who he learned was also struggling, but didn't get approved for the financial aid.  James is trying to decide whether to keep all the money- or give some to mark to help him out. ",0,0,2.01,0,5.32,9.029,16.561,2,"I decided to split the money evenly, so we both benefitted the same. ",12.879,27.741,32.372,4,0,9,69912f40e5287209938dadbc,69e94a410a10d191d2aa733d,69e940cad9cc7ea8afdf3d90,9,,,6663280c2bf7813f021b53d7,6,2641d7f2-fa15-40cf-ab84-80a221cc902c,18,4,1,5,1,
