context_id,vignette_id,rating
T01,V01,27
T01,V02,56
T01,V03,24
T01,V04,38
T01,V05,86
T01,V06,30
T01,V07,42
T01,V08,68
T01,V09,86
T01,V10,66
T01,V11,32
T01,V12,74
T01,V13,70
T01,V14,70
T01,V15,65
T01,V16,26
T01,V17,48
T01,V18,25
T01,V19,31
T01,V20,65
T01,V21,69
T01,V22,41
T01,V23,69
T01,V24,31
T01,V25,29
T01,V26,32
T01,V27,74
T01,V28,53
T01,V29,25
T01,V30,24
T02,V01,84
T02,V02,52
T02,V03,78
T02,V04,39
T02,V05,24
T02,V06,86
T02,V07,43
T02,V08,33
T02,V09,24
T02,V10,35
T02,V11,80
T02,V12,31
T02,V13,47
T02,V14,46
T02,V15,29
T02,V16,84
T02,V17,53
T02,V18,83
T02,V19,81
T02,V20,29
T02,V21,34
T02,V22,47
T02,V23,33
T02,V24,79
T02,V25,85
T02,V26,84
T02,V27,31
T02,V28,57
T02,V29,82
T02,V30,77
T03,V01,25
T03,V02,43
T03,V03,24
T03,V04,55
T03,V05,70
T03,V06,28
T03,V07,64
T03,V08,72
T03,V09,70
T03,V10,70
T03,V11,25
T03,V12,84
T03,V13,69
T03,V14,69
T03,V15,77
T03,V16,25
T03,V17,45
T03,V18,30
T03,V19,25
T03,V20,77
T03,V21,70
T03,V22,50
T03,V23,71
T03,V24,24
T03,V25,27
T03,V26,25
T03,V27,84
T03,V28,47
T03,V29,29
T03,V30,24
T04,V01,19
T04,V02,34
T04,V03,18
T04,V04,35
T04,V05,82
T04,V06,21
T04,V07,37
T04,V08,80
T04,V09,82
T04,V10,81
T04,V11,19
T04,V12,83
T04,V13,80
T04,V14,80
T04,V15,82
T04,V16,18
T04,V17,35
T04,V18,22
T04,V19,19
T04,V20,82
T04,V21,81
T04,V22,36
T04,V23,81
T04,V24,18
T04,V25,21
T04,V26,19
T04,V27,83
T04,V28,36
T04,V29,21
T04,V30,18
T05,V01,39
T05,V02,81
T05,V03,37
T05,V04,83
T05,V05,30
T05,V06,42
T05,V07,85
T05,V08,32
T05,V09,30
T05,V10,32
T05,V11,39
T05,V12,35
T05,V13,34
T05,V14,34
T05,V15,34
T05,V16,38
T05,V17,81
T05,V18,44
T05,V19,39
T05,V20,34
T05,V21,32
T05,V22,82
T05,V23,32
T05,V24,38
T05,V25,42
T05,V26,39
T05,V27,35
T05,V28,80
T05,V29,43
T05,V30,37
T06,V01,38
T06,V02,53
T06,V03,34
T06,V04,43
T06,V05,68
T06,V06,47
T06,V07,53
T06,V08,74
T06,V09,68
T06,V10,73
T06,V11,37
T06,V12,79
T06,V13,85
T06,V14,85
T06,V15,76
T06,V16,38
T06,V17,50
T06,V18,42
T06,V19,38
T06,V20,76
T06,V21,72
T06,V22,52
T06,V23,73
T06,V24,36
T06,V25,46
T06,V26,38
T06,V27,79
T06,V28,61
T06,V29,41
T06,V30,34
T07,V01,41
T07,V02,64
T07,V03,40
T07,V04,77
T07,V05,35
T07,V06,43
T07,V07,86
T07,V08,42
T07,V09,35
T07,V10,43
T07,V11,38
T07,V12,45
T07,V13,43
T07,V14,43
T07,V15,45
T07,V16,40
T07,V17,63
T07,V18,48
T07,V19,38
T07,V20,45
T07,V21,40
T07,V22,69
T07,V23,41
T07,V24,37
T07,V25,42
T07,V26,39
T07,V27,45
T07,V28,61
T07,V29,47
T07,V30,39
T08,V01,87
T08,V02,35
T08,V03,85
T08,V04,33
T08,V05,21
T08,V06,87
T08,V07,39
T08,V08,25
T08,V09,21
T08,V10,26
T08,V11,87
T08,V12,24
T08,V13,27
T08,V14,27
T08,V15,24
T08,V16,86
T08,V17,40
T08,V18,88
T08,V19,87
T08,V20,24
T08,V21,26
T08,V22,40
T08,V23,26
T08,V24,86
T08,V25,87
T08,V26,87
T08,V27,24
T08,V28,41
T08,V29,87
T08,V30,85
T09,V01,78
T09,V02,56
T09,V03,76
T09,V04,38
T09,V05,34
T09,V06,92
T09,V07,41
T09,V08,34
T09,V09,34
T09,V10,38
T09,V11,94
T09,V12,27
T09,V13,39
T09,V14,38
T09,V15,26
T09,V16,78
T09,V17,53
T09,V18,81
T09,V19,90
T09,V20,26
T09,V21,37
T09,V22,45
T09,V23,37
T09,V24,94
T09,V25,92
T09,V26,90
T09,V27,27
T09,V28,55
T09,V29,80
T09,V30,75
T10,V01,87
T10,V02,40
T10,V03,86
T10,V04,52
T10,V05,27
T10,V06,79
T10,V07,49
T10,V08,33
T10,V09,27
T10,V10,34
T10,V11,78
T10,V12,38
T10,V13,35
T10,V14,35
T10,V15,34
T10,V16,86
T10,V17,44
T10,V18,85
T10,V19,77
T10,V20,34
T10,V21,33
T10,V22,45
T10,V23,33
T10,V24,76
T10,V25,78
T10,V26,78
T10,V27,38
T10,V28,43
T10,V29,84
T10,V30,83
T11,V01,33
T11,V02,91
T11,V03,29
T11,V04,66
T11,V05,54
T11,V06,42
T11,V07,70
T11,V08,38
T11,V09,54
T11,V10,38
T11,V11,40
T11,V12,40
T11,V13,43
T11,V14,42
T11,V15,34
T11,V16,32
T11,V17,80
T11,V18,34
T11,V19,40
T11,V20,34
T11,V21,37
T11,V22,68
T11,V23,37
T11,V24,39
T11,V25,41
T11,V26,40
T11,V27,40
T11,V28,85
T11,V29,33
T11,V30,29
T12,V01,43
T12,V02,85
T12,V03,38
T12,V04,64
T12,V05,26
T12,V06,50
T12,V07,69
T12,V08,35
T12,V09,26
T12,V10,37
T12,V11,41
T12,V12,34
T12,V13,50
T12,V14,49
T12,V15,32
T12,V16,42
T12,V17,79
T12,V18,45
T12,V19,41
T12,V20,32
T12,V21,36
