context_id,vignette_id,rating
T01,V01,28
T01,V02,40
T01,V03,27
T01,V04,20
T01,V05,88
T01,V06,31
T01,V07,24
T01,V08,76
T01,V09,90
T01,V10,74
T01,V11,32
T01,V12,72
T01,V13,80
T01,V14,80
T01,V15,69
T01,V16,26
T01,V17,37
T01,V18,28
T01,V19,31
T01,V20,74
T01,V21,74
T01,V22,25
T01,V23,76
T01,V24,30
T01,V25,30
T01,V26,33
T01,V27,73
T01,V28,39
T01,V29,25
T01,V30,25
T02,V01,84
T02,V02,40
T02,V03,76
T02,V04,30
T02,V05,27
T02,V06,89
T02,V07,43
T02,V08,36
T02,V09,29
T02,V10,38
T02,V11,79
T02,V12,28
T02,V13,47
T02,V14,44
T02,V15,34
T02,V16,78
T02,V17,55
T02,V18,88
T02,V19,82
T02,V20,38
T02,V21,35
T02,V22,58
T02,V23,34
T02,V24,76
T02,V25,84
T02,V26,88
T02,V27,31
T02,V28,58
T02,V29,83
T02,V30,73
T03,V01,31
T03,V02,35
T03,V03,30
T03,V04,48
T03,V05,73
T03,V06,29
T03,V07,50
T03,V08,75
T03,V09,73
T03,V10,76
T03,V11,27
T03,V12,88
T03,V13,77
T03,V14,75
T03,V15,84
T03,V16,30
T03,V17,38
T03,V18,36
T03,V19,27
T03,V20,86
T03,V21,75
T03,V22,44
T03,V23,76
T03,V24,25
T03,V25,27
T03,V26,29
T03,V27,87
T03,V28,36
T03,V29,34
T03,V30,29
T04,V01,26
T04,V02,33
T04,V03,25
T04,V04,35
T04,V05,79
T04,V06,27
T04,V07,39
T04,V08,83
T04,V09,80
T04,V10,84
T04,V11,26
T04,V12,85
T04,V13,85
T04,V14,82
T04,V15,84
T04,V16,24
T04,V17,35
T04,V18,28
T04,V19,25
T04,V20,87
T04,V21,81
T04,V22,36
T04,V23,82
T04,V24,24
T04,V25,25
T04,V26,27
T04,V27,86
T04,V28,35
T04,V29,26
T04,V30,23
T05,V01,29
T05,V02,76
T05,V03,28
T05,V04,78
T05,V05,40
T05,V06,33
T05,V07,84
T05,V08,47
T05,V09,45
T05,V10,48
T05,V11,29
T05,V12,45
T05,V13,48
T05,V14,44
T05,V15,46
T05,V16,27
